          date data
0   2021-02-01   12
1   2021-02-02    9
2   2021-02-03    0
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    4
10  2021-02-11    4
11  2021-02-12    4
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    4
18  2021-02-19    0
19  2021-02-20    2
20  2021-02-21    4
21  2021-02-22    0
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07   12
35  2021-03-08    4
36  2021-03-09    9
37  2021-03-10   12
38  2021-03-11   12
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14    0
42  2021-03-15    0
43  2021-03-16   12
44  2021-03-17    2
45  2021-03-18   15
46  2021-03-19    0
47  2021-03-20   12
48  2021-03-21    7
49  2021-03-22    7
50  2021-03-23   32
51  2021-03-24    2
52  2021-03-25    4
53  2021-03-26    9
54  2021-03-27    7
55  2021-03-28    2
56  2021-03-29   25
57  2021-03-30    7
58  2021-03-31    9
59  2021-04-01    4
60  2021-04-02    2
61  2021-04-03    0
62  2021-04-04    4
63  2021-04-05    0
64  2021-04-06    4
65  2021-04-07    4
66  2021-04-08    0
67  2021-04-09    2
68  2021-04-10    4
69  2021-04-11    4
70  2021-04-12    0
71  2021-04-13    4
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    7
78  2021-04-20    0
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27   12
86  2021-04-28   12
87  2021-04-29   12
88  2021-04-30   25
89  2021-05-01   17
90  2021-05-02    9
91  2021-05-03   27
92  2021-05-04   30
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  145
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   35
109 2021-05-21    7
110 2021-05-22   15
111 2021-05-23   15
112 2021-05-24   55
113 2021-05-25   20
114 2021-05-26   17
115 2021-05-27    4
116 2021-05-28   30
117 2021-05-29   17
118 2021-05-30    4
119 2021-05-31   12
120 2021-06-01    4
121 2021-06-02   12
122 2021-06-03    4
123 2021-06-04    0
124 2021-06-05   22
125 2021-06-06   17
126 2021-06-07   62
127 2021-06-08  257
128 2021-06-09  130
129 2021-06-10   27
130 2021-06-11  424
131 2021-06-12   57
132 2021-06-13   62
133 2021-06-14   44
134 2021-06-15   25
135 2021-06-16   27
136 2021-06-17   17
137 2021-06-18   17
138 2021-06-19   47
139 2021-06-20   44
140 2021-06-21   35
141 2021-06-22   27
142 2021-06-23   30
143 2021-06-24   44
144 2021-06-25   37
145 2021-06-26   27
146 2021-06-27   17
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30    9
150 2021-07-01   25
151 2021-07-02   65
152 2021-07-03   89
153 2021-07-04   97
154 2021-07-05   72
155 2021-07-06   42
156 2021-07-07   25
157 2021-07-08   17
158 2021-07-09   42
159 2021-07-10   20
160 2021-07-11    9
161 2021-07-12   27
162 2021-07-13    7
163 2021-07-14   17
164 2021-07-15    7
