          date  data
0   2021-02-01    55
1   2021-02-02   182
2   2021-02-03   175
3   2021-02-04    60
4   2021-02-05    22
5   2021-02-06    12
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    47
9   2021-02-10   175
10  2021-02-11   177
11  2021-02-12   124
12  2021-02-13    44
13  2021-02-14     7
14  2021-02-15     9
15  2021-02-16     4
16  2021-02-17    17
17  2021-02-18    97
18  2021-02-19   154
19  2021-02-20   157
20  2021-02-21   165
21  2021-02-22   109
22  2021-02-23    74
23  2021-02-24    35
24  2021-02-25    15
25  2021-02-26     7
26  2021-02-27    20
27  2021-02-28    25
28  2021-03-01    37
29  2021-03-02    70
30  2021-03-03    37
31  2021-03-04    52
32  2021-03-05    65
33  2021-03-06    37
34  2021-03-07    62
35  2021-03-08    37
36  2021-03-09   107
37  2021-03-10   252
38  2021-03-11   180
39  2021-03-12   119
40  2021-03-13    77
41  2021-03-14   212
42  2021-03-15   100
43  2021-03-16    95
44  2021-03-17   172
45  2021-03-18   352
46  2021-03-19   267
47  2021-03-20   227
48  2021-03-21   217
49  2021-03-22   122
50  2021-03-23   172
51  2021-03-24   109
52  2021-03-25   214
53  2021-03-26   130
54  2021-03-27   197
55  2021-03-28    92
56  2021-03-29   180
57  2021-03-30   127
58  2021-03-31   114
59  2021-04-01    70
60  2021-04-02    87
61  2021-04-03    82
62  2021-04-04    47
63  2021-04-05    97
64  2021-04-06    87
65  2021-04-07    70
66  2021-04-08    32
67  2021-04-09   147
68  2021-04-10   170
69  2021-04-11   177
70  2021-04-12   152
71  2021-04-13   135
72  2021-04-14    62
73  2021-04-15    37
74  2021-04-16    42
75  2021-04-17    85
76  2021-04-18    30
77  2021-04-19    97
78  2021-04-20    95
79  2021-04-21    67
80  2021-04-22    20
81  2021-04-23     7
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    37
85  2021-04-27   152
86  2021-04-28   237
87  2021-04-29   165
88  2021-04-30   242
89  2021-05-01   124
90  2021-05-02    89
91  2021-05-03   194
92  2021-05-04   299
93  2021-05-05     7
94  2021-05-06     4
95  2021-05-07     7
96  2021-05-08    15
97  2021-05-09    30
98  2021-05-10    17
99  2021-05-11    12
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    85
103 2021-05-15  3037
104 2021-05-16     9
105 2021-05-17     9
106 2021-05-18    15
107 2021-05-19    27
108 2021-05-20   939
109 2021-05-21   257
110 2021-05-22   342
111 2021-05-23   489
112 2021-05-24   497
113 2021-05-25   215
114 2021-05-26    77
115 2021-05-27   132
116 2021-05-28   194
117 2021-05-29   142
118 2021-05-30    85
119 2021-05-31    89
120 2021-06-01    47
121 2021-06-02    20
122 2021-06-03    52
123 2021-06-04    52
124 2021-06-05   105
125 2021-06-06    77
126 2021-06-07   532
127 2021-06-08  2100
128 2021-06-09  1040
129 2021-06-10   489
130 2021-06-11  6122
131 2021-06-12   607
132 2021-06-13   294
133 2021-06-14   287
134 2021-06-15   262
135 2021-06-16   379
136 2021-06-17   145
137 2021-06-18   267
138 2021-06-19   350
139 2021-06-20   407
140 2021-06-21   362
141 2021-06-22   154
142 2021-06-23   277
143 2021-06-24   392
144 2021-06-25   165
145 2021-06-26   114
146 2021-06-27    62
147 2021-06-28    55
148 2021-06-29    62
149 2021-06-30   142
150 2021-07-01   232
151 2021-07-02   902
152 2021-07-03   812
153 2021-07-04   824
154 2021-07-05   584
155 2021-07-06   465
156 2021-07-07   229
157 2021-07-08   109
158 2021-07-09   229
159 2021-07-10   184
160 2021-07-11   189
161 2021-07-12   157
162 2021-07-13    72
163 2021-07-14    62
164 2021-07-15    95
