          date data
0   2021-02-01    2
1   2021-02-02    0
2   2021-02-03    7
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   22
10  2021-02-11    2
11  2021-02-12    0
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    2
18  2021-02-19    7
19  2021-02-20    0
20  2021-02-21    7
21  2021-02-22    2
22  2021-02-23    9
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09    2
37  2021-03-10    9
38  2021-03-11    4
39  2021-03-12    4
40  2021-03-13    2
41  2021-03-14    0
42  2021-03-15    0
43  2021-03-16    4
44  2021-03-17    4
45  2021-03-18    2
46  2021-03-19    2
47  2021-03-20   17
48  2021-03-21    7
49  2021-03-22    7
50  2021-03-23    4
51  2021-03-24    7
52  2021-03-25    4
53  2021-03-26    0
54  2021-03-27    2
55  2021-03-28    2
56  2021-03-29    9
57  2021-03-30    9
58  2021-03-31    0
59  2021-04-01    7
60  2021-04-02    0
61  2021-04-03    2
62  2021-04-04    4
63  2021-04-05    0
64  2021-04-06    0
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10   12
69  2021-04-11    9
70  2021-04-12    4
71  2021-04-13    7
72  2021-04-14   17
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    9
76  2021-04-18    2
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27   12
86  2021-04-28    2
87  2021-04-29   12
88  2021-04-30   17
89  2021-05-01    9
90  2021-05-02   12
91  2021-05-03   15
92  2021-05-04   20
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14    9
103 2021-05-15  162
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    7
107 2021-05-19    2
108 2021-05-20   25
109 2021-05-21   22
110 2021-05-22    7
111 2021-05-23   55
112 2021-05-24   35
113 2021-05-25   17
114 2021-05-26    7
115 2021-05-27    7
116 2021-05-28   22
117 2021-05-29    7
118 2021-05-30    2
119 2021-05-31    7
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    4
123 2021-06-04    2
124 2021-06-05    7
125 2021-06-06   17
126 2021-06-07   49
127 2021-06-08  177
128 2021-06-09  100
129 2021-06-10   30
130 2021-06-11  377
131 2021-06-12   37
132 2021-06-13   12
133 2021-06-14   17
134 2021-06-15   25
135 2021-06-16   12
136 2021-06-17   15
137 2021-06-18   22
138 2021-06-19   30
139 2021-06-20   35
140 2021-06-21   15
141 2021-06-22   22
142 2021-06-23   35
143 2021-06-24   22
144 2021-06-25   12
145 2021-06-26    4
146 2021-06-27    4
147 2021-06-28    7
148 2021-06-29    2
149 2021-06-30    4
150 2021-07-01   25
151 2021-07-02   52
152 2021-07-03   49
153 2021-07-04   37
154 2021-07-05   44
155 2021-07-06   30
156 2021-07-07   32
157 2021-07-08   22
158 2021-07-09    7
159 2021-07-10    9
160 2021-07-11    7
161 2021-07-12   12
162 2021-07-13   20
163 2021-07-14    2
164 2021-07-15    2
