          date data
0   2021-02-01    7
1   2021-02-02   17
2   2021-02-03   20
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    4
9   2021-02-10   12
10  2021-02-11   22
11  2021-02-12   15
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    7
18  2021-02-19    7
19  2021-02-20    4
20  2021-02-21   12
21  2021-02-22   15
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26   12
26  2021-02-27    7
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07    7
35  2021-03-08    4
36  2021-03-09   35
37  2021-03-10   15
38  2021-03-11   20
39  2021-03-12   12
40  2021-03-13    9
41  2021-03-14   20
42  2021-03-15    2
43  2021-03-16    7
44  2021-03-17   20
45  2021-03-18   22
46  2021-03-19   32
47  2021-03-20   17
48  2021-03-21    7
49  2021-03-22   30
50  2021-03-23   12
51  2021-03-24    4
52  2021-03-25   14
53  2021-03-26    4
54  2021-03-27    4
55  2021-03-28    9
56  2021-03-29   47
57  2021-03-30   30
58  2021-03-31   35
59  2021-04-01    9
60  2021-04-02    7
61  2021-04-03    2
62  2021-04-04    4
63  2021-04-05    4
64  2021-04-06    9
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09   15
68  2021-04-10    2
69  2021-04-11    7
70  2021-04-12   15
71  2021-04-13    9
72  2021-04-14    7
73  2021-04-15    9
74  2021-04-16    2
75  2021-04-17    9
76  2021-04-18    2
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    4
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   25
86  2021-04-28   15
87  2021-04-29   15
88  2021-04-30   27
89  2021-05-01    9
90  2021-05-02   15
91  2021-05-03    9
92  2021-05-04   42
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  242
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   60
109 2021-05-21   22
110 2021-05-22   32
111 2021-05-23   62
112 2021-05-24   44
113 2021-05-25   42
114 2021-05-26   17
115 2021-05-27   22
116 2021-05-28   22
117 2021-05-29   30
118 2021-05-30    9
119 2021-05-31    9
120 2021-06-01    7
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    2
124 2021-06-05   25
125 2021-06-06    9
126 2021-06-07  119
127 2021-06-08  245
128 2021-06-09  182
129 2021-06-10   60
130 2021-06-11  670
131 2021-06-12   87
132 2021-06-13   60
133 2021-06-14   60
134 2021-06-15   35
135 2021-06-16   37
136 2021-06-17   27
137 2021-06-18   42
138 2021-06-19   55
139 2021-06-20   77
140 2021-06-21   22
141 2021-06-22   22
142 2021-06-23   30
143 2021-06-24   27
144 2021-06-25   27
145 2021-06-26   20
146 2021-06-27    7
147 2021-06-28    4
148 2021-06-29    4
149 2021-06-30   22
150 2021-07-01   25
151 2021-07-02   70
152 2021-07-03   85
153 2021-07-04   72
154 2021-07-05   55
155 2021-07-06   70
156 2021-07-07   20
157 2021-07-08    9
158 2021-07-09   37
159 2021-07-10   27
160 2021-07-11   20
161 2021-07-12   17
162 2021-07-13   17
163 2021-07-14    7
164 2021-07-15    7
