          date   data
0   2021-02-01    142
1   2021-02-02    297
2   2021-02-03    277
3   2021-02-04     88
4   2021-02-05     47
5   2021-02-06     17
6   2021-02-07      2
7   2021-02-08      9
8   2021-02-09    105
9   2021-02-10    285
10  2021-02-11    322
11  2021-02-12    227
12  2021-02-13     89
13  2021-02-14     30
14  2021-02-15     22
15  2021-02-16     17
16  2021-02-17     42
17  2021-02-18    165
18  2021-02-19    224
19  2021-02-20    229
20  2021-02-21    252
21  2021-02-22    217
22  2021-02-23    130
23  2021-02-24     52
24  2021-02-25     35
25  2021-02-26     32
26  2021-02-27     49
27  2021-02-28     27
28  2021-03-01     77
29  2021-03-02     95
30  2021-03-03     77
31  2021-03-04     77
32  2021-03-05     89
33  2021-03-06     55
34  2021-03-07     92
35  2021-03-08     79
36  2021-03-09    207
37  2021-03-10    402
38  2021-03-11    299
39  2021-03-12    182
40  2021-03-13    147
41  2021-03-14    320
42  2021-03-15    162
43  2021-03-16    157
44  2021-03-17    287
45  2021-03-18    487
46  2021-03-19    415
47  2021-03-20    390
48  2021-03-21    355
49  2021-03-22    269
50  2021-03-23    297
51  2021-03-24    180
52  2021-03-25    364
53  2021-03-26    252
54  2021-03-27    264
55  2021-03-28    175
56  2021-03-29    494
57  2021-03-30    297
58  2021-03-31    242
59  2021-04-01    162
60  2021-04-02    127
61  2021-04-03    112
62  2021-04-04     95
63  2021-04-05    154
64  2021-04-06    124
65  2021-04-07     92
66  2021-04-08     57
67  2021-04-09    280
68  2021-04-10    252
69  2021-04-11    299
70  2021-04-12    237
71  2021-04-13    235
72  2021-04-14    124
73  2021-04-15     62
74  2021-04-16     62
75  2021-04-17    157
76  2021-04-18     65
77  2021-04-19    154
78  2021-04-20    135
79  2021-04-21     77
80  2021-04-22     27
81  2021-04-23     25
82  2021-04-24      0
83  2021-04-25      2
84  2021-04-26     79
85  2021-04-27    272
86  2021-04-28    372
87  2021-04-29    282
88  2021-04-30    497
89  2021-05-01    264
90  2021-05-02    199
91  2021-05-03    329
92  2021-05-04    584
93  2021-05-05      9
94  2021-05-06      9
95  2021-05-07      7
96  2021-05-08     15
97  2021-05-09     44
98  2021-05-10     32
99  2021-05-11     20
100 2021-05-12      4
101 2021-05-13      4
102 2021-05-14    130
103 2021-05-15   5199
104 2021-05-16     27
105 2021-05-17     20
106 2021-05-18     30
107 2021-05-19     60
108 2021-05-20   1480
109 2021-05-21    402
110 2021-05-22    577
111 2021-05-23    919
112 2021-05-24    894
113 2021-05-25    435
114 2021-05-26    197
115 2021-05-27    285
116 2021-05-28    387
117 2021-05-29    312
118 2021-05-30    180
119 2021-05-31    149
120 2021-06-01     85
121 2021-06-02     39
122 2021-06-03     79
123 2021-06-04     82
124 2021-06-05    249
125 2021-06-06    202
126 2021-06-07   1190
127 2021-06-08   4230
128 2021-06-09   2314
129 2021-06-10    937
130 2021-06-11  11547
131 2021-06-12   1207
132 2021-06-13    682
133 2021-06-14    617
134 2021-06-15    552
135 2021-06-16    712
136 2021-06-17    342
137 2021-06-18    567
138 2021-06-19    769
139 2021-06-20    817
140 2021-06-21    642
141 2021-06-22    334
142 2021-06-23    517
143 2021-06-24    809
144 2021-06-25    342
145 2021-06-26    227
146 2021-06-27    109
147 2021-06-28    114
148 2021-06-29    107
149 2021-06-30    249
150 2021-07-01    497
151 2021-07-02   1612
152 2021-07-03   1555
153 2021-07-04   1565
154 2021-07-05   1137
155 2021-07-06    884
156 2021-07-07    452
157 2021-07-08    290
158 2021-07-09    437
159 2021-07-10    360
160 2021-07-11    347
161 2021-07-12    360
162 2021-07-13    184
163 2021-07-14    147
164 2021-07-15    157
