          date  data
0   2021-02-01    67
1   2021-02-02   145
2   2021-02-03    62
3   2021-02-04    40
4   2021-02-05     7
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    22
9   2021-02-10    74
10  2021-02-11   124
11  2021-02-12    74
12  2021-02-13    35
13  2021-02-14    12
14  2021-02-15    17
15  2021-02-16     0
16  2021-02-17    32
17  2021-02-18    49
18  2021-02-19    37
19  2021-02-20    65
20  2021-02-21    97
21  2021-02-22   100
22  2021-02-23    57
23  2021-02-24    30
24  2021-02-25     9
25  2021-02-26    15
26  2021-02-27    37
27  2021-02-28    15
28  2021-03-01    25
29  2021-03-02    25
30  2021-03-03    27
31  2021-03-04    20
32  2021-03-05    20
33  2021-03-06    37
34  2021-03-07    49
35  2021-03-08    27
36  2021-03-09   100
37  2021-03-10   157
38  2021-03-11   100
39  2021-03-12   102
40  2021-03-13    70
41  2021-03-14    95
42  2021-03-15    72
43  2021-03-16    47
44  2021-03-17   130
45  2021-03-18   210
46  2021-03-19    70
47  2021-03-20   154
48  2021-03-21   107
49  2021-03-22   117
50  2021-03-23   124
51  2021-03-24   102
52  2021-03-25    94
53  2021-03-26    92
54  2021-03-27   114
55  2021-03-28    92
56  2021-03-29   400
57  2021-03-30   199
58  2021-03-31   172
59  2021-04-01   122
60  2021-04-02    62
61  2021-04-03    55
62  2021-04-04    52
63  2021-04-05   109
64  2021-04-06    67
65  2021-04-07    37
66  2021-04-08    55
67  2021-04-09    95
68  2021-04-10    77
69  2021-04-11   112
70  2021-04-12   105
71  2021-04-13   112
72  2021-04-14    27
73  2021-04-15    35
74  2021-04-16    82
75  2021-04-17    89
76  2021-04-18    49
77  2021-04-19    60
78  2021-04-20    77
79  2021-04-21    22
80  2021-04-22    25
81  2021-04-23     7
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    57
85  2021-04-27   165
86  2021-04-28   204
87  2021-04-29   192
88  2021-04-30   299
89  2021-05-01   167
90  2021-05-02   154
91  2021-05-03   182
92  2021-05-04   365
93  2021-05-05     9
94  2021-05-06     4
95  2021-05-07     7
96  2021-05-08    17
97  2021-05-09    20
98  2021-05-10     4
99  2021-05-11     7
100 2021-05-12     0
101 2021-05-13     9
102 2021-05-14    87
103 2021-05-15  1994
104 2021-05-16     9
105 2021-05-17     9
106 2021-05-18    30
107 2021-05-19     4
108 2021-05-20   677
109 2021-05-21   180
110 2021-05-22   219
111 2021-05-23   500
112 2021-05-24   467
113 2021-05-25   227
114 2021-05-26   180
115 2021-05-27   197
116 2021-05-28   187
117 2021-05-29   264
118 2021-05-30   109
119 2021-05-31    92
120 2021-06-01    35
121 2021-06-02    79
122 2021-06-03    74
123 2021-06-04    97
124 2021-06-05   194
125 2021-06-06   109
126 2021-06-07  1372
127 2021-06-08  3795
128 2021-06-09  1764
129 2021-06-10   742
130 2021-06-11  5969
131 2021-06-12   927
132 2021-06-13   672
133 2021-06-14   575
134 2021-06-15   400
135 2021-06-16   454
136 2021-06-17   294
137 2021-06-18   409
138 2021-06-19   512
139 2021-06-20   575
140 2021-06-21   435
141 2021-06-22   232
142 2021-06-23   299
143 2021-06-24   804
144 2021-06-25   320
145 2021-06-26   172
146 2021-06-27    65
147 2021-06-28    77
148 2021-06-29    79
149 2021-06-30   145
150 2021-07-01   332
151 2021-07-02   837
152 2021-07-03  1144
153 2021-07-04  1387
154 2021-07-05   765
155 2021-07-06   479
156 2021-07-07   249
157 2021-07-08   259
158 2021-07-09   320
159 2021-07-10   204
160 2021-07-11   194
161 2021-07-12   194
162 2021-07-13   184
163 2021-07-14   119
164 2021-07-15   127
