          date  data
0   2021-02-01    32
1   2021-02-02    67
2   2021-02-03    39
3   2021-02-04    24
4   2021-02-05     4
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    25
10  2021-02-11    44
11  2021-02-12    39
12  2021-02-13    20
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17     2
17  2021-02-18    22
18  2021-02-19    20
19  2021-02-20    27
20  2021-02-21    27
21  2021-02-22    22
22  2021-02-23    20
23  2021-02-24     7
24  2021-02-25     0
25  2021-02-26     0
26  2021-02-27    12
27  2021-02-28     4
28  2021-03-01    12
29  2021-03-02     4
30  2021-03-03     7
31  2021-03-04     9
32  2021-03-05     2
33  2021-03-06     7
34  2021-03-07    12
35  2021-03-08     2
36  2021-03-09    25
37  2021-03-10    52
38  2021-03-11    35
39  2021-03-12    17
40  2021-03-13    17
41  2021-03-14    25
42  2021-03-15    12
43  2021-03-16    27
44  2021-03-17    22
45  2021-03-18    49
46  2021-03-19    15
47  2021-03-20    39
48  2021-03-21    62
49  2021-03-22    27
50  2021-03-23    44
51  2021-03-24    30
52  2021-03-25    50
53  2021-03-26    22
54  2021-03-27    32
55  2021-03-28    12
56  2021-03-29   137
57  2021-03-30    77
58  2021-03-31    37
59  2021-04-01    35
60  2021-04-02    30
61  2021-04-03    12
62  2021-04-04    20
63  2021-04-05    20
64  2021-04-06    32
65  2021-04-07    15
66  2021-04-08    25
67  2021-04-09    35
68  2021-04-10    30
69  2021-04-11    37
70  2021-04-12    49
71  2021-04-13    35
72  2021-04-14     4
73  2021-04-15     7
74  2021-04-16    20
75  2021-04-17    37
76  2021-04-18    25
77  2021-04-19    22
78  2021-04-20    25
79  2021-04-21     7
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27    44
86  2021-04-28    65
87  2021-04-29    74
88  2021-04-30   147
89  2021-05-01    72
90  2021-05-02    60
91  2021-05-03    95
92  2021-05-04   119
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09    17
98  2021-05-10     7
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15   677
104 2021-05-16     9
105 2021-05-17     7
106 2021-05-18     2
107 2021-05-19    12
108 2021-05-20   175
109 2021-05-21    67
110 2021-05-22    82
111 2021-05-23   140
112 2021-05-24   167
113 2021-05-25   105
114 2021-05-26    52
115 2021-05-27    89
116 2021-05-28    82
117 2021-05-29   117
118 2021-05-30    79
119 2021-05-31    35
120 2021-06-01    20
121 2021-06-02    15
122 2021-06-03    15
123 2021-06-04    32
124 2021-06-05    65
125 2021-06-06    55
126 2021-06-07   452
127 2021-06-08  1512
128 2021-06-09   642
129 2021-06-10   239
130 2021-06-11  2307
131 2021-06-12   382
132 2021-06-13   215
133 2021-06-14   282
134 2021-06-15   135
135 2021-06-16   167
136 2021-06-17   147
137 2021-06-18   165
138 2021-06-19   184
139 2021-06-20   177
140 2021-06-21   145
141 2021-06-22    77
142 2021-06-23   102
143 2021-06-24   252
144 2021-06-25    95
145 2021-06-26    74
146 2021-06-27    30
147 2021-06-28    15
148 2021-06-29    27
149 2021-06-30    62
150 2021-07-01   145
151 2021-07-02   320
152 2021-07-03   457
153 2021-07-04   430
154 2021-07-05   297
155 2021-07-06   147
156 2021-07-07    87
157 2021-07-08   109
158 2021-07-09   132
159 2021-07-10    77
160 2021-07-11   102
161 2021-07-12    89
162 2021-07-13    74
163 2021-07-14    37
164 2021-07-15    35
