          date  data
0   2021-02-01    60
1   2021-02-02    95
2   2021-02-03    60
3   2021-02-04    18
4   2021-02-05    20
5   2021-02-06     2
6   2021-02-07     4
7   2021-02-08     2
8   2021-02-09    30
9   2021-02-10    60
10  2021-02-11   145
11  2021-02-12    85
12  2021-02-13    27
13  2021-02-14    15
14  2021-02-15     9
15  2021-02-16     4
16  2021-02-17    27
17  2021-02-18    52
18  2021-02-19    49
19  2021-02-20    79
20  2021-02-21   100
21  2021-02-22    72
22  2021-02-23    47
23  2021-02-24    27
24  2021-02-25     7
25  2021-02-26    17
26  2021-02-27    47
27  2021-02-28    17
28  2021-03-01    22
29  2021-03-02    20
30  2021-03-03     9
31  2021-03-04    12
32  2021-03-05    15
33  2021-03-06     4
34  2021-03-07    52
35  2021-03-08    57
36  2021-03-09    95
37  2021-03-10   147
38  2021-03-11    85
39  2021-03-12    72
40  2021-03-13    42
41  2021-03-14    92
42  2021-03-15    87
43  2021-03-16    87
44  2021-03-17   117
45  2021-03-18   180
46  2021-03-19   102
47  2021-03-20   142
48  2021-03-21   105
49  2021-03-22   100
50  2021-03-23   127
51  2021-03-24    92
52  2021-03-25   158
53  2021-03-26    72
54  2021-03-27   109
55  2021-03-28    79
56  2021-03-29   347
57  2021-03-30   152
58  2021-03-31   184
59  2021-04-01   107
60  2021-04-02    77
61  2021-04-03    49
62  2021-04-04    49
63  2021-04-05    79
64  2021-04-06    70
65  2021-04-07    17
66  2021-04-08    42
67  2021-04-09   157
68  2021-04-10   107
69  2021-04-11   105
70  2021-04-12   105
71  2021-04-13    97
72  2021-04-14    42
73  2021-04-15    44
74  2021-04-16    30
75  2021-04-17    67
76  2021-04-18    70
77  2021-04-19    65
78  2021-04-20    72
79  2021-04-21    12
80  2021-04-22    39
81  2021-04-23     7
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    27
85  2021-04-27   149
86  2021-04-28   170
87  2021-04-29   194
88  2021-04-30   275
89  2021-05-01   147
90  2021-05-02   105
91  2021-05-03   180
92  2021-05-04   340
93  2021-05-05    20
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08     9
97  2021-05-09    25
98  2021-05-10    15
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14   130
103 2021-05-15  1892
104 2021-05-16    17
105 2021-05-17    20
106 2021-05-18    25
107 2021-05-19    17
108 2021-05-20   645
109 2021-05-21   167
110 2021-05-22   227
111 2021-05-23   412
112 2021-05-24   424
113 2021-05-25   235
114 2021-05-26   149
115 2021-05-27   175
116 2021-05-28   147
117 2021-05-29   252
118 2021-05-30   152
119 2021-05-31    67
120 2021-06-01    44
121 2021-06-02    52
122 2021-06-03    65
123 2021-06-04    72
124 2021-06-05   175
125 2021-06-06   159
126 2021-06-07   972
127 2021-06-08  3322
128 2021-06-09  1222
129 2021-06-10   570
130 2021-06-11  6184
131 2021-06-12   747
132 2021-06-13   622
133 2021-06-14   479
134 2021-06-15   334
135 2021-06-16   422
136 2021-06-17   307
137 2021-06-18   392
138 2021-06-19   497
139 2021-06-20   527
140 2021-06-21   347
141 2021-06-22   245
142 2021-06-23   282
143 2021-06-24   910
144 2021-06-25   235
145 2021-06-26   119
146 2021-06-27    82
147 2021-06-28    74
148 2021-06-29    70
149 2021-06-30   135
150 2021-07-01   310
151 2021-07-02   749
152 2021-07-03  1059
153 2021-07-04  1160
154 2021-07-05   672
155 2021-07-06   500
156 2021-07-07   277
157 2021-07-08   272
158 2021-07-09   290
159 2021-07-10   239
160 2021-07-11   257
161 2021-07-12   170
162 2021-07-13   124
163 2021-07-14   112
164 2021-07-15   109
