          date  data
0   2021-02-01    25
1   2021-02-02    62
2   2021-02-03    35
3   2021-02-04    18
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    20
9   2021-02-10    52
10  2021-02-11    52
11  2021-02-12    44
12  2021-02-13    15
13  2021-02-14     7
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    25
17  2021-02-18    25
18  2021-02-19    22
19  2021-02-20    22
20  2021-02-21     9
21  2021-02-22    25
22  2021-02-23    12
23  2021-02-24     2
24  2021-02-25     4
25  2021-02-26     4
26  2021-02-27     9
27  2021-02-28    22
28  2021-03-01    15
29  2021-03-02    12
30  2021-03-03     9
31  2021-03-04    15
32  2021-03-05    22
33  2021-03-06    12
34  2021-03-07    27
35  2021-03-08     7
36  2021-03-09    42
37  2021-03-10   100
38  2021-03-11    47
39  2021-03-12    35
40  2021-03-13    22
41  2021-03-14    37
42  2021-03-15    35
43  2021-03-16    15
44  2021-03-17    74
45  2021-03-18    70
46  2021-03-19    39
47  2021-03-20    82
48  2021-03-21    52
49  2021-03-22    47
50  2021-03-23    49
51  2021-03-24    39
52  2021-03-25    54
53  2021-03-26    39
54  2021-03-27    55
55  2021-03-28    25
56  2021-03-29   149
57  2021-03-30    97
58  2021-03-31   105
59  2021-04-01    42
60  2021-04-02    37
61  2021-04-03    30
62  2021-04-04     4
63  2021-04-05    20
64  2021-04-06    35
65  2021-04-07    12
66  2021-04-08     7
67  2021-04-09    25
68  2021-04-10    17
69  2021-04-11    44
70  2021-04-12    32
71  2021-04-13    20
72  2021-04-14    15
73  2021-04-15    30
74  2021-04-16    15
75  2021-04-17    25
76  2021-04-18     9
77  2021-04-19    22
78  2021-04-20    27
79  2021-04-21    12
80  2021-04-22     7
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    27
85  2021-04-27    72
86  2021-04-28    92
87  2021-04-29    74
88  2021-04-30   154
89  2021-05-01    57
90  2021-05-02    49
91  2021-05-03    30
92  2021-05-04   154
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     7
97  2021-05-09     9
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     4
101 2021-05-13     2
102 2021-05-14    25
103 2021-05-15   634
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18     9
107 2021-05-19    12
108 2021-05-20   224
109 2021-05-21    60
110 2021-05-22    92
111 2021-05-23   242
112 2021-05-24   262
113 2021-05-25   124
114 2021-05-26    92
115 2021-05-27   100
116 2021-05-28   119
117 2021-05-29   130
118 2021-05-30    52
119 2021-05-31    44
120 2021-06-01    17
121 2021-06-02    44
122 2021-06-03    25
123 2021-06-04    47
124 2021-06-05    95
125 2021-06-06    85
126 2021-06-07   592
127 2021-06-08  1722
128 2021-06-09   760
129 2021-06-10   222
130 2021-06-11  2287
131 2021-06-12   424
132 2021-06-13   269
133 2021-06-14   282
134 2021-06-15   152
135 2021-06-16   252
136 2021-06-17   147
137 2021-06-18   217
138 2021-06-19   210
139 2021-06-20   252
140 2021-06-21   137
141 2021-06-22   154
142 2021-06-23   152
143 2021-06-24   247
144 2021-06-25    95
145 2021-06-26   122
146 2021-06-27    42
147 2021-06-28    22
148 2021-06-29    12
149 2021-06-30    67
150 2021-07-01   127
151 2021-07-02   304
152 2021-07-03   489
153 2021-07-04   500
154 2021-07-05   315
155 2021-07-06   154
156 2021-07-07    82
157 2021-07-08    79
158 2021-07-09   112
159 2021-07-10    70
160 2021-07-11    82
161 2021-07-12   124
162 2021-07-13    60
163 2021-07-14    25
164 2021-07-15    30
