          date  data
0   2021-02-01    17
1   2021-02-02    39
2   2021-02-03    49
3   2021-02-04    14
4   2021-02-05    15
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    35
10  2021-02-11    42
11  2021-02-12    42
12  2021-02-13     4
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     4
16  2021-02-17     9
17  2021-02-18    20
18  2021-02-19    17
19  2021-02-20    20
20  2021-02-21    35
21  2021-02-22    30
22  2021-02-23    20
23  2021-02-24     9
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27     7
27  2021-02-28     2
28  2021-03-01    12
29  2021-03-02     4
30  2021-03-03    12
31  2021-03-04    17
32  2021-03-05    12
33  2021-03-06     9
34  2021-03-07    25
35  2021-03-08     4
36  2021-03-09    32
37  2021-03-10    77
38  2021-03-11    35
39  2021-03-12    15
40  2021-03-13    22
41  2021-03-14    17
42  2021-03-15    35
43  2021-03-16    20
44  2021-03-17    44
45  2021-03-18    60
46  2021-03-19    20
47  2021-03-20    35
48  2021-03-21    87
49  2021-03-22    25
50  2021-03-23    44
51  2021-03-24    22
52  2021-03-25    44
53  2021-03-26    52
54  2021-03-27    47
55  2021-03-28    32
56  2021-03-29   132
57  2021-03-30    95
58  2021-03-31    57
59  2021-04-01    39
60  2021-04-02    25
61  2021-04-03    17
62  2021-04-04    15
63  2021-04-05    12
64  2021-04-06    30
65  2021-04-07    15
66  2021-04-08    15
67  2021-04-09    32
68  2021-04-10    35
69  2021-04-11    42
70  2021-04-12    22
71  2021-04-13    22
72  2021-04-14    17
73  2021-04-15     7
74  2021-04-16    17
75  2021-04-17    32
76  2021-04-18    15
77  2021-04-19     9
78  2021-04-20    12
79  2021-04-21     4
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    17
85  2021-04-27    62
86  2021-04-28    57
87  2021-04-29    82
88  2021-04-30   124
89  2021-05-01    85
90  2021-05-02    55
91  2021-05-03    97
92  2021-05-04   140
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08     4
97  2021-05-09     2
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    27
103 2021-05-15   674
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18     4
107 2021-05-19     7
108 2021-05-20   182
109 2021-05-21    42
110 2021-05-22    57
111 2021-05-23   184
112 2021-05-24   184
113 2021-05-25   114
114 2021-05-26    79
115 2021-05-27    57
116 2021-05-28    74
117 2021-05-29   119
118 2021-05-30    32
119 2021-05-31    49
120 2021-06-01     9
121 2021-06-02    27
122 2021-06-03    25
123 2021-06-04    25
124 2021-06-05    70
125 2021-06-06    39
126 2021-06-07   470
127 2021-06-08  1429
128 2021-06-09   597
129 2021-06-10   215
130 2021-06-11  2059
131 2021-06-12   334
132 2021-06-13   245
133 2021-06-14   204
134 2021-06-15   142
135 2021-06-16   202
136 2021-06-17   114
137 2021-06-18   177
138 2021-06-19   175
139 2021-06-20   232
140 2021-06-21   175
141 2021-06-22   112
142 2021-06-23   112
143 2021-06-24   172
144 2021-06-25   112
145 2021-06-26    85
146 2021-06-27    25
147 2021-06-28    17
148 2021-06-29     9
149 2021-06-30    47
150 2021-07-01   159
151 2021-07-02   257
152 2021-07-03   395
153 2021-07-04   465
154 2021-07-05   299
155 2021-07-06   165
156 2021-07-07   107
157 2021-07-08    97
158 2021-07-09   102
159 2021-07-10    97
160 2021-07-11    57
161 2021-07-12    65
162 2021-07-13    62
163 2021-07-14    44
164 2021-07-15    47
