          date data
0   2021-02-01   15
1   2021-02-02    7
2   2021-02-03    0
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    0
9   2021-02-10    2
10  2021-02-11   15
11  2021-02-12    4
12  2021-02-13    7
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18   17
18  2021-02-19    2
19  2021-02-20    7
20  2021-02-21    9
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    4
28  2021-03-01    0
29  2021-03-02    2
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07   12
35  2021-03-08    0
36  2021-03-09    9
37  2021-03-10   17
38  2021-03-11   15
39  2021-03-12   15
40  2021-03-13    2
41  2021-03-14    4
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17   20
45  2021-03-18   15
46  2021-03-19   12
47  2021-03-20   15
48  2021-03-21    7
49  2021-03-22   22
50  2021-03-23   15
51  2021-03-24    4
52  2021-03-25   64
53  2021-03-26    9
54  2021-03-27   12
55  2021-03-28    9
56  2021-03-29   25
57  2021-03-30   12
58  2021-03-31   25
59  2021-04-01    7
60  2021-04-02    7
61  2021-04-03   12
62  2021-04-04    2
63  2021-04-05    4
64  2021-04-06    7
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09   20
68  2021-04-10    2
69  2021-04-11   12
70  2021-04-12   17
71  2021-04-13    7
72  2021-04-14    4
73  2021-04-15    4
74  2021-04-16    7
75  2021-04-17   12
76  2021-04-18   15
77  2021-04-19   20
78  2021-04-20    7
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   12
86  2021-04-28   15
87  2021-04-29   12
88  2021-04-30   12
89  2021-05-01    2
90  2021-05-02    9
91  2021-05-03   12
92  2021-05-04   42
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    9
103 2021-05-15  162
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    2
108 2021-05-20   42
109 2021-05-21   15
110 2021-05-22   15
111 2021-05-23   65
112 2021-05-24   35
113 2021-05-25   25
114 2021-05-26   22
115 2021-05-27   17
116 2021-05-28   17
117 2021-05-29   27
118 2021-05-30   20
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    4
123 2021-06-04    4
124 2021-06-05    9
125 2021-06-06   17
126 2021-06-07   97
127 2021-06-08  365
128 2021-06-09  202
129 2021-06-10   49
130 2021-06-11  470
131 2021-06-12   77
132 2021-06-13   42
133 2021-06-14   55
134 2021-06-15   27
135 2021-06-16   32
136 2021-06-17    9
137 2021-06-18   25
138 2021-06-19   52
139 2021-06-20   57
140 2021-06-21   37
141 2021-06-22   25
142 2021-06-23   25
143 2021-06-24   74
144 2021-06-25   35
145 2021-06-26   20
146 2021-06-27    7
147 2021-06-28    0
148 2021-06-29    4
149 2021-06-30   12
150 2021-07-01   30
151 2021-07-02   42
152 2021-07-03  105
153 2021-07-04  100
154 2021-07-05   74
155 2021-07-06   60
156 2021-07-07   17
157 2021-07-08   22
158 2021-07-09   17
159 2021-07-10   32
160 2021-07-11   17
161 2021-07-12   15
162 2021-07-13    7
163 2021-07-14   20
164 2021-07-15    7
