          date data
0   2021-02-01   25
1   2021-02-02    2
2   2021-02-03    2
3   2021-02-04    8
4   2021-02-05    0
5   2021-02-06    4
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    7
10  2021-02-11   15
11  2021-02-12    7
12  2021-02-13    7
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    7
18  2021-02-19    2
19  2021-02-20   12
20  2021-02-21   15
21  2021-02-22    9
22  2021-02-23   15
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    7
30  2021-03-03    4
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    4
36  2021-03-09    2
37  2021-03-10   22
38  2021-03-11    7
39  2021-03-12    9
40  2021-03-13    7
41  2021-03-14    7
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17   20
45  2021-03-18   22
46  2021-03-19    9
47  2021-03-20   15
48  2021-03-21    4
49  2021-03-22   22
50  2021-03-23   20
51  2021-03-24    0
52  2021-03-25    8
53  2021-03-26   12
54  2021-03-27   17
55  2021-03-28    4
56  2021-03-29   37
57  2021-03-30   25
58  2021-03-31   20
59  2021-04-01    2
60  2021-04-02   12
61  2021-04-03    2
62  2021-04-04    7
63  2021-04-05    7
64  2021-04-06    9
65  2021-04-07    7
66  2021-04-08    7
67  2021-04-09   17
68  2021-04-10   17
69  2021-04-11   17
70  2021-04-12    7
71  2021-04-13   12
72  2021-04-14    7
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17   12
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20    4
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   55
86  2021-04-28   25
87  2021-04-29   27
88  2021-04-30   35
89  2021-05-01   27
90  2021-05-02   17
91  2021-05-03   12
92  2021-05-04   37
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    7
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  184
104 2021-05-16    2
105 2021-05-17    4
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   79
109 2021-05-21   12
110 2021-05-22   22
111 2021-05-23   97
112 2021-05-24   57
113 2021-05-25   32
114 2021-05-26   32
115 2021-05-27   35
116 2021-05-28   37
117 2021-05-29   30
118 2021-05-30   32
119 2021-05-31    9
120 2021-06-01   17
121 2021-06-02    0
122 2021-06-03    7
123 2021-06-04    7
124 2021-06-05   15
125 2021-06-06   39
126 2021-06-07  184
127 2021-06-08  554
128 2021-06-09  212
129 2021-06-10   70
130 2021-06-11  610
131 2021-06-12   70
132 2021-06-13   77
133 2021-06-14   52
134 2021-06-15   32
135 2021-06-16   65
136 2021-06-17   27
137 2021-06-18   70
138 2021-06-19   87
139 2021-06-20   55
140 2021-06-21   52
141 2021-06-22   20
142 2021-06-23   27
143 2021-06-24   62
144 2021-06-25   25
145 2021-06-26   37
146 2021-06-27    4
147 2021-06-28    4
148 2021-06-29    4
149 2021-06-30   20
150 2021-07-01   35
151 2021-07-02  109
152 2021-07-03   85
153 2021-07-04  170
154 2021-07-05   79
155 2021-07-06   32
156 2021-07-07   37
157 2021-07-08   20
158 2021-07-09   55
159 2021-07-10   32
160 2021-07-11   27
161 2021-07-12   22
162 2021-07-13   32
163 2021-07-14    9
164 2021-07-15    9
