          date  data
0   2021-02-01    39
1   2021-02-02    82
2   2021-02-03    62
3   2021-02-04    18
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    20
10  2021-02-11    87
11  2021-02-12    35
12  2021-02-13     9
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17     7
17  2021-02-18    20
18  2021-02-19    32
19  2021-02-20    32
20  2021-02-21    35
21  2021-02-22    57
22  2021-02-23    17
23  2021-02-24     7
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27    12
27  2021-02-28     4
28  2021-03-01     0
29  2021-03-02    17
30  2021-03-03    17
31  2021-03-04     4
32  2021-03-05     7
33  2021-03-06    25
34  2021-03-07    15
35  2021-03-08    22
36  2021-03-09    55
37  2021-03-10    74
38  2021-03-11    44
39  2021-03-12    27
40  2021-03-13    20
41  2021-03-14    12
42  2021-03-15     9
43  2021-03-16    17
44  2021-03-17    62
45  2021-03-18    70
46  2021-03-19    60
47  2021-03-20    42
48  2021-03-21    62
49  2021-03-22    25
50  2021-03-23    70
51  2021-03-24    25
52  2021-03-25   110
53  2021-03-26    70
54  2021-03-27    42
55  2021-03-28    35
56  2021-03-29   167
57  2021-03-30   109
58  2021-03-31   112
59  2021-04-01    47
60  2021-04-02    39
61  2021-04-03    22
62  2021-04-04    27
63  2021-04-05    62
64  2021-04-06    44
65  2021-04-07    20
66  2021-04-08    15
67  2021-04-09    72
68  2021-04-10    39
69  2021-04-11    65
70  2021-04-12    70
71  2021-04-13    27
72  2021-04-14    20
73  2021-04-15    12
74  2021-04-16    25
75  2021-04-17    32
76  2021-04-18    47
77  2021-04-19    62
78  2021-04-20    32
79  2021-04-21     9
80  2021-04-22    17
81  2021-04-23     4
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27   105
86  2021-04-28   127
87  2021-04-29   119
88  2021-04-30   197
89  2021-05-01   102
90  2021-05-02    89
91  2021-05-03    87
92  2021-05-04   212
93  2021-05-05    15
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08    17
97  2021-05-09    25
98  2021-05-10     7
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13     2
102 2021-05-14    39
103 2021-05-15   992
104 2021-05-16     7
105 2021-05-17     7
106 2021-05-18    12
107 2021-05-19     9
108 2021-05-20   282
109 2021-05-21    70
110 2021-05-22   102
111 2021-05-23   277
112 2021-05-24   297
113 2021-05-25   202
114 2021-05-26   127
115 2021-05-27   105
116 2021-05-28   122
117 2021-05-29   162
118 2021-05-30   107
119 2021-05-31    27
120 2021-06-01    30
121 2021-06-02    22
122 2021-06-03    39
123 2021-06-04    47
124 2021-06-05    72
125 2021-06-06   109
126 2021-06-07   782
127 2021-06-08  2564
128 2021-06-09  1045
129 2021-06-10   297
130 2021-06-11  3170
131 2021-06-12   497
132 2021-06-13   442
133 2021-06-14   347
134 2021-06-15   219
135 2021-06-16   304
136 2021-06-17   172
137 2021-06-18   207
138 2021-06-19   400
139 2021-06-20   327
140 2021-06-21   317
141 2021-06-22   227
142 2021-06-23   204
143 2021-06-24   332
144 2021-06-25   130
145 2021-06-26   109
146 2021-06-27    47
147 2021-06-28    42
148 2021-06-29    37
149 2021-06-30   105
150 2021-07-01   262
151 2021-07-02   412
152 2021-07-03   620
153 2021-07-04   702
154 2021-07-05   419
155 2021-07-06   232
156 2021-07-07   132
157 2021-07-08   157
158 2021-07-09   157
159 2021-07-10   127
160 2021-07-11   112
161 2021-07-12   145
162 2021-07-13   140
163 2021-07-14    97
164 2021-07-15    87
