          date  data
0   2021-02-01    85
1   2021-02-02   142
2   2021-02-03    82
3   2021-02-04    60
4   2021-02-05     4
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    39
9   2021-02-10   102
10  2021-02-11   119
11  2021-02-12    57
12  2021-02-13    20
13  2021-02-14    15
14  2021-02-15    15
15  2021-02-16     2
16  2021-02-17    32
17  2021-02-18    52
18  2021-02-19    85
19  2021-02-20    85
20  2021-02-21    87
21  2021-02-22    77
22  2021-02-23    39
23  2021-02-24    32
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    15
27  2021-02-28    32
28  2021-03-01    25
29  2021-03-02    37
30  2021-03-03    12
31  2021-03-04    15
32  2021-03-05    37
33  2021-03-06    15
34  2021-03-07    35
35  2021-03-08    30
36  2021-03-09    60
37  2021-03-10   122
38  2021-03-11    72
39  2021-03-12    85
40  2021-03-13    55
41  2021-03-14    70
42  2021-03-15    35
43  2021-03-16    60
44  2021-03-17   100
45  2021-03-18   162
46  2021-03-19   109
47  2021-03-20   182
48  2021-03-21   149
49  2021-03-22    79
50  2021-03-23    67
51  2021-03-24    85
52  2021-03-25   124
53  2021-03-26    95
54  2021-03-27    74
55  2021-03-28   109
56  2021-03-29   239
57  2021-03-30   172
58  2021-03-31   177
59  2021-04-01    95
60  2021-04-02    70
61  2021-04-03    35
62  2021-04-04    20
63  2021-04-05    77
64  2021-04-06    72
65  2021-04-07    17
66  2021-04-08    22
67  2021-04-09    97
68  2021-04-10    70
69  2021-04-11    97
70  2021-04-12    89
71  2021-04-13    67
72  2021-04-14    27
73  2021-04-15    15
74  2021-04-16    37
75  2021-04-17    49
76  2021-04-18    49
77  2021-04-19    32
78  2021-04-20    47
79  2021-04-21    20
80  2021-04-22     9
81  2021-04-23    12
82  2021-04-24     4
83  2021-04-25     7
84  2021-04-26    30
85  2021-04-27   154
86  2021-04-28   154
87  2021-04-29   204
88  2021-04-30   252
89  2021-05-01   194
90  2021-05-02   142
91  2021-05-03   112
92  2021-05-04   320
93  2021-05-05    12
94  2021-05-06     0
95  2021-05-07    12
96  2021-05-08    25
97  2021-05-09    22
98  2021-05-10    15
99  2021-05-11     7
100 2021-05-12     7
101 2021-05-13     4
102 2021-05-14    79
103 2021-05-15  2007
104 2021-05-16    27
105 2021-05-17    12
106 2021-05-18    20
107 2021-05-19     9
108 2021-05-20   542
109 2021-05-21   147
110 2021-05-22   212
111 2021-05-23   290
112 2021-05-24   285
113 2021-05-25   182
114 2021-05-26   124
115 2021-05-27   180
116 2021-05-28   165
117 2021-05-29   207
118 2021-05-30   102
119 2021-05-31    57
120 2021-06-01    22
121 2021-06-02    30
122 2021-06-03    55
123 2021-06-04    55
124 2021-06-05   132
125 2021-06-06   112
126 2021-06-07   957
127 2021-06-08  3229
128 2021-06-09  1577
129 2021-06-10   674
130 2021-06-11  4717
131 2021-06-12   702
132 2021-06-13   467
133 2021-06-14   412
134 2021-06-15   317
135 2021-06-16   379
136 2021-06-17   242
137 2021-06-18   287
138 2021-06-19   417
139 2021-06-20   479
140 2021-06-21   352
141 2021-06-22   219
142 2021-06-23   267
143 2021-06-24   427
144 2021-06-25   245
145 2021-06-26   142
146 2021-06-27    47
147 2021-06-28    35
148 2021-06-29    55
149 2021-06-30   137
150 2021-07-01   275
151 2021-07-02   687
152 2021-07-03   894
153 2021-07-04   827
154 2021-07-05   527
155 2021-07-06   310
156 2021-07-07   192
157 2021-07-08   147
158 2021-07-09   232
159 2021-07-10   194
160 2021-07-11   204
161 2021-07-12   182
162 2021-07-13   175
163 2021-07-14    70
164 2021-07-15    82
