          date  data
0   2021-02-01    70
1   2021-02-02    92
2   2021-02-03    52
3   2021-02-04     4
4   2021-02-05     7
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    22
9   2021-02-10    57
10  2021-02-11   100
11  2021-02-12    55
12  2021-02-13    20
13  2021-02-14     7
14  2021-02-15     2
15  2021-02-16     4
16  2021-02-17    15
17  2021-02-18    47
18  2021-02-19    60
19  2021-02-20    67
20  2021-02-21    39
21  2021-02-22    55
22  2021-02-23    52
23  2021-02-24    17
24  2021-02-25     0
25  2021-02-26    15
26  2021-02-27    15
27  2021-02-28    20
28  2021-03-01    25
29  2021-03-02    37
30  2021-03-03    27
31  2021-03-04    20
32  2021-03-05     7
33  2021-03-06    17
34  2021-03-07    44
35  2021-03-08    30
36  2021-03-09    47
37  2021-03-10    72
38  2021-03-11    72
39  2021-03-12    44
40  2021-03-13    47
41  2021-03-14   100
42  2021-03-15    44
43  2021-03-16    47
44  2021-03-17    60
45  2021-03-18    95
46  2021-03-19    60
47  2021-03-20    67
48  2021-03-21   105
49  2021-03-22    44
50  2021-03-23    55
51  2021-03-24    17
52  2021-03-25   120
53  2021-03-26    65
54  2021-03-27    72
55  2021-03-28    30
56  2021-03-29   182
57  2021-03-30   109
58  2021-03-31   114
59  2021-04-01    32
60  2021-04-02    49
61  2021-04-03    27
62  2021-04-04    32
63  2021-04-05    57
64  2021-04-06    49
65  2021-04-07    15
66  2021-04-08    22
67  2021-04-09   100
68  2021-04-10    52
69  2021-04-11    92
70  2021-04-12    49
71  2021-04-13    32
72  2021-04-14     9
73  2021-04-15    17
74  2021-04-16    27
75  2021-04-17    30
76  2021-04-18    20
77  2021-04-19    39
78  2021-04-20    12
79  2021-04-21     7
80  2021-04-22     9
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    12
85  2021-04-27    70
86  2021-04-28   109
87  2021-04-29    89
88  2021-04-30   175
89  2021-05-01    70
90  2021-05-02    67
91  2021-05-03    85
92  2021-05-04   210
93  2021-05-05     4
94  2021-05-06    12
95  2021-05-07     2
96  2021-05-08    15
97  2021-05-09     9
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     7
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15  1059
104 2021-05-16    15
105 2021-05-17     2
106 2021-05-18     7
107 2021-05-19    17
108 2021-05-20   345
109 2021-05-21   122
110 2021-05-22   127
111 2021-05-23   192
112 2021-05-24   232
113 2021-05-25   119
114 2021-05-26    97
115 2021-05-27   107
116 2021-05-28   119
117 2021-05-29   105
118 2021-05-30    87
119 2021-05-31    60
120 2021-06-01    32
121 2021-06-02    37
122 2021-06-03    22
123 2021-06-04    27
124 2021-06-05    79
125 2021-06-06    72
126 2021-06-07   519
127 2021-06-08  1850
128 2021-06-09   812
129 2021-06-10   329
130 2021-06-11  3584
131 2021-06-12   432
132 2021-06-13   235
133 2021-06-14   212
134 2021-06-15   219
135 2021-06-16   264
136 2021-06-17   172
137 2021-06-18   199
138 2021-06-19   259
139 2021-06-20   285
140 2021-06-21   157
141 2021-06-22   142
142 2021-06-23   165
143 2021-06-24   317
144 2021-06-25   112
145 2021-06-26    55
146 2021-06-27    55
147 2021-06-28    35
148 2021-06-29    25
149 2021-06-30    52
150 2021-07-01   162
151 2021-07-02   432
152 2021-07-03   527
153 2021-07-04   510
154 2021-07-05   302
155 2021-07-06   222
156 2021-07-07   117
157 2021-07-08    74
158 2021-07-09   170
159 2021-07-10    82
160 2021-07-11    95
161 2021-07-12   154
162 2021-07-13    92
163 2021-07-14    67
164 2021-07-15    52
