          date  data
0   2021-02-01    27
1   2021-02-02    39
2   2021-02-03    15
3   2021-02-04     8
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    37
10  2021-02-11    42
11  2021-02-12     4
12  2021-02-13     4
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     7
17  2021-02-18     9
18  2021-02-19    20
19  2021-02-20    30
20  2021-02-21     9
21  2021-02-22     9
22  2021-02-23     4
23  2021-02-24     0
24  2021-02-25     2
25  2021-02-26     7
26  2021-02-27     2
27  2021-02-28     0
28  2021-03-01     7
29  2021-03-02     4
30  2021-03-03     9
31  2021-03-04     4
32  2021-03-05    15
33  2021-03-06     4
34  2021-03-07    12
35  2021-03-08     7
36  2021-03-09     9
37  2021-03-10    37
38  2021-03-11     7
39  2021-03-12    22
40  2021-03-13     4
41  2021-03-14     9
42  2021-03-15     7
43  2021-03-16     0
44  2021-03-17    20
45  2021-03-18    35
46  2021-03-19    32
47  2021-03-20    44
48  2021-03-21    42
49  2021-03-22    17
50  2021-03-23    47
51  2021-03-24    25
52  2021-03-25    14
53  2021-03-26    20
54  2021-03-27     7
55  2021-03-28    22
56  2021-03-29   100
57  2021-03-30    42
58  2021-03-31    25
59  2021-04-01    27
60  2021-04-02     2
61  2021-04-03     2
62  2021-04-04     4
63  2021-04-05    15
64  2021-04-06    12
65  2021-04-07     9
66  2021-04-08    12
67  2021-04-09    22
68  2021-04-10    25
69  2021-04-11    20
70  2021-04-12    27
71  2021-04-13    22
72  2021-04-14     4
73  2021-04-15    12
74  2021-04-16     0
75  2021-04-17     7
76  2021-04-18     0
77  2021-04-19     0
78  2021-04-20     4
79  2021-04-21     7
80  2021-04-22     0
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     2
85  2021-04-27    37
86  2021-04-28    44
87  2021-04-29    30
88  2021-04-30    57
89  2021-05-01    39
90  2021-05-02     9
91  2021-05-03    27
92  2021-05-04    52
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09     2
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    25
103 2021-05-15   430
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18     4
107 2021-05-19     0
108 2021-05-20   159
109 2021-05-21    49
110 2021-05-22    44
111 2021-05-23    89
112 2021-05-24    77
113 2021-05-25    27
114 2021-05-26    25
115 2021-05-27    32
116 2021-05-28    32
117 2021-05-29    35
118 2021-05-30    17
119 2021-05-31    12
120 2021-06-01    12
121 2021-06-02    12
122 2021-06-03     7
123 2021-06-04     4
124 2021-06-05    39
125 2021-06-06    30
126 2021-06-07   165
127 2021-06-08   620
128 2021-06-09   385
129 2021-06-10   114
130 2021-06-11  1119
131 2021-06-12   147
132 2021-06-13   107
133 2021-06-14    82
134 2021-06-15    65
135 2021-06-16    65
136 2021-06-17    42
137 2021-06-18    67
138 2021-06-19   102
139 2021-06-20    79
140 2021-06-21    55
141 2021-06-22    62
142 2021-06-23    55
143 2021-06-24    85
144 2021-06-25    47
145 2021-06-26    42
146 2021-06-27    12
147 2021-06-28    15
148 2021-06-29     0
149 2021-06-30     9
150 2021-07-01    49
151 2021-07-02   197
152 2021-07-03   222
153 2021-07-04   172
154 2021-07-05   119
155 2021-07-06    79
156 2021-07-07    30
157 2021-07-08    44
158 2021-07-09    79
159 2021-07-10    42
160 2021-07-11    22
161 2021-07-12    62
162 2021-07-13    44
163 2021-07-14    12
164 2021-07-15    35
