          date  data
0   2021-02-01    49
1   2021-02-02    55
2   2021-02-03    20
3   2021-02-04     8
4   2021-02-05    12
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    30
9   2021-02-10    42
10  2021-02-11   102
11  2021-02-12    37
12  2021-02-13    12
13  2021-02-14     4
14  2021-02-15     7
15  2021-02-16     7
16  2021-02-17    30
17  2021-02-18    42
18  2021-02-19    32
19  2021-02-20    37
20  2021-02-21    42
21  2021-02-22    62
22  2021-02-23    32
23  2021-02-24    12
24  2021-02-25     7
25  2021-02-26     4
26  2021-02-27    12
27  2021-02-28     9
28  2021-03-01    42
29  2021-03-02    47
30  2021-03-03     7
31  2021-03-04    22
32  2021-03-05     4
33  2021-03-06    15
34  2021-03-07    22
35  2021-03-08    20
36  2021-03-09    25
37  2021-03-10   114
38  2021-03-11    60
39  2021-03-12    42
40  2021-03-13    30
41  2021-03-14    70
42  2021-03-15    22
43  2021-03-16    17
44  2021-03-17    70
45  2021-03-18    79
46  2021-03-19    55
47  2021-03-20    77
48  2021-03-21    65
49  2021-03-22    30
50  2021-03-23    55
51  2021-03-24    44
52  2021-03-25    70
53  2021-03-26    70
54  2021-03-27    65
55  2021-03-28    22
56  2021-03-29   172
57  2021-03-30    97
58  2021-03-31    70
59  2021-04-01    62
60  2021-04-02    30
61  2021-04-03    30
62  2021-04-04    22
63  2021-04-05    35
64  2021-04-06    22
65  2021-04-07    15
66  2021-04-08     4
67  2021-04-09    47
68  2021-04-10    70
69  2021-04-11    55
70  2021-04-12    47
71  2021-04-13    25
72  2021-04-14    22
73  2021-04-15     7
74  2021-04-16    30
75  2021-04-17    32
76  2021-04-18    17
77  2021-04-19    22
78  2021-04-20     7
79  2021-04-21    17
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    22
85  2021-04-27    62
86  2021-04-28    95
87  2021-04-29    62
88  2021-04-30   137
89  2021-05-01    87
90  2021-05-02    65
91  2021-05-03    87
92  2021-05-04   157
93  2021-05-05    12
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08    15
97  2021-05-09     7
98  2021-05-10     7
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    39
103 2021-05-15   879
104 2021-05-16    15
105 2021-05-17     7
106 2021-05-18     0
107 2021-05-19     0
108 2021-05-20   219
109 2021-05-21    70
110 2021-05-22    89
111 2021-05-23   137
112 2021-05-24   152
113 2021-05-25    92
114 2021-05-26    44
115 2021-05-27    57
116 2021-05-28    67
117 2021-05-29   105
118 2021-05-30    32
119 2021-05-31    20
120 2021-06-01    35
121 2021-06-02    20
122 2021-06-03    27
123 2021-06-04    32
124 2021-06-05    89
125 2021-06-06    60
126 2021-06-07   387
127 2021-06-08  1574
128 2021-06-09   734
129 2021-06-10   259
130 2021-06-11  2260
131 2021-06-12   357
132 2021-06-13   252
133 2021-06-14   204
134 2021-06-15   114
135 2021-06-16   222
136 2021-06-17    97
137 2021-06-18   132
138 2021-06-19   207
139 2021-06-20   215
140 2021-06-21   184
141 2021-06-22   105
142 2021-06-23   122
143 2021-06-24   224
144 2021-06-25    77
145 2021-06-26    77
146 2021-06-27    35
147 2021-06-28    25
148 2021-06-29    30
149 2021-06-30    70
150 2021-07-01   167
151 2021-07-02   345
152 2021-07-03   477
153 2021-07-04   435
154 2021-07-05   259
155 2021-07-06   170
156 2021-07-07    97
157 2021-07-08    89
158 2021-07-09   127
159 2021-07-10    97
160 2021-07-11   100
161 2021-07-12   135
162 2021-07-13    72
163 2021-07-14    39
164 2021-07-15    55
