          date   data
0   2021-02-01    204
1   2021-02-02    702
2   2021-02-03    340
3   2021-02-04    244
4   2021-02-05     87
5   2021-02-06     30
6   2021-02-07      9
7   2021-02-08      7
8   2021-02-09    119
9   2021-02-10    329
10  2021-02-11    362
11  2021-02-12    245
12  2021-02-13     95
13  2021-02-14     27
14  2021-02-15     12
15  2021-02-16     12
16  2021-02-17     44
17  2021-02-18    202
18  2021-02-19    217
19  2021-02-20    387
20  2021-02-21    357
21  2021-02-22    267
22  2021-02-23    157
23  2021-02-24     57
24  2021-02-25     42
25  2021-02-26     37
26  2021-02-27    112
27  2021-02-28     62
28  2021-03-01    105
29  2021-03-02    107
30  2021-03-03    109
31  2021-03-04    114
32  2021-03-05     55
33  2021-03-06     49
34  2021-03-07    117
35  2021-03-08     85
36  2021-03-09    182
37  2021-03-10    562
38  2021-03-11    299
39  2021-03-12    264
40  2021-03-13    197
41  2021-03-14    360
42  2021-03-15    167
43  2021-03-16    147
44  2021-03-17    360
45  2021-03-18    587
46  2021-03-19    500
47  2021-03-20    357
48  2021-03-21    387
49  2021-03-22    302
50  2021-03-23    362
51  2021-03-24    165
52  2021-03-25    434
53  2021-03-26    325
54  2021-03-27    227
55  2021-03-28    242
56  2021-03-29    427
57  2021-03-30    180
58  2021-03-31    299
59  2021-04-01    245
60  2021-04-02    207
61  2021-04-03    142
62  2021-04-04    124
63  2021-04-05    235
64  2021-04-06    177
65  2021-04-07    137
66  2021-04-08     87
67  2021-04-09    407
68  2021-04-10    227
69  2021-04-11    317
70  2021-04-12    269
71  2021-04-13    237
72  2021-04-14    117
73  2021-04-15     62
74  2021-04-16    127
75  2021-04-17    184
76  2021-04-18    130
77  2021-04-19    255
78  2021-04-20    157
79  2021-04-21     97
80  2021-04-22     55
81  2021-04-23     22
82  2021-04-24      7
83  2021-04-25      2
84  2021-04-26     87
85  2021-04-27    377
86  2021-04-28    565
87  2021-04-29    400
88  2021-04-30    749
89  2021-05-01    379
90  2021-05-02    317
91  2021-05-03    447
92  2021-05-04    945
93  2021-05-05     15
94  2021-05-06     17
95  2021-05-07     25
96  2021-05-08     27
97  2021-05-09     72
98  2021-05-10     42
99  2021-05-11     27
100 2021-05-12     12
101 2021-05-13     30
102 2021-05-14    239
103 2021-05-15   6862
104 2021-05-16     52
105 2021-05-17     35
106 2021-05-18     57
107 2021-05-19     67
108 2021-05-20   2215
109 2021-05-21    615
110 2021-05-22    692
111 2021-05-23   1015
112 2021-05-24   1082
113 2021-05-25    507
114 2021-05-26    307
115 2021-05-27    462
116 2021-05-28    494
117 2021-05-29    374
118 2021-05-30    342
119 2021-05-31    249
120 2021-06-01     97
121 2021-06-02    162
122 2021-06-03    137
123 2021-06-04    149
124 2021-06-05    417
125 2021-06-06    362
126 2021-06-07   2097
127 2021-06-08   8234
128 2021-06-09   3782
129 2021-06-10   1422
130 2021-06-11  15287
131 2021-06-12   1882
132 2021-06-13   1032
133 2021-06-14    964
134 2021-06-15    782
135 2021-06-16   1095
136 2021-06-17    552
137 2021-06-18    814
138 2021-06-19   1082
139 2021-06-20   1077
140 2021-06-21    847
141 2021-06-22    620
142 2021-06-23    650
143 2021-06-24   1095
144 2021-06-25    510
145 2021-06-26    360
146 2021-06-27    162
147 2021-06-28    142
148 2021-06-29    165
149 2021-06-30    290
150 2021-07-01    647
151 2021-07-02   2387
152 2021-07-03   2389
153 2021-07-04   1887
154 2021-07-05   1302
155 2021-07-06   1079
156 2021-07-07    582
157 2021-07-08    412
158 2021-07-09    617
159 2021-07-10    460
160 2021-07-11    424
161 2021-07-12    552
162 2021-07-13    307
163 2021-07-14    239
164 2021-07-15    210
