          date  data
0   2021-02-01    27
1   2021-02-02    74
2   2021-02-03    25
3   2021-02-04    24
4   2021-02-05    17
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    17
9   2021-02-10    39
10  2021-02-11    57
11  2021-02-12    30
12  2021-02-13     9
13  2021-02-14    12
14  2021-02-15     4
15  2021-02-16     0
16  2021-02-17    15
17  2021-02-18    42
18  2021-02-19    35
19  2021-02-20    44
20  2021-02-21    39
21  2021-02-22    37
22  2021-02-23     7
23  2021-02-24     0
24  2021-02-25     2
25  2021-02-26     4
26  2021-02-27    12
27  2021-02-28     0
28  2021-03-01     4
29  2021-03-02    17
30  2021-03-03     7
31  2021-03-04     7
32  2021-03-05     4
33  2021-03-06     4
34  2021-03-07    25
35  2021-03-08    17
36  2021-03-09    52
37  2021-03-10    92
38  2021-03-11    37
39  2021-03-12    22
40  2021-03-13    32
41  2021-03-14    55
42  2021-03-15    27
43  2021-03-16    35
44  2021-03-17    39
45  2021-03-18    60
46  2021-03-19    52
47  2021-03-20    67
48  2021-03-21    85
49  2021-03-22    44
50  2021-03-23    35
51  2021-03-24    12
52  2021-03-25    60
53  2021-03-26    57
54  2021-03-27    30
55  2021-03-28    17
56  2021-03-29   124
57  2021-03-30    57
58  2021-03-31    77
59  2021-04-01    55
60  2021-04-02    30
61  2021-04-03    17
62  2021-04-04    32
63  2021-04-05    42
64  2021-04-06    25
65  2021-04-07     9
66  2021-04-08    17
67  2021-04-09    57
68  2021-04-10    42
69  2021-04-11    72
70  2021-04-12    35
71  2021-04-13    25
72  2021-04-14    20
73  2021-04-15    12
74  2021-04-16    12
75  2021-04-17    27
76  2021-04-18     9
77  2021-04-19    30
78  2021-04-20    17
79  2021-04-21     4
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27    49
86  2021-04-28    62
87  2021-04-29    39
88  2021-04-30   107
89  2021-05-01    60
90  2021-05-02    25
91  2021-05-03    35
92  2021-05-04   112
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     9
97  2021-05-09    12
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     4
101 2021-05-13     0
102 2021-05-14    27
103 2021-05-15   709
104 2021-05-16     0
105 2021-05-17     7
106 2021-05-18     4
107 2021-05-19    20
108 2021-05-20   242
109 2021-05-21    67
110 2021-05-22    85
111 2021-05-23   124
112 2021-05-24    97
113 2021-05-25    52
114 2021-05-26    32
115 2021-05-27    67
116 2021-05-28    79
117 2021-05-29    74
118 2021-05-30    35
119 2021-05-31    27
120 2021-06-01     9
121 2021-06-02    42
122 2021-06-03    20
123 2021-06-04    25
124 2021-06-05    57
125 2021-06-06    32
126 2021-06-07   294
127 2021-06-08   962
128 2021-06-09   467
129 2021-06-10   187
130 2021-06-11  1827
131 2021-06-12   307
132 2021-06-13   194
133 2021-06-14   157
134 2021-06-15   105
135 2021-06-16   175
136 2021-06-17    65
137 2021-06-18    97
138 2021-06-19   130
139 2021-06-20   147
140 2021-06-21   102
141 2021-06-22    67
142 2021-06-23    82
143 2021-06-24   165
144 2021-06-25    74
145 2021-06-26    47
146 2021-06-27    15
147 2021-06-28    30
148 2021-06-29    25
149 2021-06-30    52
150 2021-07-01   102
151 2021-07-02   292
152 2021-07-03   259
153 2021-07-04   245
154 2021-07-05   192
155 2021-07-06    92
156 2021-07-07    89
157 2021-07-08    55
158 2021-07-09    52
159 2021-07-10    57
160 2021-07-11    44
161 2021-07-12    65
162 2021-07-13    65
163 2021-07-14    25
164 2021-07-15    27
