          date  data
0   2021-02-01    42
1   2021-02-02    49
2   2021-02-03    25
3   2021-02-04     8
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    32
10  2021-02-11    55
11  2021-02-12     7
12  2021-02-13     4
13  2021-02-14     0
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17     7
17  2021-02-18    27
18  2021-02-19     9
19  2021-02-20    17
20  2021-02-21    27
21  2021-02-22    32
22  2021-02-23    20
23  2021-02-24     4
24  2021-02-25     0
25  2021-02-26     0
26  2021-02-27     7
27  2021-02-28     2
28  2021-03-01     4
29  2021-03-02     7
30  2021-03-03    12
31  2021-03-04    12
32  2021-03-05     2
33  2021-03-06     0
34  2021-03-07    15
35  2021-03-08     9
36  2021-03-09    12
37  2021-03-10    47
38  2021-03-11    20
39  2021-03-12    15
40  2021-03-13    15
41  2021-03-14    25
42  2021-03-15    27
43  2021-03-16    15
44  2021-03-17    27
45  2021-03-18    39
46  2021-03-19    20
47  2021-03-20    32
48  2021-03-21    32
49  2021-03-22    22
50  2021-03-23    20
51  2021-03-24    12
52  2021-03-25    14
53  2021-03-26    20
54  2021-03-27    30
55  2021-03-28    12
56  2021-03-29    97
57  2021-03-30    47
58  2021-03-31    47
59  2021-04-01    12
60  2021-04-02    15
61  2021-04-03     9
62  2021-04-04     7
63  2021-04-05    15
64  2021-04-06    27
65  2021-04-07     2
66  2021-04-08     4
67  2021-04-09    30
68  2021-04-10    20
69  2021-04-11    12
70  2021-04-12    25
71  2021-04-13    12
72  2021-04-14     2
73  2021-04-15     7
74  2021-04-16    32
75  2021-04-17    12
76  2021-04-18     7
77  2021-04-19     7
78  2021-04-20    12
79  2021-04-21     2
80  2021-04-22     4
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     7
85  2021-04-27    60
86  2021-04-28    39
87  2021-04-29    25
88  2021-04-30    79
89  2021-05-01    42
90  2021-05-02    39
91  2021-05-03    65
92  2021-05-04    85
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09     7
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     2
101 2021-05-13     2
102 2021-05-14     9
103 2021-05-15   427
104 2021-05-16     2
105 2021-05-17     0
106 2021-05-18     0
107 2021-05-19     7
108 2021-05-20   109
109 2021-05-21    39
110 2021-05-22    37
111 2021-05-23    70
112 2021-05-24    57
113 2021-05-25    27
114 2021-05-26    25
115 2021-05-27    22
116 2021-05-28    39
117 2021-05-29    42
118 2021-05-30    32
119 2021-05-31    15
120 2021-06-01     2
121 2021-06-02     4
122 2021-06-03    15
123 2021-06-04    22
124 2021-06-05    35
125 2021-06-06    30
126 2021-06-07   215
127 2021-06-08   865
128 2021-06-09   387
129 2021-06-10   149
130 2021-06-11  1097
131 2021-06-12   199
132 2021-06-13   119
133 2021-06-14   107
134 2021-06-15    79
135 2021-06-16   100
136 2021-06-17    47
137 2021-06-18    55
138 2021-06-19    87
139 2021-06-20    87
140 2021-06-21   100
141 2021-06-22    42
142 2021-06-23    62
143 2021-06-24    74
144 2021-06-25    72
145 2021-06-26    55
146 2021-06-27     7
147 2021-06-28     7
148 2021-06-29    12
149 2021-06-30    37
150 2021-07-01    65
151 2021-07-02   154
152 2021-07-03   245
153 2021-07-04   212
154 2021-07-05   127
155 2021-07-06    87
156 2021-07-07    47
157 2021-07-08    57
158 2021-07-09    37
159 2021-07-10    32
160 2021-07-11    37
161 2021-07-12    27
162 2021-07-13    39
163 2021-07-14    25
164 2021-07-15    37
