          date  data
0   2021-02-01    70
1   2021-02-02   102
2   2021-02-03    72
3   2021-02-04    84
4   2021-02-05     4
5   2021-02-06     7
6   2021-02-07     4
7   2021-02-08     4
8   2021-02-09    32
9   2021-02-10   107
10  2021-02-11   107
11  2021-02-12    79
12  2021-02-13    15
13  2021-02-14     9
14  2021-02-15     4
15  2021-02-16     7
16  2021-02-17    25
17  2021-02-18    39
18  2021-02-19    32
19  2021-02-20    60
20  2021-02-21    74
21  2021-02-22    89
22  2021-02-23    32
23  2021-02-24    37
24  2021-02-25    12
25  2021-02-26    15
26  2021-02-27    44
27  2021-02-28    27
28  2021-03-01    25
29  2021-03-02    42
30  2021-03-03    22
31  2021-03-04    22
32  2021-03-05    32
33  2021-03-06    12
34  2021-03-07    65
35  2021-03-08    30
36  2021-03-09    62
37  2021-03-10   102
38  2021-03-11    60
39  2021-03-12    44
40  2021-03-13    47
41  2021-03-14    52
42  2021-03-15    39
43  2021-03-16    55
44  2021-03-17    82
45  2021-03-18    79
46  2021-03-19    57
47  2021-03-20   122
48  2021-03-21    89
49  2021-03-22    42
50  2021-03-23    72
51  2021-03-24    39
52  2021-03-25    94
53  2021-03-26    62
54  2021-03-27    52
55  2021-03-28    65
56  2021-03-29   247
57  2021-03-30   137
58  2021-03-31   162
59  2021-04-01    57
60  2021-04-02    47
61  2021-04-03    25
62  2021-04-04    25
63  2021-04-05    37
64  2021-04-06    37
65  2021-04-07    27
66  2021-04-08    12
67  2021-04-09    65
68  2021-04-10    67
69  2021-04-11    70
70  2021-04-12    57
71  2021-04-13    47
72  2021-04-14    30
73  2021-04-15     7
74  2021-04-16     7
75  2021-04-17    32
76  2021-04-18    32
77  2021-04-19    30
78  2021-04-20    30
79  2021-04-21     4
80  2021-04-22     2
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    67
86  2021-04-28    79
87  2021-04-29   117
88  2021-04-30   172
89  2021-05-01    79
90  2021-05-02    85
91  2021-05-03    57
92  2021-05-04   124
93  2021-05-05     7
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09     7
98  2021-05-10     7
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    42
103 2021-05-15  1202
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18     9
107 2021-05-19    17
108 2021-05-20   342
109 2021-05-21    89
110 2021-05-22   119
111 2021-05-23   242
112 2021-05-24   204
113 2021-05-25   100
114 2021-05-26    57
115 2021-05-27    79
116 2021-05-28    82
117 2021-05-29   107
118 2021-05-30    57
119 2021-05-31    22
120 2021-06-01    20
121 2021-06-02    22
122 2021-06-03    30
123 2021-06-04    44
124 2021-06-05   122
125 2021-06-06    89
126 2021-06-07   570
127 2021-06-08  2067
128 2021-06-09  1037
129 2021-06-10   360
130 2021-06-11  2899
131 2021-06-12   530
132 2021-06-13   322
133 2021-06-14   275
134 2021-06-15   184
135 2021-06-16   249
136 2021-06-17   137
137 2021-06-18   194
138 2021-06-19   217
139 2021-06-20   287
140 2021-06-21   210
141 2021-06-22   145
142 2021-06-23   159
143 2021-06-24   262
144 2021-06-25   170
145 2021-06-26   107
146 2021-06-27    37
147 2021-06-28    37
148 2021-06-29    52
149 2021-06-30    60
150 2021-07-01   245
151 2021-07-02   442
152 2021-07-03   582
153 2021-07-04   584
154 2021-07-05   350
155 2021-07-06   227
156 2021-07-07   119
157 2021-07-08   137
158 2021-07-09   162
159 2021-07-10   159
160 2021-07-11   149
161 2021-07-12   130
162 2021-07-13   105
163 2021-07-14    77
164 2021-07-15    77
