          date data
0   2021-02-01    9
1   2021-02-02   12
2   2021-02-03    7
3   2021-02-04    8
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10   17
10  2021-02-11   32
11  2021-02-12    7
12  2021-02-13    0
13  2021-02-14    2
14  2021-02-15    4
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18   20
18  2021-02-19   12
19  2021-02-20    7
20  2021-02-21   17
21  2021-02-22   17
22  2021-02-23    7
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    2
26  2021-02-27    4
27  2021-02-28    4
28  2021-03-01   12
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    4
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    4
36  2021-03-09    9
37  2021-03-10   39
38  2021-03-11    9
39  2021-03-12    9
40  2021-03-13    9
41  2021-03-14    9
42  2021-03-15   12
43  2021-03-16    2
44  2021-03-17   39
45  2021-03-18   20
46  2021-03-19   12
47  2021-03-20   49
48  2021-03-21   57
49  2021-03-22    9
50  2021-03-23    7
51  2021-03-24   15
52  2021-03-25   34
53  2021-03-26   25
54  2021-03-27    9
55  2021-03-28   20
56  2021-03-29   35
57  2021-03-30   25
58  2021-03-31   25
59  2021-04-01   25
60  2021-04-02    7
61  2021-04-03   17
62  2021-04-04    4
63  2021-04-05   12
64  2021-04-06   30
65  2021-04-07   12
66  2021-04-08    2
67  2021-04-09   17
68  2021-04-10   20
69  2021-04-11   15
70  2021-04-12    7
71  2021-04-13    7
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    7
76  2021-04-18   12
77  2021-04-19    9
78  2021-04-20    0
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    7
86  2021-04-28   32
87  2021-04-29   22
88  2021-04-30   30
89  2021-05-01   15
90  2021-05-02   17
91  2021-05-03   25
92  2021-05-04   35
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    4
96  2021-05-08   12
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  325
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    7
108 2021-05-20   55
109 2021-05-21   25
110 2021-05-22   22
111 2021-05-23   60
112 2021-05-24   39
113 2021-05-25   27
114 2021-05-26   12
115 2021-05-27   22
116 2021-05-28   27
117 2021-05-29   49
118 2021-05-30    9
119 2021-05-31    7
120 2021-06-01    0
121 2021-06-02    7
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05   22
125 2021-06-06   15
126 2021-06-07  147
127 2021-06-08  435
128 2021-06-09  219
129 2021-06-10  109
130 2021-06-11  682
131 2021-06-12   95
132 2021-06-13   77
133 2021-06-14   62
134 2021-06-15   49
135 2021-06-16   52
136 2021-06-17   35
137 2021-06-18   39
138 2021-06-19   49
139 2021-06-20   44
140 2021-06-21   27
141 2021-06-22   37
142 2021-06-23   37
143 2021-06-24   89
144 2021-06-25   39
145 2021-06-26   15
146 2021-06-27    0
147 2021-06-28    7
148 2021-06-29    0
149 2021-06-30   22
150 2021-07-01   49
151 2021-07-02  119
152 2021-07-03  142
153 2021-07-04  142
154 2021-07-05   89
155 2021-07-06   55
156 2021-07-07   35
157 2021-07-08   32
158 2021-07-09   15
159 2021-07-10    9
160 2021-07-11   22
161 2021-07-12   27
162 2021-07-13   22
163 2021-07-14   25
164 2021-07-15   20
