          date  data
0   2021-02-01    27
1   2021-02-02    35
2   2021-02-03    49
3   2021-02-04    24
4   2021-02-05     7
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     2
9   2021-02-10    55
10  2021-02-11    62
11  2021-02-12    32
12  2021-02-13    15
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    12
18  2021-02-19    27
19  2021-02-20    25
20  2021-02-21    44
21  2021-02-22    12
22  2021-02-23    15
23  2021-02-24     7
24  2021-02-25     2
25  2021-02-26     7
26  2021-02-27    12
27  2021-02-28     0
28  2021-03-01    17
29  2021-03-02    12
30  2021-03-03     7
31  2021-03-04     4
32  2021-03-05     7
33  2021-03-06     2
34  2021-03-07    27
35  2021-03-08    20
36  2021-03-09    42
37  2021-03-10    62
38  2021-03-11    57
39  2021-03-12    17
40  2021-03-13    20
41  2021-03-14    17
42  2021-03-15    32
43  2021-03-16    12
44  2021-03-17    37
45  2021-03-18    79
46  2021-03-19    47
47  2021-03-20    44
48  2021-03-21    44
49  2021-03-22    27
50  2021-03-23    47
51  2021-03-24    12
52  2021-03-25    74
53  2021-03-26    67
54  2021-03-27    47
55  2021-03-28     9
56  2021-03-29    97
57  2021-03-30    60
58  2021-03-31    60
59  2021-04-01    30
60  2021-04-02    17
61  2021-04-03    12
62  2021-04-04     7
63  2021-04-05    42
64  2021-04-06    37
65  2021-04-07    15
66  2021-04-08    20
67  2021-04-09    39
68  2021-04-10    17
69  2021-04-11    44
70  2021-04-12    30
71  2021-04-13    37
72  2021-04-14    15
73  2021-04-15     9
74  2021-04-16     7
75  2021-04-17    27
76  2021-04-18    20
77  2021-04-19    25
78  2021-04-20    25
79  2021-04-21     2
80  2021-04-22     9
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    22
85  2021-04-27    72
86  2021-04-28    72
87  2021-04-29    55
88  2021-04-30   122
89  2021-05-01    77
90  2021-05-02    57
91  2021-05-03    47
92  2021-05-04   122
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07     7
96  2021-05-08    12
97  2021-05-09     7
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    32
103 2021-05-15   652
104 2021-05-16     2
105 2021-05-17     7
106 2021-05-18     9
107 2021-05-19     0
108 2021-05-20   162
109 2021-05-21    57
110 2021-05-22    79
111 2021-05-23   130
112 2021-05-24   184
113 2021-05-25    89
114 2021-05-26    79
115 2021-05-27    67
116 2021-05-28    89
117 2021-05-29   147
118 2021-05-30    62
119 2021-05-31    32
120 2021-06-01     9
121 2021-06-02    20
122 2021-06-03     7
123 2021-06-04    17
124 2021-06-05    37
125 2021-06-06    82
126 2021-06-07   567
127 2021-06-08  1884
128 2021-06-09   647
129 2021-06-10   215
130 2021-06-11  1664
131 2021-06-12   362
132 2021-06-13   257
133 2021-06-14   262
134 2021-06-15   127
135 2021-06-16   227
136 2021-06-17    87
137 2021-06-18   145
138 2021-06-19   215
139 2021-06-20   239
140 2021-06-21   127
141 2021-06-22    85
142 2021-06-23   122
143 2021-06-24   229
144 2021-06-25   137
145 2021-06-26    65
146 2021-06-27    30
147 2021-06-28     9
148 2021-06-29    42
149 2021-06-30    72
150 2021-07-01   177
151 2021-07-02   280
152 2021-07-03   329
153 2021-07-04   549
154 2021-07-05   269
155 2021-07-06   167
156 2021-07-07   147
157 2021-07-08   109
158 2021-07-09    89
159 2021-07-10    74
160 2021-07-11    52
161 2021-07-12    65
162 2021-07-13    65
163 2021-07-14    57
164 2021-07-15    55
