          date  data
0   2021-02-01    65
1   2021-02-02   175
2   2021-02-03    87
3   2021-02-04    64
4   2021-02-05    30
5   2021-02-06    17
6   2021-02-07     4
7   2021-02-08     0
8   2021-02-09    35
9   2021-02-10   100
10  2021-02-11   192
11  2021-02-12   157
12  2021-02-13    44
13  2021-02-14    17
14  2021-02-15     7
15  2021-02-16     9
16  2021-02-17    39
17  2021-02-18    87
18  2021-02-19    79
19  2021-02-20    65
20  2021-02-21   124
21  2021-02-22   132
22  2021-02-23    70
23  2021-02-24    27
24  2021-02-25    20
25  2021-02-26    27
26  2021-02-27    42
27  2021-02-28    20
28  2021-03-01    60
29  2021-03-02    74
30  2021-03-03    30
31  2021-03-04    49
32  2021-03-05    42
33  2021-03-06    30
34  2021-03-07    57
35  2021-03-08    49
36  2021-03-09   117
37  2021-03-10   192
38  2021-03-11   152
39  2021-03-12    97
40  2021-03-13    60
41  2021-03-14   135
42  2021-03-15    60
43  2021-03-16    55
44  2021-03-17   109
45  2021-03-18   207
46  2021-03-19   147
47  2021-03-20   175
48  2021-03-21   184
49  2021-03-22   105
50  2021-03-23   157
51  2021-03-24    57
52  2021-03-25   120
53  2021-03-26   137
54  2021-03-27   142
55  2021-03-28   114
56  2021-03-29   355
57  2021-03-30   202
58  2021-03-31   215
59  2021-04-01   137
60  2021-04-02    42
61  2021-04-03    79
62  2021-04-04    60
63  2021-04-05    85
64  2021-04-06    55
65  2021-04-07    47
66  2021-04-08    35
67  2021-04-09   130
68  2021-04-10   135
69  2021-04-11    97
70  2021-04-12    92
71  2021-04-13    82
72  2021-04-14    22
73  2021-04-15    32
74  2021-04-16    32
75  2021-04-17    32
76  2021-04-18    47
77  2021-04-19    65
78  2021-04-20    62
79  2021-04-21    37
80  2021-04-22    20
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    35
85  2021-04-27   117
86  2021-04-28   242
87  2021-04-29   165
88  2021-04-30   345
89  2021-05-01   180
90  2021-05-02   159
91  2021-05-03   204
92  2021-05-04   292
93  2021-05-05     9
94  2021-05-06     4
95  2021-05-07     9
96  2021-05-08    15
97  2021-05-09    15
98  2021-05-10     7
99  2021-05-11     7
100 2021-05-12     4
101 2021-05-13     7
102 2021-05-14   102
103 2021-05-15  2239
104 2021-05-16    12
105 2021-05-17    12
106 2021-05-18    25
107 2021-05-19    37
108 2021-05-20   530
109 2021-05-21   132
110 2021-05-22   197
111 2021-05-23   494
112 2021-05-24   522
113 2021-05-25   272
114 2021-05-26   180
115 2021-05-27   189
116 2021-05-28   217
117 2021-05-29   269
118 2021-05-30   165
119 2021-05-31    95
120 2021-06-01    47
121 2021-06-02    72
122 2021-06-03    49
123 2021-06-04    62
124 2021-06-05   199
125 2021-06-06   175
126 2021-06-07  1249
127 2021-06-08  4587
128 2021-06-09  1922
129 2021-06-10   720
130 2021-06-11  5447
131 2021-06-12  1042
132 2021-06-13   640
133 2021-06-14   587
134 2021-06-15   407
135 2021-06-16   482
136 2021-06-17   340
137 2021-06-18   432
138 2021-06-19   514
139 2021-06-20   572
140 2021-06-21   369
141 2021-06-22   242
142 2021-06-23   430
143 2021-06-24   734
144 2021-06-25   360
145 2021-06-26   247
146 2021-06-27    55
147 2021-06-28    60
148 2021-06-29    67
149 2021-06-30   180
150 2021-07-01   435
151 2021-07-02   877
152 2021-07-03  1187
153 2021-07-04  1177
154 2021-07-05   714
155 2021-07-06   472
156 2021-07-07   307
157 2021-07-08   232
158 2021-07-09   340
159 2021-07-10   219
160 2021-07-11   255
161 2021-07-12   360
162 2021-07-13   272
163 2021-07-14   145
164 2021-07-15   154
