          date  data
0   2021-02-01    30
1   2021-02-02    60
2   2021-02-03    57
3   2021-02-04    34
4   2021-02-05    22
5   2021-02-06     7
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    67
10  2021-02-11    92
11  2021-02-12    42
12  2021-02-13    22
13  2021-02-14    17
14  2021-02-15     9
15  2021-02-16     2
16  2021-02-17    17
17  2021-02-18    32
18  2021-02-19    27
19  2021-02-20    39
20  2021-02-21    57
21  2021-02-22    37
22  2021-02-23    37
23  2021-02-24     9
24  2021-02-25    12
25  2021-02-26     2
26  2021-02-27    22
27  2021-02-28     4
28  2021-03-01    15
29  2021-03-02    20
30  2021-03-03    20
31  2021-03-04     4
32  2021-03-05     2
33  2021-03-06    12
34  2021-03-07    22
35  2021-03-08     9
36  2021-03-09    39
37  2021-03-10    57
38  2021-03-11    37
39  2021-03-12    30
40  2021-03-13    39
41  2021-03-14    47
42  2021-03-15    17
43  2021-03-16    42
44  2021-03-17    74
45  2021-03-18    77
46  2021-03-19    70
47  2021-03-20    74
48  2021-03-21    62
49  2021-03-22    39
50  2021-03-23    44
51  2021-03-24    15
52  2021-03-25    60
53  2021-03-26    52
54  2021-03-27    70
55  2021-03-28    37
56  2021-03-29   187
57  2021-03-30   109
58  2021-03-31   154
59  2021-04-01    35
60  2021-04-02    47
61  2021-04-03    35
62  2021-04-04    22
63  2021-04-05    57
64  2021-04-06    30
65  2021-04-07     7
66  2021-04-08     7
67  2021-04-09    72
68  2021-04-10    49
69  2021-04-11    62
70  2021-04-12    47
71  2021-04-13    47
72  2021-04-14    32
73  2021-04-15    15
74  2021-04-16    12
75  2021-04-17    22
76  2021-04-18     7
77  2021-04-19    17
78  2021-04-20    30
79  2021-04-21    20
80  2021-04-22    22
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27   102
86  2021-04-28   117
87  2021-04-29   102
88  2021-04-30   192
89  2021-05-01    82
90  2021-05-02    62
91  2021-05-03   102
92  2021-05-04   194
93  2021-05-05     7
94  2021-05-06     4
95  2021-05-07     9
96  2021-05-08     7
97  2021-05-09     2
98  2021-05-10     2
99  2021-05-11     7
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    44
103 2021-05-15  1055
104 2021-05-16    12
105 2021-05-17    15
106 2021-05-18     7
107 2021-05-19    15
108 2021-05-20   242
109 2021-05-21    97
110 2021-05-22   107
111 2021-05-23   237
112 2021-05-24   267
113 2021-05-25   154
114 2021-05-26   119
115 2021-05-27   124
116 2021-05-28   112
117 2021-05-29   119
118 2021-05-30    67
119 2021-05-31    47
120 2021-06-01    30
121 2021-06-02    25
122 2021-06-03    30
123 2021-06-04    47
124 2021-06-05   135
125 2021-06-06   124
126 2021-06-07   597
127 2021-06-08  2559
128 2021-06-09  1042
129 2021-06-10   467
130 2021-06-11  3347
131 2021-06-12   502
132 2021-06-13   294
133 2021-06-14   302
134 2021-06-15   184
135 2021-06-16   242
136 2021-06-17   154
137 2021-06-18   165
138 2021-06-19   275
139 2021-06-20   287
140 2021-06-21   180
141 2021-06-22   175
142 2021-06-23   189
143 2021-06-24   312
144 2021-06-25   130
145 2021-06-26    97
146 2021-06-27    42
147 2021-06-28    15
148 2021-06-29    22
149 2021-06-30    72
150 2021-07-01   170
151 2021-07-02   377
152 2021-07-03   444
153 2021-07-04   489
154 2021-07-05   369
155 2021-07-06   237
156 2021-07-07   147
157 2021-07-08   117
158 2021-07-09   142
159 2021-07-10   119
160 2021-07-11   112
161 2021-07-12   127
162 2021-07-13    97
163 2021-07-14    70
164 2021-07-15    77
