          date  data
0   2021-02-01    27
1   2021-02-02    49
2   2021-02-03    42
3   2021-02-04    14
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    12
9   2021-02-10    35
10  2021-02-11    55
11  2021-02-12    17
12  2021-02-13    17
13  2021-02-14     4
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17    20
17  2021-02-18    25
18  2021-02-19    20
19  2021-02-20    12
20  2021-02-21    32
21  2021-02-22    30
22  2021-02-23    27
23  2021-02-24     4
24  2021-02-25     0
25  2021-02-26     9
26  2021-02-27    20
27  2021-02-28     4
28  2021-03-01    12
29  2021-03-02     7
30  2021-03-03     4
31  2021-03-04    12
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07    20
35  2021-03-08     4
36  2021-03-09    20
37  2021-03-10    70
38  2021-03-11    52
39  2021-03-12    22
40  2021-03-13    30
41  2021-03-14    32
42  2021-03-15    30
43  2021-03-16    30
44  2021-03-17    70
45  2021-03-18    35
46  2021-03-19    52
47  2021-03-20    62
48  2021-03-21    39
49  2021-03-22    22
50  2021-03-23    35
51  2021-03-24    27
52  2021-03-25    40
53  2021-03-26    52
54  2021-03-27    37
55  2021-03-28    27
56  2021-03-29   147
57  2021-03-30    97
58  2021-03-31    72
59  2021-04-01    30
60  2021-04-02    12
61  2021-04-03    15
62  2021-04-04     7
63  2021-04-05    15
64  2021-04-06    25
65  2021-04-07    15
66  2021-04-08    12
67  2021-04-09    52
68  2021-04-10    32
69  2021-04-11    22
70  2021-04-12    32
71  2021-04-13     9
72  2021-04-14     7
73  2021-04-15    12
74  2021-04-16    12
75  2021-04-17    20
76  2021-04-18    20
77  2021-04-19    17
78  2021-04-20    22
79  2021-04-21     7
80  2021-04-22     9
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     7
85  2021-04-27    39
86  2021-04-28    62
87  2021-04-29    47
88  2021-04-30    82
89  2021-05-01    42
90  2021-05-02    27
91  2021-05-03    47
92  2021-05-04    67
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07     4
96  2021-05-08     2
97  2021-05-09     9
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14     9
103 2021-05-15   714
104 2021-05-16     9
105 2021-05-17     2
106 2021-05-18     4
107 2021-05-19     7
108 2021-05-20   170
109 2021-05-21    35
110 2021-05-22    62
111 2021-05-23   142
112 2021-05-24   117
113 2021-05-25    49
114 2021-05-26    17
115 2021-05-27    22
116 2021-05-28    89
117 2021-05-29    79
118 2021-05-30    49
119 2021-05-31    25
120 2021-06-01    12
121 2021-06-02    20
122 2021-06-03    25
123 2021-06-04    27
124 2021-06-05    39
125 2021-06-06    77
126 2021-06-07   400
127 2021-06-08  1457
128 2021-06-09   674
129 2021-06-10   210
130 2021-06-11  1644
131 2021-06-12   337
132 2021-06-13   229
133 2021-06-14   194
134 2021-06-15   102
135 2021-06-16   197
136 2021-06-17   117
137 2021-06-18   170
138 2021-06-19   210
139 2021-06-20   199
140 2021-06-21   140
141 2021-06-22    77
142 2021-06-23    79
143 2021-06-24   252
144 2021-06-25    49
145 2021-06-26    67
146 2021-06-27    37
147 2021-06-28    17
148 2021-06-29    17
149 2021-06-30    35
150 2021-07-01   177
151 2021-07-02   327
152 2021-07-03   362
153 2021-07-04   400
154 2021-07-05   212
155 2021-07-06   130
156 2021-07-07   109
157 2021-07-08    72
158 2021-07-09   127
159 2021-07-10    67
160 2021-07-11    82
161 2021-07-12   105
162 2021-07-13    95
163 2021-07-14    52
164 2021-07-15    55
