          date  data
0   2021-02-01    67
1   2021-02-02   145
2   2021-02-03    95
3   2021-02-04    64
4   2021-02-05    22
5   2021-02-06    15
6   2021-02-07     9
7   2021-02-08     7
8   2021-02-09    30
9   2021-02-10    85
10  2021-02-11   175
11  2021-02-12   102
12  2021-02-13    55
13  2021-02-14    15
14  2021-02-15     9
15  2021-02-16    12
16  2021-02-17    47
17  2021-02-18    70
18  2021-02-19    62
19  2021-02-20    70
20  2021-02-21   117
21  2021-02-22    95
22  2021-02-23    55
23  2021-02-24    39
24  2021-02-25    15
25  2021-02-26    17
26  2021-02-27    32
27  2021-02-28    25
28  2021-03-01    25
29  2021-03-02    30
30  2021-03-03    27
31  2021-03-04    35
32  2021-03-05    30
33  2021-03-06    37
34  2021-03-07    67
35  2021-03-08    17
36  2021-03-09   105
37  2021-03-10   192
38  2021-03-11   135
39  2021-03-12   100
40  2021-03-13    49
41  2021-03-14    97
42  2021-03-15    82
43  2021-03-16    67
44  2021-03-17   124
45  2021-03-18   202
46  2021-03-19   135
47  2021-03-20   184
48  2021-03-21   130
49  2021-03-22    72
50  2021-03-23   100
51  2021-03-24    72
52  2021-03-25   174
53  2021-03-26   149
54  2021-03-27   154
55  2021-03-28   105
56  2021-03-29   367
57  2021-03-30   175
58  2021-03-31   177
59  2021-04-01   119
60  2021-04-02    85
61  2021-04-03    52
62  2021-04-04    60
63  2021-04-05    82
64  2021-04-06    70
65  2021-04-07    32
66  2021-04-08    42
67  2021-04-09   109
68  2021-04-10    82
69  2021-04-11    74
70  2021-04-12    95
71  2021-04-13    62
72  2021-04-14    20
73  2021-04-15    32
74  2021-04-16    17
75  2021-04-17    22
76  2021-04-18    52
77  2021-04-19    55
78  2021-04-20    60
79  2021-04-21    30
80  2021-04-22    22
81  2021-04-23     9
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    30
85  2021-04-27   124
86  2021-04-28   172
87  2021-04-29   165
88  2021-04-30   252
89  2021-05-01   147
90  2021-05-02   102
91  2021-05-03   130
92  2021-05-04   322
93  2021-05-05     7
94  2021-05-06    12
95  2021-05-07     4
96  2021-05-08     9
97  2021-05-09    25
98  2021-05-10    15
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13     7
102 2021-05-14    74
103 2021-05-15  2069
104 2021-05-16    15
105 2021-05-17    17
106 2021-05-18    12
107 2021-05-19    15
108 2021-05-20   454
109 2021-05-21   170
110 2021-05-22   172
111 2021-05-23   484
112 2021-05-24   497
113 2021-05-25   269
114 2021-05-26   147
115 2021-05-27   149
116 2021-05-28   170
117 2021-05-29   275
118 2021-05-30    89
119 2021-05-31    79
120 2021-06-01    42
121 2021-06-02    47
122 2021-06-03    32
123 2021-06-04    44
124 2021-06-05   159
125 2021-06-06   147
126 2021-06-07   765
127 2021-06-08  2949
128 2021-06-09  1187
129 2021-06-10   540
130 2021-06-11  4957
131 2021-06-12   734
132 2021-06-13   422
133 2021-06-14   397
134 2021-06-15   280
135 2021-06-16   524
136 2021-06-17   239
137 2021-06-18   312
138 2021-06-19   462
139 2021-06-20   432
140 2021-06-21   329
141 2021-06-22   267
142 2021-06-23   204
143 2021-06-24   484
144 2021-06-25   210
145 2021-06-26   167
146 2021-06-27    95
147 2021-06-28    44
148 2021-06-29    79
149 2021-06-30   119
150 2021-07-01   312
151 2021-07-02   835
152 2021-07-03   804
153 2021-07-04   747
154 2021-07-05   594
155 2021-07-06   365
156 2021-07-07   229
157 2021-07-08   172
158 2021-07-09   204
159 2021-07-10   187
160 2021-07-11   142
161 2021-07-12   189
162 2021-07-13   159
163 2021-07-14   132
164 2021-07-15   112
