          date  data
0   2021-02-01    12
1   2021-02-02    22
2   2021-02-03    25
3   2021-02-04    24
4   2021-02-05     2
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     4
9   2021-02-10    15
10  2021-02-11    39
11  2021-02-12    15
12  2021-02-13     0
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     4
16  2021-02-17     9
17  2021-02-18    17
18  2021-02-19    15
19  2021-02-20    15
20  2021-02-21    25
21  2021-02-22    25
22  2021-02-23    12
23  2021-02-24    15
24  2021-02-25     2
25  2021-02-26     7
26  2021-02-27     9
27  2021-02-28     2
28  2021-03-01     9
29  2021-03-02     7
30  2021-03-03     9
31  2021-03-04     2
32  2021-03-05     2
33  2021-03-06     4
34  2021-03-07     7
35  2021-03-08     7
36  2021-03-09    17
37  2021-03-10    32
38  2021-03-11     7
39  2021-03-12    17
40  2021-03-13     7
41  2021-03-14    12
42  2021-03-15     7
43  2021-03-16    15
44  2021-03-17    17
45  2021-03-18    25
46  2021-03-19    32
47  2021-03-20    39
48  2021-03-21    20
49  2021-03-22    20
50  2021-03-23    20
51  2021-03-24     9
52  2021-03-25    40
53  2021-03-26    12
54  2021-03-27    17
55  2021-03-28    15
56  2021-03-29    79
57  2021-03-30    57
58  2021-03-31    30
59  2021-04-01    12
60  2021-04-02     9
61  2021-04-03    12
62  2021-04-04     4
63  2021-04-05     4
64  2021-04-06     7
65  2021-04-07     4
66  2021-04-08     7
67  2021-04-09    15
68  2021-04-10    12
69  2021-04-11    25
70  2021-04-12     4
71  2021-04-13    17
72  2021-04-14     9
73  2021-04-15     2
74  2021-04-16     4
75  2021-04-17     7
76  2021-04-18    15
77  2021-04-19    12
78  2021-04-20     7
79  2021-04-21     9
80  2021-04-22     2
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26     4
85  2021-04-27    27
86  2021-04-28    35
87  2021-04-29    27
88  2021-04-30    67
89  2021-05-01    25
90  2021-05-02    12
91  2021-05-03    25
92  2021-05-04    77
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     0
97  2021-05-09     2
98  2021-05-10     7
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14     4
103 2021-05-15   377
104 2021-05-16     9
105 2021-05-17     0
106 2021-05-18     0
107 2021-05-19     4
108 2021-05-20    79
109 2021-05-21    15
110 2021-05-22    39
111 2021-05-23    79
112 2021-05-24    92
113 2021-05-25    22
114 2021-05-26    44
115 2021-05-27    25
116 2021-05-28    47
117 2021-05-29    35
118 2021-05-30    20
119 2021-05-31     2
120 2021-06-01     2
121 2021-06-02    20
122 2021-06-03     0
123 2021-06-04    27
124 2021-06-05    32
125 2021-06-06    30
126 2021-06-07   224
127 2021-06-08   924
128 2021-06-09   417
129 2021-06-10   147
130 2021-06-11  1007
131 2021-06-12   202
132 2021-06-13   140
133 2021-06-14   140
134 2021-06-15    72
135 2021-06-16    74
136 2021-06-17    47
137 2021-06-18    70
138 2021-06-19    82
139 2021-06-20    82
140 2021-06-21    44
141 2021-06-22    49
142 2021-06-23    65
143 2021-06-24   152
144 2021-06-25    32
145 2021-06-26    30
146 2021-06-27    12
147 2021-06-28     7
148 2021-06-29    25
149 2021-06-30    35
150 2021-07-01   122
151 2021-07-02   194
152 2021-07-03   232
153 2021-07-04   207
154 2021-07-05   157
155 2021-07-06    77
156 2021-07-07    49
157 2021-07-08    57
158 2021-07-09    65
159 2021-07-10    44
160 2021-07-11    49
161 2021-07-12    39
162 2021-07-13    42
163 2021-07-14    44
164 2021-07-15    35
