          date   data
0   2021-02-01    204
1   2021-02-02    769
2   2021-02-03    594
3   2021-02-04    200
4   2021-02-05     67
5   2021-02-06      9
6   2021-02-07      2
7   2021-02-08     12
8   2021-02-09     97
9   2021-02-10    320
10  2021-02-11    557
11  2021-02-12    280
12  2021-02-13    152
13  2021-02-14     35
14  2021-02-15     25
15  2021-02-16      2
16  2021-02-17     79
17  2021-02-18    285
18  2021-02-19    290
19  2021-02-20    419
20  2021-02-21    430
21  2021-02-22    382
22  2021-02-23    202
23  2021-02-24    102
24  2021-02-25     47
25  2021-02-26     87
26  2021-02-27     97
27  2021-02-28     67
28  2021-03-01    154
29  2021-03-02    157
30  2021-03-03    107
31  2021-03-04    149
32  2021-03-05    145
33  2021-03-06    142
34  2021-03-07    204
35  2021-03-08    170
36  2021-03-09    312
37  2021-03-10    905
38  2021-03-11    597
39  2021-03-12    350
40  2021-03-13    342
41  2021-03-14    517
42  2021-03-15    255
43  2021-03-16    307
44  2021-03-17    570
45  2021-03-18    870
46  2021-03-19    607
47  2021-03-20    634
48  2021-03-21    642
49  2021-03-22    462
50  2021-03-23    442
51  2021-03-24    337
52  2021-03-25    714
53  2021-03-26    432
54  2021-03-27    442
55  2021-03-28    369
56  2021-03-29    659
57  2021-03-30    402
58  2021-03-31    432
59  2021-04-01    395
60  2021-04-02    325
61  2021-04-03    297
62  2021-04-04    212
63  2021-04-05    342
64  2021-04-06    345
65  2021-04-07    202
66  2021-04-08    149
67  2021-04-09    642
68  2021-04-10    395
69  2021-04-11    514
70  2021-04-12    470
71  2021-04-13    340
72  2021-04-14    177
73  2021-04-15    159
74  2021-04-16    192
75  2021-04-17    282
76  2021-04-18    217
77  2021-04-19    385
78  2021-04-20    327
79  2021-04-21    177
80  2021-04-22    112
81  2021-04-23     30
82  2021-04-24      7
83  2021-04-25      2
84  2021-04-26    154
85  2021-04-27    597
86  2021-04-28    814
87  2021-04-29    632
88  2021-04-30   1327
89  2021-05-01    512
90  2021-05-02    449
91  2021-05-03    755
92  2021-05-04   1334
93  2021-05-05     39
94  2021-05-06     27
95  2021-05-07     20
96  2021-05-08     47
97  2021-05-09    112
98  2021-05-10     60
99  2021-05-11     65
100 2021-05-12     17
101 2021-05-13     47
102 2021-05-14    347
103 2021-05-15  10752
104 2021-05-16     79
105 2021-05-17     44
106 2021-05-18    122
107 2021-05-19    165
108 2021-05-20   3362
109 2021-05-21    907
110 2021-05-22   1037
111 2021-05-23   2030
112 2021-05-24   2229
113 2021-05-25   1112
114 2021-05-26    752
115 2021-05-27   1017
116 2021-05-28   1029
117 2021-05-29    945
118 2021-05-30    465
119 2021-05-31    369
120 2021-06-01    170
121 2021-06-02    275
122 2021-06-03    222
123 2021-06-04    287
124 2021-06-05    714
125 2021-06-06    624
126 2021-06-07   3747
127 2021-06-08  13669
128 2021-06-09   5477
129 2021-06-10   2374
130 2021-06-11  26477
131 2021-06-12   3414
132 2021-06-13   1850
133 2021-06-14   1832
134 2021-06-15   1402
135 2021-06-16   2132
136 2021-06-17   1165
137 2021-06-18   1607
138 2021-06-19   2227
139 2021-06-20   2269
140 2021-06-21   1707
141 2021-06-22   1332
142 2021-06-23   1427
143 2021-06-24   2489
144 2021-06-25   1125
145 2021-06-26    659
146 2021-06-27    310
147 2021-06-28    285
148 2021-06-29    227
149 2021-06-30    622
150 2021-07-01   1284
151 2021-07-02   4155
152 2021-07-03   4222
153 2021-07-04   3982
154 2021-07-05   2704
155 2021-07-06   1949
156 2021-07-07   1222
157 2021-07-08    972
158 2021-07-09   1334
159 2021-07-10    844
160 2021-07-11    929
161 2021-07-12    989
162 2021-07-13    670
163 2021-07-14    412
164 2021-07-15    454
