          date data
0   2021-02-01   12
1   2021-02-02   15
2   2021-02-03    9
3   2021-02-04    8
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   15
10  2021-02-11   22
11  2021-02-12   15
12  2021-02-13   15
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    9
18  2021-02-19    2
19  2021-02-20    9
20  2021-02-21    9
21  2021-02-22    2
22  2021-02-23   12
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01   12
29  2021-03-02    4
30  2021-03-03    2
31  2021-03-04    4
32  2021-03-05    7
33  2021-03-06    2
34  2021-03-07   15
35  2021-03-08    2
36  2021-03-09   15
37  2021-03-10   25
38  2021-03-11   12
39  2021-03-12   20
40  2021-03-13    0
41  2021-03-14    0
42  2021-03-15    2
43  2021-03-16    4
44  2021-03-17   25
45  2021-03-18   17
46  2021-03-19   22
47  2021-03-20   17
48  2021-03-21   20
49  2021-03-22   12
50  2021-03-23   17
51  2021-03-24   15
52  2021-03-25   30
53  2021-03-26   15
54  2021-03-27   25
55  2021-03-28    7
56  2021-03-29   55
57  2021-03-30   30
58  2021-03-31   35
59  2021-04-01   25
60  2021-04-02   22
61  2021-04-03    0
62  2021-04-04    4
63  2021-04-05   22
64  2021-04-06    9
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09   17
68  2021-04-10    2
69  2021-04-11    7
70  2021-04-12   25
71  2021-04-13    7
72  2021-04-14    2
73  2021-04-15    7
74  2021-04-16    4
75  2021-04-17   12
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20   12
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   15
86  2021-04-28   32
87  2021-04-29    9
88  2021-04-30   62
89  2021-05-01   20
90  2021-05-02   32
91  2021-05-03   39
92  2021-05-04   57
93  2021-05-05    2
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  320
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20  130
109 2021-05-21   27
110 2021-05-22   30
111 2021-05-23   70
112 2021-05-24   79
113 2021-05-25   42
114 2021-05-26   15
115 2021-05-27   30
116 2021-05-28   32
117 2021-05-29   77
118 2021-05-30   30
119 2021-05-31    9
120 2021-06-01    0
121 2021-06-02    7
122 2021-06-03    7
123 2021-06-04    9
124 2021-06-05   32
125 2021-06-06   25
126 2021-06-07  149
127 2021-06-08  505
128 2021-06-09  212
129 2021-06-10  117
130 2021-06-11  977
131 2021-06-12  135
132 2021-06-13   49
133 2021-06-14   60
134 2021-06-15   37
135 2021-06-16   89
136 2021-06-17   32
137 2021-06-18   49
138 2021-06-19   92
139 2021-06-20  114
140 2021-06-21   55
141 2021-06-22   32
142 2021-06-23   42
143 2021-06-24   72
144 2021-06-25   44
145 2021-06-26   57
146 2021-06-27   15
147 2021-06-28    7
148 2021-06-29    9
149 2021-06-30   30
150 2021-07-01   72
151 2021-07-02  154
152 2021-07-03  204
153 2021-07-04  259
154 2021-07-05  145
155 2021-07-06   57
156 2021-07-07   62
157 2021-07-08   44
158 2021-07-09   79
159 2021-07-10   77
160 2021-07-11   49
161 2021-07-12   27
162 2021-07-13   20
163 2021-07-14   17
164 2021-07-15   22
