          date   data
0   2021-02-01    107
1   2021-02-02    187
2   2021-02-03    105
3   2021-02-04     78
4   2021-02-05     52
5   2021-02-06      9
6   2021-02-07     12
7   2021-02-08     17
8   2021-02-09     74
9   2021-02-10    147
10  2021-02-11    227
11  2021-02-12    135
12  2021-02-13     85
13  2021-02-14     22
14  2021-02-15     25
15  2021-02-16     12
16  2021-02-17     77
17  2021-02-18    130
18  2021-02-19    124
19  2021-02-20    100
20  2021-02-21    215
21  2021-02-22    207
22  2021-02-23    114
23  2021-02-24     32
24  2021-02-25     25
25  2021-02-26     27
26  2021-02-27     79
27  2021-02-28     42
28  2021-03-01     49
29  2021-03-02     47
30  2021-03-03     52
31  2021-03-04     47
32  2021-03-05     32
33  2021-03-06     35
34  2021-03-07    100
35  2021-03-08     97
36  2021-03-09    229
37  2021-03-10    287
38  2021-03-11    202
39  2021-03-12    177
40  2021-03-13    119
41  2021-03-14    182
42  2021-03-15    102
43  2021-03-16    100
44  2021-03-17    215
45  2021-03-18    412
46  2021-03-19    229
47  2021-03-20    360
48  2021-03-21    287
49  2021-03-22    189
50  2021-03-23    217
51  2021-03-24    187
52  2021-03-25    248
53  2021-03-26    255
54  2021-03-27    219
55  2021-03-28    159
56  2021-03-29    610
57  2021-03-30    280
58  2021-03-31    342
59  2021-04-01    189
60  2021-04-02    114
61  2021-04-03    105
62  2021-04-04    119
63  2021-04-05    159
64  2021-04-06    127
65  2021-04-07     85
66  2021-04-08     72
67  2021-04-09    192
68  2021-04-10    142
69  2021-04-11    219
70  2021-04-12    157
71  2021-04-13    135
72  2021-04-14     77
73  2021-04-15     49
74  2021-04-16     57
75  2021-04-17    122
76  2021-04-18     87
77  2021-04-19    102
78  2021-04-20     72
79  2021-04-21     32
80  2021-04-22     30
81  2021-04-23      7
82  2021-04-24      2
83  2021-04-25      0
84  2021-04-26     62
85  2021-04-27    315
86  2021-04-28    297
87  2021-04-29    317
88  2021-04-30    542
89  2021-05-01    294
90  2021-05-02    184
91  2021-05-03    285
92  2021-05-04    670
93  2021-05-05     17
94  2021-05-06     15
95  2021-05-07     22
96  2021-05-08     44
97  2021-05-09     32
98  2021-05-10     37
99  2021-05-11     15
100 2021-05-12     15
101 2021-05-13     12
102 2021-05-14    117
103 2021-05-15   3202
104 2021-05-16     37
105 2021-05-17     27
106 2021-05-18     32
107 2021-05-19     30
108 2021-05-20   1125
109 2021-05-21    294
110 2021-05-22    367
111 2021-05-23    802
112 2021-05-24    779
113 2021-05-25    454
114 2021-05-26    202
115 2021-05-27    337
116 2021-05-28    367
117 2021-05-29    465
118 2021-05-30    224
119 2021-05-31    124
120 2021-06-01     44
121 2021-06-02     85
122 2021-06-03    147
123 2021-06-04    159
124 2021-06-05    269
125 2021-06-06    239
126 2021-06-07   1605
127 2021-06-08   5079
128 2021-06-09   2092
129 2021-06-10    867
130 2021-06-11  12254
131 2021-06-12   1532
132 2021-06-13    892
133 2021-06-14    739
134 2021-06-15    554
135 2021-06-16    842
136 2021-06-17    489
137 2021-06-18    552
138 2021-06-19   1012
139 2021-06-20    912
140 2021-06-21    565
141 2021-06-22    422
142 2021-06-23    460
143 2021-06-24   1310
144 2021-06-25    617
145 2021-06-26    382
146 2021-06-27    140
147 2021-06-28     95
148 2021-06-29    105
149 2021-06-30    245
150 2021-07-01    502
151 2021-07-02   1445
152 2021-07-03   1834
153 2021-07-04   1617
154 2021-07-05   1155
155 2021-07-06    844
156 2021-07-07    479
157 2021-07-08    407
158 2021-07-09    505
159 2021-07-10    467
160 2021-07-11    427
161 2021-07-12    334
162 2021-07-13    257
163 2021-07-14    204
164 2021-07-15    249
