          date  data
0   2021-02-01    22
1   2021-02-02    42
2   2021-02-03    12
3   2021-02-04     4
4   2021-02-05     2
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     4
8   2021-02-09     9
9   2021-02-10    15
10  2021-02-11    62
11  2021-02-12    39
12  2021-02-13    12
13  2021-02-14     4
14  2021-02-15     2
15  2021-02-16     7
16  2021-02-17     7
17  2021-02-18    15
18  2021-02-19    22
19  2021-02-20    25
20  2021-02-21    52
21  2021-02-22    60
22  2021-02-23    17
23  2021-02-24     2
24  2021-02-25     7
25  2021-02-26    15
26  2021-02-27    17
27  2021-02-28    15
28  2021-03-01     9
29  2021-03-02     2
30  2021-03-03    17
31  2021-03-04     2
32  2021-03-05     4
33  2021-03-06     4
34  2021-03-07     4
35  2021-03-08     9
36  2021-03-09    27
37  2021-03-10    62
38  2021-03-11    30
39  2021-03-12     9
40  2021-03-13    17
41  2021-03-14    49
42  2021-03-15    20
43  2021-03-16    20
44  2021-03-17    62
45  2021-03-18    57
46  2021-03-19    57
47  2021-03-20    47
48  2021-03-21    47
49  2021-03-22    44
50  2021-03-23    42
51  2021-03-24    25
52  2021-03-25    14
53  2021-03-26    39
54  2021-03-27    35
55  2021-03-28    25
56  2021-03-29   142
57  2021-03-30    70
58  2021-03-31    77
59  2021-04-01    32
60  2021-04-02    22
61  2021-04-03    25
62  2021-04-04    27
63  2021-04-05    39
64  2021-04-06    12
65  2021-04-07    15
66  2021-04-08     4
67  2021-04-09    32
68  2021-04-10    30
69  2021-04-11    49
70  2021-04-12    37
71  2021-04-13    27
72  2021-04-14     7
73  2021-04-15     0
74  2021-04-16    20
75  2021-04-17    12
76  2021-04-18    15
77  2021-04-19    17
78  2021-04-20     9
79  2021-04-21     9
80  2021-04-22     7
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    17
85  2021-04-27    44
86  2021-04-28    47
87  2021-04-29    65
88  2021-04-30    87
89  2021-05-01    44
90  2021-05-02    30
91  2021-05-03    55
92  2021-05-04   127
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     0
97  2021-05-09     7
98  2021-05-10     9
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    20
103 2021-05-15   620
104 2021-05-16     0
105 2021-05-17     0
106 2021-05-18     0
107 2021-05-19     4
108 2021-05-20   210
109 2021-05-21    52
110 2021-05-22    70
111 2021-05-23   137
112 2021-05-24   127
113 2021-05-25    77
114 2021-05-26    42
115 2021-05-27    49
116 2021-05-28    47
117 2021-05-29    65
118 2021-05-30    65
119 2021-05-31    27
120 2021-06-01    17
121 2021-06-02    25
122 2021-06-03    12
123 2021-06-04    12
124 2021-06-05    77
125 2021-06-06    35
126 2021-06-07   352
127 2021-06-08  1047
128 2021-06-09   404
129 2021-06-10   229
130 2021-06-11  2097
131 2021-06-12   219
132 2021-06-13   210
133 2021-06-14   124
134 2021-06-15   119
135 2021-06-16   145
136 2021-06-17    79
137 2021-06-18    72
138 2021-06-19   212
139 2021-06-20   145
140 2021-06-21   105
141 2021-06-22    47
142 2021-06-23   105
143 2021-06-24   249
144 2021-06-25   117
145 2021-06-26    82
146 2021-06-27    20
147 2021-06-28     7
148 2021-06-29    12
149 2021-06-30    52
150 2021-07-01   107
151 2021-07-02   215
152 2021-07-03   350
153 2021-07-04   304
154 2021-07-05   264
155 2021-07-06   140
156 2021-07-07    60
157 2021-07-08    52
158 2021-07-09   105
159 2021-07-10    60
160 2021-07-11    89
161 2021-07-12    87
162 2021-07-13    39
163 2021-07-14    42
164 2021-07-15    37
