          date  data
0   2021-02-01     4
1   2021-02-02    20
2   2021-02-03    12
3   2021-02-04     4
4   2021-02-05     2
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    12
9   2021-02-10    27
10  2021-02-11    22
11  2021-02-12    22
12  2021-02-13    12
13  2021-02-14     7
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     7
17  2021-02-18     2
18  2021-02-19    20
19  2021-02-20    15
20  2021-02-21    25
21  2021-02-22    15
22  2021-02-23     9
23  2021-02-24     0
24  2021-02-25     0
25  2021-02-26     2
26  2021-02-27    12
27  2021-02-28     4
28  2021-03-01     9
29  2021-03-02     9
30  2021-03-03     0
31  2021-03-04     0
32  2021-03-05     9
33  2021-03-06     9
34  2021-03-07     7
35  2021-03-08     7
36  2021-03-09    37
37  2021-03-10    25
38  2021-03-11    22
39  2021-03-12    20
40  2021-03-13    12
41  2021-03-14    37
42  2021-03-15     2
43  2021-03-16    17
44  2021-03-17    17
45  2021-03-18    57
46  2021-03-19    35
47  2021-03-20    44
48  2021-03-21    42
49  2021-03-22    27
50  2021-03-23    22
51  2021-03-24    17
52  2021-03-25    30
53  2021-03-26    32
54  2021-03-27    30
55  2021-03-28    25
56  2021-03-29   102
57  2021-03-30    49
58  2021-03-31    25
59  2021-04-01    35
60  2021-04-02     7
61  2021-04-03    25
62  2021-04-04    22
63  2021-04-05    17
64  2021-04-06     7
65  2021-04-07    17
66  2021-04-08     0
67  2021-04-09    32
68  2021-04-10    20
69  2021-04-11    17
70  2021-04-12    15
71  2021-04-13    20
72  2021-04-14     9
73  2021-04-15     4
74  2021-04-16     2
75  2021-04-17     7
76  2021-04-18     0
77  2021-04-19     4
78  2021-04-20    17
79  2021-04-21     2
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     4
85  2021-04-27    27
86  2021-04-28    15
87  2021-04-29    20
88  2021-04-30    70
89  2021-05-01    47
90  2021-05-02    39
91  2021-05-03    32
92  2021-05-04    60
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     4
101 2021-05-13     0
102 2021-05-14    27
103 2021-05-15   282
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18     0
107 2021-05-19     7
108 2021-05-20   137
109 2021-05-21     4
110 2021-05-22    30
111 2021-05-23   114
112 2021-05-24    79
113 2021-05-25    30
114 2021-05-26    17
115 2021-05-27    27
116 2021-05-28    35
117 2021-05-29    55
118 2021-05-30    37
119 2021-05-31     7
120 2021-06-01     0
121 2021-06-02     9
122 2021-06-03    12
123 2021-06-04     7
124 2021-06-05    39
125 2021-06-06    22
126 2021-06-07   167
127 2021-06-08   565
128 2021-06-09   202
129 2021-06-10    89
130 2021-06-11  1057
131 2021-06-12   142
132 2021-06-13   145
133 2021-06-14    85
134 2021-06-15    39
135 2021-06-16   122
136 2021-06-17    47
137 2021-06-18    74
138 2021-06-19    79
139 2021-06-20   105
140 2021-06-21    67
141 2021-06-22    47
142 2021-06-23    42
143 2021-06-24   135
144 2021-06-25    67
145 2021-06-26    65
146 2021-06-27    22
147 2021-06-28     9
148 2021-06-29     7
149 2021-06-30    17
150 2021-07-01    85
151 2021-07-02   165
152 2021-07-03   182
153 2021-07-04   285
154 2021-07-05   149
155 2021-07-06    89
156 2021-07-07    44
157 2021-07-08    49
158 2021-07-09    70
159 2021-07-10    27
160 2021-07-11    44
161 2021-07-12    55
162 2021-07-13    42
163 2021-07-14    27
164 2021-07-15    15
