          date  data
0   2021-02-01    47
1   2021-02-02    67
2   2021-02-03    60
3   2021-02-04    24
4   2021-02-05    22
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     9
8   2021-02-09    17
9   2021-02-10    65
10  2021-02-11    77
11  2021-02-12    30
12  2021-02-13    27
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     4
16  2021-02-17    15
17  2021-02-18    60
18  2021-02-19    30
19  2021-02-20    55
20  2021-02-21    65
21  2021-02-22    60
22  2021-02-23    25
23  2021-02-24    17
24  2021-02-25     4
25  2021-02-26     9
26  2021-02-27    27
27  2021-02-28     4
28  2021-03-01    17
29  2021-03-02    35
30  2021-03-03    27
31  2021-03-04    20
32  2021-03-05    22
33  2021-03-06     9
34  2021-03-07    30
35  2021-03-08    25
36  2021-03-09    92
37  2021-03-10   124
38  2021-03-11    57
39  2021-03-12    49
40  2021-03-13    25
41  2021-03-14    44
42  2021-03-15    32
43  2021-03-16    44
44  2021-03-17   100
45  2021-03-18   114
46  2021-03-19    77
47  2021-03-20    95
48  2021-03-21    77
49  2021-03-22    49
50  2021-03-23    97
51  2021-03-24    47
52  2021-03-25   140
53  2021-03-26    92
54  2021-03-27    92
55  2021-03-28    74
56  2021-03-29   252
57  2021-03-30   112
58  2021-03-31   132
59  2021-04-01    55
60  2021-04-02    62
61  2021-04-03    44
62  2021-04-04    44
63  2021-04-05    49
64  2021-04-06    37
65  2021-04-07     9
66  2021-04-08    20
67  2021-04-09    77
68  2021-04-10    47
69  2021-04-11    47
70  2021-04-12    67
71  2021-04-13    47
72  2021-04-14    52
73  2021-04-15    12
74  2021-04-16    30
75  2021-04-17    30
76  2021-04-18    35
77  2021-04-19    72
78  2021-04-20    49
79  2021-04-21    12
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     2
84  2021-04-26    22
85  2021-04-27    89
86  2021-04-28    79
87  2021-04-29   122
88  2021-04-30   232
89  2021-05-01    89
90  2021-05-02    95
91  2021-05-03   137
92  2021-05-04   237
93  2021-05-05     2
94  2021-05-06     7
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09    22
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    65
103 2021-05-15  1512
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18     9
107 2021-05-19    25
108 2021-05-20   549
109 2021-05-21   132
110 2021-05-22   165
111 2021-05-23   379
112 2021-05-24   340
113 2021-05-25   142
114 2021-05-26   109
115 2021-05-27   114
116 2021-05-28   147
117 2021-05-29   224
118 2021-05-30   114
119 2021-05-31    44
120 2021-06-01    22
121 2021-06-02    32
122 2021-06-03    15
123 2021-06-04    30
124 2021-06-05   122
125 2021-06-06   117
126 2021-06-07   610
127 2021-06-08  2269
128 2021-06-09   914
129 2021-06-10   390
130 2021-06-11  4587
131 2021-06-12   650
132 2021-06-13   345
133 2021-06-14   312
134 2021-06-15   239
135 2021-06-16   449
136 2021-06-17   152
137 2021-06-18   332
138 2021-06-19   369
139 2021-06-20   374
140 2021-06-21   247
141 2021-06-22   132
142 2021-06-23   229
143 2021-06-24   557
144 2021-06-25   252
145 2021-06-26   122
146 2021-06-27    37
147 2021-06-28    42
148 2021-06-29    30
149 2021-06-30   114
150 2021-07-01   312
151 2021-07-02   629
152 2021-07-03   830
153 2021-07-04   875
154 2021-07-05   582
155 2021-07-06   374
156 2021-07-07   184
157 2021-07-08   162
158 2021-07-09   222
159 2021-07-10   227
160 2021-07-11   149
161 2021-07-12   177
162 2021-07-13   140
163 2021-07-14    74
164 2021-07-15    92
