          date   data
0   2021-02-01    500
1   2021-02-02   1595
2   2021-02-03   1000
3   2021-02-04    560
4   2021-02-05    229
5   2021-02-06     67
6   2021-02-07     25
7   2021-02-08     49
8   2021-02-09    317
9   2021-02-10    952
10  2021-02-11   1555
11  2021-02-12    830
12  2021-02-13    352
13  2021-02-14    127
14  2021-02-15     85
15  2021-02-16     49
16  2021-02-17    252
17  2021-02-18    714
18  2021-02-19    784
19  2021-02-20    954
20  2021-02-21   1327
21  2021-02-22   1050
22  2021-02-23    692
23  2021-02-24    252
24  2021-02-25    177
25  2021-02-26    199
26  2021-02-27    452
27  2021-02-28    189
28  2021-03-01    412
29  2021-03-02    397
30  2021-03-03    315
31  2021-03-04    294
32  2021-03-05    320
33  2021-03-06    247
34  2021-03-07    607
35  2021-03-08    439
36  2021-03-09   1097
37  2021-03-10   1844
38  2021-03-11   1252
39  2021-03-12    889
40  2021-03-13    792
41  2021-03-14   1150
42  2021-03-15    802
43  2021-03-16    725
44  2021-03-17   1600
45  2021-03-18   2302
46  2021-03-19   1715
47  2021-03-20   1879
48  2021-03-21   1782
49  2021-03-22   1214
50  2021-03-23   1682
51  2021-03-24    947
52  2021-03-25   1944
53  2021-03-26   1364
54  2021-03-27   1345
55  2021-03-28    902
56  2021-03-29   2832
57  2021-03-30   1619
58  2021-03-31   1874
59  2021-04-01   1174
60  2021-04-02    812
61  2021-04-03    720
62  2021-04-04    679
63  2021-04-05   1152
64  2021-04-06    840
65  2021-04-07    400
66  2021-04-08    409
67  2021-04-09   1332
68  2021-04-10    929
69  2021-04-11   1310
70  2021-04-12   1144
71  2021-04-13    844
72  2021-04-14    484
73  2021-04-15    352
74  2021-04-16    472
75  2021-04-17    674
76  2021-04-18    514
77  2021-04-19    840
78  2021-04-20    800
79  2021-04-21    322
80  2021-04-22    245
81  2021-04-23    105
82  2021-04-24     25
83  2021-04-25     27
84  2021-04-26    402
85  2021-04-27   1850
86  2021-04-28   1942
87  2021-04-29   1844
88  2021-04-30   3477
89  2021-05-01   1694
90  2021-05-02   1227
91  2021-05-03   1855
92  2021-05-04   4189
93  2021-05-05     89
94  2021-05-06     65
95  2021-05-07     57
96  2021-05-08    197
97  2021-05-09    285
98  2021-05-10    140
99  2021-05-11     95
100 2021-05-12     55
101 2021-05-13    114
102 2021-05-14    875
103 2021-05-15  23134
104 2021-05-16    165
105 2021-05-17    140
106 2021-05-18    189
107 2021-05-19    290
108 2021-05-20   8452
109 2021-05-21   2112
110 2021-05-22   2727
111 2021-05-23   5462
112 2021-05-24   5435
113 2021-05-25   2625
114 2021-05-26   1512
115 2021-05-27   2132
116 2021-05-28   2072
117 2021-05-29   2737
118 2021-05-30   1515
119 2021-05-31    897
120 2021-06-01    489
121 2021-06-02    594
122 2021-06-03    655
123 2021-06-04    712
124 2021-06-05   1850
125 2021-06-06   1372
126 2021-06-07   9484
127 2021-06-08  31022
128 2021-06-09  12869
129 2021-06-10   5807
130 2021-06-11  78544
131 2021-06-12   9149
132 2021-06-13   5472
133 2021-06-14   4732
134 2021-06-15   3865
135 2021-06-16   5197
136 2021-06-17   2939
137 2021-06-18   3987
138 2021-06-19   6194
139 2021-06-20   5589
140 2021-06-21   3757
141 2021-06-22   2505
142 2021-06-23   3124
143 2021-06-24   7217
144 2021-06-25   3275
145 2021-06-26   2227
146 2021-06-27    875
147 2021-06-28    774
148 2021-06-29    699
149 2021-06-30   1974
150 2021-07-01   3782
151 2021-07-02   9974
152 2021-07-03  11859
153 2021-07-04  11982
154 2021-07-05   8397
155 2021-07-06   5834
156 2021-07-07   3507
157 2021-07-08   3222
158 2021-07-09   4069
159 2021-07-10   3447
160 2021-07-11   3195
161 2021-07-12   2915
162 2021-07-13   2082
163 2021-07-14   1547
164 2021-07-15   1672
