          date  data
0   2021-02-01    47
1   2021-02-02   192
2   2021-02-03   122
3   2021-02-04    60
4   2021-02-05    22
5   2021-02-06     9
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    65
9   2021-02-10    89
10  2021-02-11   170
11  2021-02-12    79
12  2021-02-13    17
13  2021-02-14    15
14  2021-02-15     7
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    52
18  2021-02-19    77
19  2021-02-20    70
20  2021-02-21   102
21  2021-02-22   117
22  2021-02-23    62
23  2021-02-24    25
24  2021-02-25     7
25  2021-02-26     7
26  2021-02-27    30
27  2021-02-28    20
28  2021-03-01    37
29  2021-03-02    77
30  2021-03-03    52
31  2021-03-04    39
32  2021-03-05    49
33  2021-03-06    30
34  2021-03-07    57
35  2021-03-08    65
36  2021-03-09    79
37  2021-03-10   235
38  2021-03-11   165
39  2021-03-12   124
40  2021-03-13    72
41  2021-03-14   142
42  2021-03-15    95
43  2021-03-16    67
44  2021-03-17   145
45  2021-03-18   172
46  2021-03-19   202
47  2021-03-20   149
48  2021-03-21   162
49  2021-03-22   135
50  2021-03-23   130
51  2021-03-24    67
52  2021-03-25   140
53  2021-03-26   117
54  2021-03-27   140
55  2021-03-28    67
56  2021-03-29    85
57  2021-03-30    65
58  2021-03-31    72
59  2021-04-01   112
60  2021-04-02    77
61  2021-04-03    62
62  2021-04-04    47
63  2021-04-05    85
64  2021-04-06    85
65  2021-04-07    52
66  2021-04-08    27
67  2021-04-09   102
68  2021-04-10    85
69  2021-04-11   102
70  2021-04-12    62
71  2021-04-13    52
72  2021-04-14    27
73  2021-04-15    25
74  2021-04-16    32
75  2021-04-17    47
76  2021-04-18    42
77  2021-04-19    55
78  2021-04-20    35
79  2021-04-21    32
80  2021-04-22     7
81  2021-04-23     0
82  2021-04-24     2
83  2021-04-25     4
84  2021-04-26    30
85  2021-04-27   114
86  2021-04-28   159
87  2021-04-29   109
88  2021-04-30   217
89  2021-05-01    85
90  2021-05-02    65
91  2021-05-03    97
92  2021-05-04   282
93  2021-05-05     9
94  2021-05-06     7
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09     9
98  2021-05-10    17
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13    12
102 2021-05-14    70
103 2021-05-15  1539
104 2021-05-16     7
105 2021-05-17     7
106 2021-05-18    12
107 2021-05-19    22
108 2021-05-20   545
109 2021-05-21   127
110 2021-05-22   109
111 2021-05-23   302
112 2021-05-24   264
113 2021-05-25   152
114 2021-05-26    72
115 2021-05-27   114
116 2021-05-28   154
117 2021-05-29   145
118 2021-05-30    79
119 2021-05-31    67
120 2021-06-01    25
121 2021-06-02    35
122 2021-06-03    25
123 2021-06-04    44
124 2021-06-05   107
125 2021-06-06    77
126 2021-06-07   407
127 2021-06-08  1577
128 2021-06-09   677
129 2021-06-10   332
130 2021-06-11  4010
131 2021-06-12   417
132 2021-06-13   280
133 2021-06-14   242
134 2021-06-15   212
135 2021-06-16   264
136 2021-06-17   157
137 2021-06-18   242
138 2021-06-19   362
139 2021-06-20   299
140 2021-06-21   215
141 2021-06-22   184
142 2021-06-23   194
143 2021-06-24   397
144 2021-06-25   130
145 2021-06-26   112
146 2021-06-27    47
147 2021-06-28    52
148 2021-06-29    27
149 2021-06-30    77
150 2021-07-01   172
151 2021-07-02   582
152 2021-07-03   757
153 2021-07-04   589
154 2021-07-05   397
155 2021-07-06   245
156 2021-07-07   140
157 2021-07-08   109
158 2021-07-09   177
159 2021-07-10   109
160 2021-07-11   132
161 2021-07-12   130
162 2021-07-13    85
163 2021-07-14    57
164 2021-07-15    57
