          date data
0   2021-02-01    2
1   2021-02-02    9
2   2021-02-03    4
3   2021-02-04   24
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   20
10  2021-02-11   22
11  2021-02-12    9
12  2021-02-13    2
13  2021-02-14    7
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    2
18  2021-02-19    7
19  2021-02-20   17
20  2021-02-21    9
21  2021-02-22   20
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    4
34  2021-03-07   20
35  2021-03-08    2
36  2021-03-09    4
37  2021-03-10   25
38  2021-03-11   17
39  2021-03-12   15
40  2021-03-13    9
41  2021-03-14   15
42  2021-03-15    0
43  2021-03-16    2
44  2021-03-17    9
45  2021-03-18    4
46  2021-03-19   20
47  2021-03-20   15
48  2021-03-21    7
49  2021-03-22    2
50  2021-03-23   15
51  2021-03-24    2
52  2021-03-25   18
53  2021-03-26    0
54  2021-03-27    2
55  2021-03-28    4
56  2021-03-29    9
57  2021-03-30    4
58  2021-03-31    4
59  2021-04-01    4
60  2021-04-02    0
61  2021-04-03    4
62  2021-04-04    0
63  2021-04-05    4
64  2021-04-06    2
65  2021-04-07    4
66  2021-04-08    2
67  2021-04-09    9
68  2021-04-10    7
69  2021-04-11    4
70  2021-04-12    2
71  2021-04-13    2
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    2
77  2021-04-19    2
78  2021-04-20    7
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    2
86  2021-04-28    7
87  2021-04-29    0
88  2021-04-30    4
89  2021-05-01    4
90  2021-05-02    4
91  2021-05-03    4
92  2021-05-04   12
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  122
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   30
109 2021-05-21    7
110 2021-05-22    7
111 2021-05-23   12
112 2021-05-24   12
113 2021-05-25   15
114 2021-05-26    2
115 2021-05-27    2
116 2021-05-28   22
117 2021-05-29    4
118 2021-05-30    7
119 2021-05-31    0
120 2021-06-01    0
121 2021-06-02    0
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    9
125 2021-06-06    0
126 2021-06-07   17
127 2021-06-08   92
128 2021-06-09   27
129 2021-06-10   25
130 2021-06-11  239
131 2021-06-12   17
132 2021-06-13   27
133 2021-06-14   15
134 2021-06-15    2
135 2021-06-16    9
136 2021-06-17    4
137 2021-06-18   15
138 2021-06-19   25
139 2021-06-20   20
140 2021-06-21   15
141 2021-06-22    4
142 2021-06-23   12
143 2021-06-24   15
144 2021-06-25    7
145 2021-06-26    7
146 2021-06-27    2
147 2021-06-28    0
148 2021-06-29    0
149 2021-06-30    7
150 2021-07-01    7
151 2021-07-02   25
152 2021-07-03   35
153 2021-07-04   55
154 2021-07-05   22
155 2021-07-06   15
156 2021-07-07    7
157 2021-07-08    4
158 2021-07-09    4
159 2021-07-10    2
160 2021-07-11    4
161 2021-07-12    0
162 2021-07-13   12
163 2021-07-14    0
164 2021-07-15    7
