          date  data
0   2021-02-01    76
1   2021-02-02   322
2   2021-02-03   227
3   2021-02-04   134
4   2021-02-05    39
5   2021-02-06    12
6   2021-02-07     2
7   2021-02-08     7
8   2021-02-09   100
9   2021-02-10   212
10  2021-02-11   329
11  2021-02-12   142
12  2021-02-13    29
13  2021-02-14    25
14  2021-02-15     9
15  2021-02-16     4
16  2021-02-17    32
17  2021-02-18    87
18  2021-02-19   159
19  2021-02-20   149
20  2021-02-21   215
21  2021-02-22   246
22  2021-02-23   102
23  2021-02-24    44
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    57
27  2021-02-28    34
28  2021-03-01    87
29  2021-03-02   144
30  2021-03-03    69
31  2021-03-04    85
32  2021-03-05    89
33  2021-03-06    44
34  2021-03-07   135
35  2021-03-08    95
36  2021-03-09   116
37  2021-03-10   437
38  2021-03-11   275
39  2021-03-12   249
40  2021-03-13   152
41  2021-03-14   287
42  2021-03-15   180
43  2021-03-16   105
44  2021-03-17   228
45  2021-03-18   292
46  2021-03-19   367
47  2021-03-20   277
48  2021-03-21   277
49  2021-03-22   209
50  2021-03-23   209
51  2021-03-24    79
52  2021-03-25   242
53  2021-03-26   187
54  2021-03-27   202
55  2021-03-28   137
56  2021-03-29   222
57  2021-03-30   119
58  2021-03-31   137
59  2021-04-01   162
60  2021-04-02   112
61  2021-04-03   119
62  2021-04-04    67
63  2021-04-05   122
64  2021-04-06   109
65  2021-04-07    70
66  2021-04-08    52
67  2021-04-09   174
68  2021-04-10   134
69  2021-04-11   175
70  2021-04-12   117
71  2021-04-13    94
72  2021-04-14    39
73  2021-04-15    32
74  2021-04-16    44
75  2021-04-17    85
76  2021-04-18    89
77  2021-04-19   102
78  2021-04-20    85
79  2021-04-21    39
80  2021-04-22     7
81  2021-04-23    12
82  2021-04-24     2
83  2021-04-25     7
84  2021-04-26    52
85  2021-04-27   197
86  2021-04-28   226
87  2021-04-29   164
88  2021-04-30   329
89  2021-05-01   149
90  2021-05-02     0
91  2021-05-03   154
92  2021-05-04   411
93  2021-05-05    12
94  2021-05-06    15
95  2021-05-07     4
96  2021-05-08     9
97  2021-05-09    25
98  2021-05-10    20
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13    15
102 2021-05-14   107
103 2021-05-15  2476
104 2021-05-16    20
105 2021-05-17    11
106 2021-05-18    17
107 2021-05-19    35
108 2021-05-20   869
109 2021-05-21   201
110 2021-05-22   203
111 2021-05-23   437
112 2021-05-24   432
113 2021-05-25   228
114 2021-05-26   131
115 2021-05-27   187
116 2021-05-28   254
117 2021-05-29   204
118 2021-05-30   132
119 2021-05-31    79
120 2021-06-01    32
121 2021-06-02    55
122 2021-06-03    52
123 2021-06-04    70
124 2021-06-05   177
125 2021-06-06   137
126 2021-06-07   629
127 2021-06-08  2444
128 2021-06-09  1164
129 2021-06-10   579
130 2021-06-11  6489
131 2021-06-12   743
132 2021-06-13   514
133 2021-06-14   397
134 2021-06-15   322
135 2021-06-16   408
136 2021-06-17   210
137 2021-06-18   382
138 2021-06-19   571
139 2021-06-20   521
140 2021-06-21   337
141 2021-06-22   257
142 2021-06-23   294
143 2021-06-24   596
144 2021-06-25   229
145 2021-06-26   197
146 2021-06-27    62
147 2021-06-28    85
148 2021-06-29    42
149 2021-06-30   119
150 2021-07-01   304
151 2021-07-02   811
152 2021-07-03  1129
153 2021-07-04   963
154 2021-07-05   631
155 2021-07-06   392
156 2021-07-07   201
157 2021-07-08   165
158 2021-07-09   264
159 2021-07-10   177
160 2021-07-11   196
161 2021-07-12   216
162 2021-07-13   158
163 2021-07-14   107
164 2021-07-15   102
