          date  data
0   2021-02-01    35
1   2021-02-02    62
2   2021-02-03    49
3   2021-02-04    24
4   2021-02-05    22
5   2021-02-06     0
6   2021-02-07     4
7   2021-02-08     0
8   2021-02-09    20
9   2021-02-10    35
10  2021-02-11    85
11  2021-02-12    49
12  2021-02-13    17
13  2021-02-14     2
14  2021-02-15     7
15  2021-02-16     7
16  2021-02-17    25
17  2021-02-18    47
18  2021-02-19    30
19  2021-02-20    44
20  2021-02-21    52
21  2021-02-22    37
22  2021-02-23    35
23  2021-02-24     9
24  2021-02-25     2
25  2021-02-26     7
26  2021-02-27    12
27  2021-02-28    12
28  2021-03-01    17
29  2021-03-02    17
30  2021-03-03     7
31  2021-03-04     2
32  2021-03-05     7
33  2021-03-06    27
34  2021-03-07     4
35  2021-03-08    25
36  2021-03-09    35
37  2021-03-10    72
38  2021-03-11    57
39  2021-03-12    30
40  2021-03-13    20
41  2021-03-14    37
42  2021-03-15    32
43  2021-03-16    22
44  2021-03-17    57
45  2021-03-18    72
46  2021-03-19    62
47  2021-03-20    72
48  2021-03-21    77
49  2021-03-22    55
50  2021-03-23    67
51  2021-03-24    39
52  2021-03-25    88
53  2021-03-26    44
54  2021-03-27    77
55  2021-03-28    17
56  2021-03-29   122
57  2021-03-30    82
58  2021-03-31   102
59  2021-04-01    37
60  2021-04-02    44
61  2021-04-03    32
62  2021-04-04    15
63  2021-04-05    42
64  2021-04-06    32
65  2021-04-07     7
66  2021-04-08     9
67  2021-04-09    67
68  2021-04-10    30
69  2021-04-11    39
70  2021-04-12    49
71  2021-04-13    17
72  2021-04-14    47
73  2021-04-15    15
74  2021-04-16    15
75  2021-04-17    32
76  2021-04-18     9
77  2021-04-19    32
78  2021-04-20    47
79  2021-04-21     9
80  2021-04-22     9
81  2021-04-23     7
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27    82
86  2021-04-28    89
87  2021-04-29    72
88  2021-04-30   157
89  2021-05-01    77
90  2021-05-02    47
91  2021-05-03    95
92  2021-05-04   154
93  2021-05-05     7
94  2021-05-06    15
95  2021-05-07     7
96  2021-05-08     7
97  2021-05-09    15
98  2021-05-10     7
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    22
103 2021-05-15  1114
104 2021-05-16     4
105 2021-05-17    12
106 2021-05-18     9
107 2021-05-19     4
108 2021-05-20   312
109 2021-05-21    67
110 2021-05-22   127
111 2021-05-23   177
112 2021-05-24   207
113 2021-05-25   114
114 2021-05-26    85
115 2021-05-27    70
116 2021-05-28   102
117 2021-05-29   105
118 2021-05-30    49
119 2021-05-31    37
120 2021-06-01    17
121 2021-06-02    25
122 2021-06-03    15
123 2021-06-04    30
124 2021-06-05   124
125 2021-06-06    52
126 2021-06-07   462
127 2021-06-08  1544
128 2021-06-09   627
129 2021-06-10   257
130 2021-06-11  2572
131 2021-06-12   340
132 2021-06-13   222
133 2021-06-14   175
134 2021-06-15   122
135 2021-06-16   227
136 2021-06-17   159
137 2021-06-18   180
138 2021-06-19   249
139 2021-06-20   199
140 2021-06-21   202
141 2021-06-22   109
142 2021-06-23   117
143 2021-06-24   259
144 2021-06-25   152
145 2021-06-26    65
146 2021-06-27    17
147 2021-06-28    17
148 2021-06-29    25
149 2021-06-30    52
150 2021-07-01   132
151 2021-07-02   345
152 2021-07-03   367
153 2021-07-04   407
154 2021-07-05   320
155 2021-07-06   272
156 2021-07-07    92
157 2021-07-08   132
158 2021-07-09   142
159 2021-07-10   109
160 2021-07-11    82
161 2021-07-12    77
162 2021-07-13   102
163 2021-07-14    30
164 2021-07-15    65
