          date data
0   2021-02-01    7
1   2021-02-02    9
2   2021-02-03    9
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10   20
10  2021-02-11   17
11  2021-02-12   12
12  2021-02-13    7
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    2
17  2021-02-18   15
18  2021-02-19    7
19  2021-02-20   15
20  2021-02-21    9
21  2021-02-22    9
22  2021-02-23    9
23  2021-02-24    0
24  2021-02-25    4
25  2021-02-26    4
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    2
30  2021-03-03    2
31  2021-03-04    2
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    9
35  2021-03-08    2
36  2021-03-09    0
37  2021-03-10   12
38  2021-03-11   15
39  2021-03-12    7
40  2021-03-13    0
41  2021-03-14   12
42  2021-03-15    7
43  2021-03-16   15
44  2021-03-17    9
45  2021-03-18   49
46  2021-03-19   27
47  2021-03-20    7
48  2021-03-21    9
49  2021-03-22    9
50  2021-03-23    9
51  2021-03-24    7
52  2021-03-25    4
53  2021-03-26    9
54  2021-03-27   15
55  2021-03-28   15
56  2021-03-29   62
57  2021-03-30   42
58  2021-03-31   22
59  2021-04-01   25
60  2021-04-02   15
61  2021-04-03    9
62  2021-04-04    9
63  2021-04-05    4
64  2021-04-06   12
65  2021-04-07    4
66  2021-04-08    0
67  2021-04-09    9
68  2021-04-10    4
69  2021-04-11    7
70  2021-04-12   22
71  2021-04-13    2
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    4
75  2021-04-17    4
76  2021-04-18    4
77  2021-04-19    7
78  2021-04-20    4
79  2021-04-21    7
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   15
86  2021-04-28   27
87  2021-04-29   27
88  2021-04-30   39
89  2021-05-01   12
90  2021-05-02    9
91  2021-05-03   27
92  2021-05-04   30
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   15
103 2021-05-15  294
104 2021-05-16    2
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   77
109 2021-05-21   15
110 2021-05-22   35
111 2021-05-23   62
112 2021-05-24   39
113 2021-05-25   37
114 2021-05-26   37
115 2021-05-27   20
116 2021-05-28   27
117 2021-05-29   35
118 2021-05-30   17
119 2021-05-31    7
120 2021-06-01    4
121 2021-06-02    2
122 2021-06-03    4
123 2021-06-04    4
124 2021-06-05   27
125 2021-06-06   25
126 2021-06-07  192
127 2021-06-08  492
128 2021-06-09  237
129 2021-06-10   82
130 2021-06-11  634
131 2021-06-12  124
132 2021-06-13   60
133 2021-06-14  117
134 2021-06-15   39
135 2021-06-16   87
136 2021-06-17   27
137 2021-06-18   65
138 2021-06-19   74
139 2021-06-20   70
140 2021-06-21   39
141 2021-06-22   27
142 2021-06-23   27
143 2021-06-24   57
144 2021-06-25   32
145 2021-06-26   47
146 2021-06-27    9
147 2021-06-28    7
148 2021-06-29    9
149 2021-06-30   17
150 2021-07-01   62
151 2021-07-02  102
152 2021-07-03  147
153 2021-07-04  177
154 2021-07-05   87
155 2021-07-06   62
156 2021-07-07   32
157 2021-07-08   37
158 2021-07-09   44
159 2021-07-10   32
160 2021-07-11   12
161 2021-07-12    9
162 2021-07-13    9
163 2021-07-14   22
164 2021-07-15    4
