          date  data
0   2021-02-01    30
1   2021-02-02    35
2   2021-02-03    42
3   2021-02-04    40
4   2021-02-05     2
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    22
9   2021-02-10    35
10  2021-02-11    60
11  2021-02-12    30
12  2021-02-13    17
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     7
17  2021-02-18    39
18  2021-02-19    39
19  2021-02-20    27
20  2021-02-21    39
21  2021-02-22    25
22  2021-02-23    27
23  2021-02-24     9
24  2021-02-25     2
25  2021-02-26    12
26  2021-02-27     2
27  2021-02-28     2
28  2021-03-01    17
29  2021-03-02    12
30  2021-03-03     4
31  2021-03-04     4
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07    15
35  2021-03-08    12
36  2021-03-09    27
37  2021-03-10    57
38  2021-03-11    37
39  2021-03-12    25
40  2021-03-13    25
41  2021-03-14    44
42  2021-03-15    17
43  2021-03-16    22
44  2021-03-17    62
45  2021-03-18    72
46  2021-03-19    72
47  2021-03-20    57
48  2021-03-21    47
49  2021-03-22    37
50  2021-03-23    35
51  2021-03-24     9
52  2021-03-25    30
53  2021-03-26    47
54  2021-03-27    25
55  2021-03-28    15
56  2021-03-29   114
57  2021-03-30    67
58  2021-03-31    49
59  2021-04-01    30
60  2021-04-02    12
61  2021-04-03     2
62  2021-04-04    20
63  2021-04-05    27
64  2021-04-06    25
65  2021-04-07     9
66  2021-04-08     9
67  2021-04-09    32
68  2021-04-10    30
69  2021-04-11    25
70  2021-04-12    35
71  2021-04-13    27
72  2021-04-14    12
73  2021-04-15    15
74  2021-04-16    12
75  2021-04-17    25
76  2021-04-18    37
77  2021-04-19     7
78  2021-04-20    30
79  2021-04-21    12
80  2021-04-22     0
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     4
84  2021-04-26    17
85  2021-04-27    52
86  2021-04-28    52
87  2021-04-29    60
88  2021-04-30   100
89  2021-05-01    67
90  2021-05-02    57
91  2021-05-03    52
92  2021-05-04   109
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     4
96  2021-05-08     7
97  2021-05-09    12
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13    17
102 2021-05-14    20
103 2021-05-15   694
104 2021-05-16     4
105 2021-05-17     7
106 2021-05-18    15
107 2021-05-19    12
108 2021-05-20   224
109 2021-05-21    52
110 2021-05-22    55
111 2021-05-23   177
112 2021-05-24   145
113 2021-05-25    60
114 2021-05-26    42
115 2021-05-27    55
116 2021-05-28    42
117 2021-05-29    85
118 2021-05-30    30
119 2021-05-31    17
120 2021-06-01     7
121 2021-06-02     2
122 2021-06-03    32
123 2021-06-04    20
124 2021-06-05    42
125 2021-06-06    42
126 2021-06-07   307
127 2021-06-08  1229
128 2021-06-09   519
129 2021-06-10   202
130 2021-06-11  1515
131 2021-06-12   227
132 2021-06-13   199
133 2021-06-14   145
134 2021-06-15   119
135 2021-06-16   194
136 2021-06-17    89
137 2021-06-18   132
138 2021-06-19   157
139 2021-06-20   175
140 2021-06-21   127
141 2021-06-22    70
142 2021-06-23   109
143 2021-06-24   202
144 2021-06-25    87
145 2021-06-26    74
146 2021-06-27    30
147 2021-06-28    35
148 2021-06-29    17
149 2021-06-30    49
150 2021-07-01   100
151 2021-07-02   237
152 2021-07-03   320
153 2021-07-04   332
154 2021-07-05   222
155 2021-07-06   137
156 2021-07-07    87
157 2021-07-08    82
158 2021-07-09    97
159 2021-07-10    67
160 2021-07-11    65
161 2021-07-12    79
162 2021-07-13    55
163 2021-07-14    32
164 2021-07-15    25
