          date data
0   2021-02-01   22
1   2021-02-02   25
2   2021-02-03   39
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10    4
10  2021-02-11   20
11  2021-02-12   15
12  2021-02-13    4
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    4
16  2021-02-17    4
17  2021-02-18    9
18  2021-02-19   25
19  2021-02-20   15
20  2021-02-21   17
21  2021-02-22   25
22  2021-02-23   17
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    7
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01   15
29  2021-03-02    7
30  2021-03-03    7
31  2021-03-04    2
32  2021-03-05    4
33  2021-03-06    9
34  2021-03-07   12
35  2021-03-08    7
36  2021-03-09    9
37  2021-03-10   44
38  2021-03-11   20
39  2021-03-12   15
40  2021-03-13    7
41  2021-03-14   17
42  2021-03-15    9
43  2021-03-16    7
44  2021-03-17   15
45  2021-03-18   62
46  2021-03-19   20
47  2021-03-20   25
48  2021-03-21    7
49  2021-03-22   22
50  2021-03-23   22
51  2021-03-24   15
52  2021-03-25   50
53  2021-03-26   25
54  2021-03-27   17
55  2021-03-28   15
56  2021-03-29   67
57  2021-03-30   42
58  2021-03-31   35
59  2021-04-01   32
60  2021-04-02    7
61  2021-04-03   22
62  2021-04-04    4
63  2021-04-05   17
64  2021-04-06    4
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    9
68  2021-04-10    7
69  2021-04-11   27
70  2021-04-12   17
71  2021-04-13    7
72  2021-04-14    2
73  2021-04-15    4
74  2021-04-16    4
75  2021-04-17    7
76  2021-04-18    9
77  2021-04-19   12
78  2021-04-20    4
79  2021-04-21    7
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    9
86  2021-04-28   25
87  2021-04-29   35
88  2021-04-30   60
89  2021-05-01   30
90  2021-05-02   20
91  2021-05-03   25
92  2021-05-04   30
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    4
102 2021-05-14   20
103 2021-05-15  397
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   92
109 2021-05-21   20
110 2021-05-22   37
111 2021-05-23   85
112 2021-05-24   70
113 2021-05-25   57
114 2021-05-26   25
115 2021-05-27   25
116 2021-05-28   25
117 2021-05-29   32
118 2021-05-30    7
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    7
122 2021-06-03   22
123 2021-06-04   25
124 2021-06-05   22
125 2021-06-06   12
126 2021-06-07  147
127 2021-06-08  589
128 2021-06-09  247
129 2021-06-10   87
130 2021-06-11  725
131 2021-06-12  142
132 2021-06-13  102
133 2021-06-14   79
134 2021-06-15   65
135 2021-06-16   77
136 2021-06-17   44
137 2021-06-18   49
138 2021-06-19   62
139 2021-06-20   82
140 2021-06-21   57
141 2021-06-22   42
142 2021-06-23   60
143 2021-06-24  124
144 2021-06-25   44
145 2021-06-26   25
146 2021-06-27   12
147 2021-06-28    9
148 2021-06-29    9
149 2021-06-30   32
150 2021-07-01   52
151 2021-07-02   87
152 2021-07-03  192
153 2021-07-04  199
154 2021-07-05   79
155 2021-07-06   89
156 2021-07-07   55
157 2021-07-08   39
158 2021-07-09   35
159 2021-07-10   60
160 2021-07-11   30
161 2021-07-12   49
162 2021-07-13   22
163 2021-07-14   20
164 2021-07-15   12
