          date  data
0   2021-02-01    42
1   2021-02-02    42
2   2021-02-03    30
3   2021-02-04    24
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    30
10  2021-02-11    44
11  2021-02-12     9
12  2021-02-13    17
13  2021-02-14     9
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17     9
17  2021-02-18    20
18  2021-02-19    20
19  2021-02-20    15
20  2021-02-21    37
21  2021-02-22    25
22  2021-02-23    15
23  2021-02-24    20
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     7
28  2021-03-01     4
29  2021-03-02     9
30  2021-03-03     9
31  2021-03-04    15
32  2021-03-05     7
33  2021-03-06     9
34  2021-03-07    25
35  2021-03-08    12
36  2021-03-09    27
37  2021-03-10    77
38  2021-03-11    37
39  2021-03-12    32
40  2021-03-13    15
41  2021-03-14    42
42  2021-03-15    20
43  2021-03-16    20
44  2021-03-17    47
45  2021-03-18    70
46  2021-03-19    22
47  2021-03-20    47
48  2021-03-21    62
49  2021-03-22    32
50  2021-03-23    49
51  2021-03-24    30
52  2021-03-25    50
53  2021-03-26    47
54  2021-03-27    42
55  2021-03-28    30
56  2021-03-29   140
57  2021-03-30    89
58  2021-03-31   100
59  2021-04-01    42
60  2021-04-02    12
61  2021-04-03    12
62  2021-04-04    37
63  2021-04-05    22
64  2021-04-06    27
65  2021-04-07    17
66  2021-04-08     9
67  2021-04-09    39
68  2021-04-10    22
69  2021-04-11    22
70  2021-04-12    20
71  2021-04-13    17
72  2021-04-14    12
73  2021-04-15    12
74  2021-04-16     9
75  2021-04-17    20
76  2021-04-18    25
77  2021-04-19    30
78  2021-04-20     9
79  2021-04-21     9
80  2021-04-22     9
81  2021-04-23     0
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27    42
86  2021-04-28    49
87  2021-04-29    49
88  2021-04-30   112
89  2021-05-01    37
90  2021-05-02    32
91  2021-05-03    37
92  2021-05-04   114
93  2021-05-05     2
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08     0
97  2021-05-09     2
98  2021-05-10     0
99  2021-05-11     7
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    37
103 2021-05-15   749
104 2021-05-16     0
105 2021-05-17     9
106 2021-05-18     7
107 2021-05-19     2
108 2021-05-20   210
109 2021-05-21    57
110 2021-05-22    77
111 2021-05-23   137
112 2021-05-24   159
113 2021-05-25    62
114 2021-05-26    72
115 2021-05-27    67
116 2021-05-28    60
117 2021-05-29    67
118 2021-05-30    70
119 2021-05-31    15
120 2021-06-01    17
121 2021-06-02    15
122 2021-06-03    17
123 2021-06-04    20
124 2021-06-05    49
125 2021-06-06    62
126 2021-06-07   322
127 2021-06-08  1139
128 2021-06-09   507
129 2021-06-10   189
130 2021-06-11  1627
131 2021-06-12   320
132 2021-06-13   142
133 2021-06-14   130
134 2021-06-15   122
135 2021-06-16   207
136 2021-06-17    85
137 2021-06-18   109
138 2021-06-19   172
139 2021-06-20   149
140 2021-06-21   137
141 2021-06-22    82
142 2021-06-23    74
143 2021-06-24   162
144 2021-06-25    97
145 2021-06-26    42
146 2021-06-27    15
147 2021-06-28    17
148 2021-06-29    17
149 2021-06-30    47
150 2021-07-01   105
151 2021-07-02   245
152 2021-07-03   290
153 2021-07-04   310
154 2021-07-05   217
155 2021-07-06   119
156 2021-07-07    65
157 2021-07-08    65
158 2021-07-09    92
159 2021-07-10    72
160 2021-07-11    60
161 2021-07-12    74
162 2021-07-13    35
163 2021-07-14    32
164 2021-07-15    22
