          date data
0   2021-02-01    7
1   2021-02-02    9
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    4
10  2021-02-11   12
11  2021-02-12   22
12  2021-02-13    4
13  2021-02-14    7
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    7
18  2021-02-19    4
19  2021-02-20    4
20  2021-02-21   12
21  2021-02-22   15
22  2021-02-23    7
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    4
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    7
36  2021-03-09   30
37  2021-03-10   27
38  2021-03-11   17
39  2021-03-12    9
40  2021-03-13    7
41  2021-03-14   15
42  2021-03-15    4
43  2021-03-16   15
44  2021-03-17   17
45  2021-03-18   44
46  2021-03-19   44
47  2021-03-20    9
48  2021-03-21   35
49  2021-03-22    9
50  2021-03-23   25
51  2021-03-24   12
52  2021-03-25   14
53  2021-03-26   22
54  2021-03-27   12
55  2021-03-28    7
56  2021-03-29   35
57  2021-03-30   12
58  2021-03-31   22
59  2021-04-01   12
60  2021-04-02   20
61  2021-04-03    2
62  2021-04-04   12
63  2021-04-05   17
64  2021-04-06    4
65  2021-04-07    4
66  2021-04-08    4
67  2021-04-09   20
68  2021-04-10   12
69  2021-04-11    9
70  2021-04-12   12
71  2021-04-13    4
72  2021-04-14    0
73  2021-04-15    4
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    0
77  2021-04-19    9
78  2021-04-20    4
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   12
85  2021-04-27   32
86  2021-04-28   25
87  2021-04-29   35
88  2021-04-30   39
89  2021-05-01   20
90  2021-05-02   35
91  2021-05-03   30
92  2021-05-04   52
93  2021-05-05    0
94  2021-05-06    4
95  2021-05-07    4
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   12
103 2021-05-15  352
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20  107
109 2021-05-21   27
110 2021-05-22   30
111 2021-05-23   95
112 2021-05-24   95
113 2021-05-25   49
114 2021-05-26   12
115 2021-05-27   17
116 2021-05-28   30
117 2021-05-29   37
118 2021-05-30   20
119 2021-05-31   17
120 2021-06-01    4
121 2021-06-02   12
122 2021-06-03    7
123 2021-06-04   20
124 2021-06-05   44
125 2021-06-06    4
126 2021-06-07  119
127 2021-06-08  572
128 2021-06-09  210
129 2021-06-10   52
130 2021-06-11  942
131 2021-06-12  149
132 2021-06-13   87
133 2021-06-14   60
134 2021-06-15   44
135 2021-06-16   77
136 2021-06-17   55
137 2021-06-18   82
138 2021-06-19  124
139 2021-06-20   62
140 2021-06-21   85
141 2021-06-22   35
142 2021-06-23   52
143 2021-06-24  147
144 2021-06-25   39
145 2021-06-26   27
146 2021-06-27   15
147 2021-06-28   15
148 2021-06-29   12
149 2021-06-30   17
150 2021-07-01   42
151 2021-07-02  127
152 2021-07-03  189
153 2021-07-04  147
154 2021-07-05  114
155 2021-07-06   62
156 2021-07-07   44
157 2021-07-08   27
158 2021-07-09   55
159 2021-07-10   39
160 2021-07-11   44
161 2021-07-12   30
162 2021-07-13   17
163 2021-07-14    9
164 2021-07-15   15
