          date  data
0   2021-02-01     0
1   2021-02-02    62
2   2021-02-03    37
3   2021-02-04     8
4   2021-02-05     7
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    27
10  2021-02-11    35
11  2021-02-12    30
12  2021-02-13     7
13  2021-02-14     0
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    17
17  2021-02-18    15
18  2021-02-19    20
19  2021-02-20     9
20  2021-02-21    30
21  2021-02-22    39
22  2021-02-23    20
23  2021-02-24     4
24  2021-02-25     4
25  2021-02-26     4
26  2021-02-27     7
27  2021-02-28     2
28  2021-03-01     7
29  2021-03-02     9
30  2021-03-03     4
31  2021-03-04    15
32  2021-03-05     9
33  2021-03-06     0
34  2021-03-07    12
35  2021-03-08     7
36  2021-03-09    27
37  2021-03-10    67
38  2021-03-11    12
39  2021-03-12    17
40  2021-03-13    12
41  2021-03-14    12
42  2021-03-15    25
43  2021-03-16    27
44  2021-03-17    52
45  2021-03-18    60
46  2021-03-19    22
47  2021-03-20    37
48  2021-03-21    22
49  2021-03-22    47
50  2021-03-23    25
51  2021-03-24    20
52  2021-03-25    50
53  2021-03-26    15
54  2021-03-27    35
55  2021-03-28    30
56  2021-03-29   107
57  2021-03-30    72
58  2021-03-31    52
59  2021-04-01    35
60  2021-04-02    22
61  2021-04-03     7
62  2021-04-04     7
63  2021-04-05    15
64  2021-04-06    22
65  2021-04-07     4
66  2021-04-08    12
67  2021-04-09    30
68  2021-04-10    42
69  2021-04-11    30
70  2021-04-12    32
71  2021-04-13     9
72  2021-04-14     9
73  2021-04-15     4
74  2021-04-16    15
75  2021-04-17    12
76  2021-04-18    25
77  2021-04-19    20
78  2021-04-20    15
79  2021-04-21     9
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    37
86  2021-04-28    47
87  2021-04-29    65
88  2021-04-30    65
89  2021-05-01    49
90  2021-05-02    52
91  2021-05-03    47
92  2021-05-04    67
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09     4
98  2021-05-10     0
99  2021-05-11     4
100 2021-05-12     9
101 2021-05-13     2
102 2021-05-14     9
103 2021-05-15   580
104 2021-05-16     7
105 2021-05-17     0
106 2021-05-18     2
107 2021-05-19    12
108 2021-05-20   162
109 2021-05-21    35
110 2021-05-22    47
111 2021-05-23   149
112 2021-05-24   145
113 2021-05-25    67
114 2021-05-26    49
115 2021-05-27    52
116 2021-05-28    57
117 2021-05-29    60
118 2021-05-30    27
119 2021-05-31    12
120 2021-06-01     2
121 2021-06-02    15
122 2021-06-03     9
123 2021-06-04    32
124 2021-06-05    42
125 2021-06-06    17
126 2021-06-07   262
127 2021-06-08   942
128 2021-06-09   374
129 2021-06-10   172
130 2021-06-11  1440
131 2021-06-12   197
132 2021-06-13   117
133 2021-06-14   122
134 2021-06-15   105
135 2021-06-16   175
136 2021-06-17   100
137 2021-06-18   105
138 2021-06-19   170
139 2021-06-20   119
140 2021-06-21   105
141 2021-06-22    65
142 2021-06-23    82
143 2021-06-24   175
144 2021-06-25    37
145 2021-06-26    49
146 2021-06-27    12
147 2021-06-28    20
148 2021-06-29    30
149 2021-06-30    49
150 2021-07-01    85
151 2021-07-02   177
152 2021-07-03   232
153 2021-07-04   264
154 2021-07-05   180
155 2021-07-06    95
156 2021-07-07    39
157 2021-07-08    72
158 2021-07-09    72
159 2021-07-10    47
160 2021-07-11    70
161 2021-07-12    57
162 2021-07-13    27
163 2021-07-14    17
164 2021-07-15    17
