          date  data
0   2021-02-01     9
1   2021-02-02    30
2   2021-02-03    42
3   2021-02-04     8
4   2021-02-05     0
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    20
9   2021-02-10    39
10  2021-02-11    47
11  2021-02-12    27
12  2021-02-13     7
13  2021-02-14     0
14  2021-02-15     9
15  2021-02-16     4
16  2021-02-17     2
17  2021-02-18    17
18  2021-02-19     9
19  2021-02-20    20
20  2021-02-21    12
21  2021-02-22    22
22  2021-02-23    17
23  2021-02-24     7
24  2021-02-25     9
25  2021-02-26     0
26  2021-02-27    12
27  2021-02-28     2
28  2021-03-01     0
29  2021-03-02     7
30  2021-03-03     7
31  2021-03-04    20
32  2021-03-05     2
33  2021-03-06     7
34  2021-03-07    20
35  2021-03-08    22
36  2021-03-09    37
37  2021-03-10    60
38  2021-03-11    30
39  2021-03-12    27
40  2021-03-13    17
41  2021-03-14    20
42  2021-03-15    27
43  2021-03-16    17
44  2021-03-17    17
45  2021-03-18    85
46  2021-03-19    32
47  2021-03-20    35
48  2021-03-21    32
49  2021-03-22     9
50  2021-03-23    35
51  2021-03-24    15
52  2021-03-25    24
53  2021-03-26    25
54  2021-03-27    32
55  2021-03-28    12
56  2021-03-29   114
57  2021-03-30    62
58  2021-03-31    77
59  2021-04-01    44
60  2021-04-02     7
61  2021-04-03     7
62  2021-04-04     7
63  2021-04-05    22
64  2021-04-06    25
65  2021-04-07    15
66  2021-04-08    12
67  2021-04-09    15
68  2021-04-10    17
69  2021-04-11    30
70  2021-04-12    12
71  2021-04-13    27
72  2021-04-14     2
73  2021-04-15     7
74  2021-04-16     7
75  2021-04-17    15
76  2021-04-18     7
77  2021-04-19    12
78  2021-04-20     4
79  2021-04-21     7
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    42
86  2021-04-28    60
87  2021-04-29    37
88  2021-04-30    77
89  2021-05-01    30
90  2021-05-02    42
91  2021-05-03    49
92  2021-05-04    70
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    15
103 2021-05-15   447
104 2021-05-16     7
105 2021-05-17     2
106 2021-05-18     2
107 2021-05-19     2
108 2021-05-20   162
109 2021-05-21    15
110 2021-05-22    39
111 2021-05-23   159
112 2021-05-24   127
113 2021-05-25    92
114 2021-05-26    32
115 2021-05-27    44
116 2021-05-28    42
117 2021-05-29    60
118 2021-05-30    32
119 2021-05-31     2
120 2021-06-01    17
121 2021-06-02    15
122 2021-06-03    20
123 2021-06-04    15
124 2021-06-05    37
125 2021-06-06    47
126 2021-06-07   369
127 2021-06-08  1050
128 2021-06-09   470
129 2021-06-10   232
130 2021-06-11  1664
131 2021-06-12   182
132 2021-06-13   145
133 2021-06-14   149
134 2021-06-15    89
135 2021-06-16   167
136 2021-06-17    87
137 2021-06-18   102
138 2021-06-19   117
139 2021-06-20   145
140 2021-06-21    89
141 2021-06-22    62
142 2021-06-23    82
143 2021-06-24   109
144 2021-06-25    82
145 2021-06-26    52
146 2021-06-27    12
147 2021-06-28    15
148 2021-06-29     2
149 2021-06-30    70
150 2021-07-01   102
151 2021-07-02   159
152 2021-07-03   264
153 2021-07-04   255
154 2021-07-05   182
155 2021-07-06   109
156 2021-07-07    47
157 2021-07-08    57
158 2021-07-09    70
159 2021-07-10    47
160 2021-07-11    27
161 2021-07-12    37
162 2021-07-13    47
163 2021-07-14    12
164 2021-07-15    39
