          date   data
0   2021-02-01    159
1   2021-02-02    730
2   2021-02-03    437
3   2021-02-04    244
4   2021-02-05     55
5   2021-02-06     12
6   2021-02-07     15
7   2021-02-08      7
8   2021-02-09    159
9   2021-02-10    367
10  2021-02-11    494
11  2021-02-12    329
12  2021-02-13    109
13  2021-02-14     22
14  2021-02-15     30
15  2021-02-16      4
16  2021-02-17     47
17  2021-02-18    194
18  2021-02-19    269
19  2021-02-20    412
20  2021-02-21    435
21  2021-02-22    327
22  2021-02-23    192
23  2021-02-24    132
24  2021-02-25     30
25  2021-02-26     82
26  2021-02-27    170
27  2021-02-28     74
28  2021-03-01    132
29  2021-03-02    204
30  2021-03-03    127
31  2021-03-04    182
32  2021-03-05    114
33  2021-03-06    132
34  2021-03-07    239
35  2021-03-08    177
36  2021-03-09    374
37  2021-03-10    797
38  2021-03-11    634
39  2021-03-12    402
40  2021-03-13    307
41  2021-03-14    460
42  2021-03-15    329
43  2021-03-16    247
44  2021-03-17    645
45  2021-03-18   1010
46  2021-03-19    692
47  2021-03-20    664
48  2021-03-21    620
49  2021-03-22    522
50  2021-03-23    592
51  2021-03-24    325
52  2021-03-25    690
53  2021-03-26    437
54  2021-03-27    449
55  2021-03-28    374
56  2021-03-29    655
57  2021-03-30    419
58  2021-03-31    552
59  2021-04-01    487
60  2021-04-02    302
61  2021-04-03    277
62  2021-04-04    175
63  2021-04-05    290
64  2021-04-06    360
65  2021-04-07    215
66  2021-04-08    154
67  2021-04-09    484
68  2021-04-10    350
69  2021-04-11    507
70  2021-04-12    355
71  2021-04-13    302
72  2021-04-14    202
73  2021-04-15    124
74  2021-04-16    157
75  2021-04-17    222
76  2021-04-18    194
77  2021-04-19    379
78  2021-04-20    325
79  2021-04-21    162
80  2021-04-22    137
81  2021-04-23     74
82  2021-04-24     15
83  2021-04-25     15
84  2021-04-26    154
85  2021-04-27    549
86  2021-04-28    809
87  2021-04-29    575
88  2021-04-30   1190
89  2021-05-01    507
90  2021-05-02    377
91  2021-05-03    682
92  2021-05-04   1317
93  2021-05-05     27
94  2021-05-06     39
95  2021-05-07     30
96  2021-05-08     57
97  2021-05-09     49
98  2021-05-10     44
99  2021-05-11     32
100 2021-05-12      2
101 2021-05-13     49
102 2021-05-14    312
103 2021-05-15   8457
104 2021-05-16     39
105 2021-05-17     72
106 2021-05-18     92
107 2021-05-19    132
108 2021-05-20   3047
109 2021-05-21    717
110 2021-05-22    809
111 2021-05-23   1874
112 2021-05-24   2134
113 2021-05-25   1067
114 2021-05-26    699
115 2021-05-27    737
116 2021-05-28    875
117 2021-05-29    814
118 2021-05-30    382
119 2021-05-31    400
120 2021-06-01    202
121 2021-06-02    204
122 2021-06-03    162
123 2021-06-04    217
124 2021-06-05    634
125 2021-06-06    524
126 2021-06-07   3102
127 2021-06-08  11657
128 2021-06-09   5044
129 2021-06-10   1912
130 2021-06-11  22499
131 2021-06-12   2957
132 2021-06-13   1437
133 2021-06-14   1415
134 2021-06-15   1202
135 2021-06-16   2585
136 2021-06-17   1079
137 2021-06-18   1415
138 2021-06-19   1920
139 2021-06-20   1852
140 2021-06-21   1659
141 2021-06-22   1000
142 2021-06-23    980
143 2021-06-24   1962
144 2021-06-25    919
145 2021-06-26    632
146 2021-06-27    222
147 2021-06-28    249
148 2021-06-29    197
149 2021-06-30    527
150 2021-07-01    927
151 2021-07-02   2907
152 2021-07-03   3137
153 2021-07-04   3317
154 2021-07-05   2107
155 2021-07-06   1627
156 2021-07-07    924
157 2021-07-08    712
158 2021-07-09   1107
159 2021-07-10    747
160 2021-07-11    597
161 2021-07-12    672
162 2021-07-13    407
163 2021-07-14    277
164 2021-07-15    262
