          date data
0   2021-02-01    0
1   2021-02-02   12
2   2021-02-03    4
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    7
10  2021-02-11   12
11  2021-02-12   22
12  2021-02-13    4
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18   12
18  2021-02-19    2
19  2021-02-20   12
20  2021-02-21   12
21  2021-02-22   17
22  2021-02-23    4
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    9
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    7
30  2021-03-03    9
31  2021-03-04    2
32  2021-03-05    0
33  2021-03-06    2
34  2021-03-07    4
35  2021-03-08   12
36  2021-03-09    7
37  2021-03-10   20
38  2021-03-11   12
39  2021-03-12   12
40  2021-03-13    7
41  2021-03-14    0
42  2021-03-15    2
43  2021-03-16   20
44  2021-03-17    9
45  2021-03-18   22
46  2021-03-19   12
47  2021-03-20   27
48  2021-03-21   17
49  2021-03-22    4
50  2021-03-23    7
51  2021-03-24    9
52  2021-03-25   30
53  2021-03-26    4
54  2021-03-27    9
55  2021-03-28    4
56  2021-03-29   12
57  2021-03-30   12
58  2021-03-31    9
59  2021-04-01    9
60  2021-04-02    2
61  2021-04-03    7
62  2021-04-04    0
63  2021-04-05   22
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10    9
69  2021-04-11    2
70  2021-04-12    9
71  2021-04-13    2
72  2021-04-14    2
73  2021-04-15    7
74  2021-04-16    4
75  2021-04-17    0
76  2021-04-18    0
77  2021-04-19    2
78  2021-04-20    7
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   30
86  2021-04-28   35
87  2021-04-29   12
88  2021-04-30   30
89  2021-05-01   15
90  2021-05-02   15
91  2021-05-03    9
92  2021-05-04   49
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  142
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   20
109 2021-05-21   20
110 2021-05-22   12
111 2021-05-23   35
112 2021-05-24   27
113 2021-05-25   22
114 2021-05-26   17
115 2021-05-27   32
116 2021-05-28   22
117 2021-05-29   22
118 2021-05-30    9
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02    7
122 2021-06-03    2
123 2021-06-04    2
124 2021-06-05    7
125 2021-06-06    7
126 2021-06-07   87
127 2021-06-08  337
128 2021-06-09  127
129 2021-06-10   52
130 2021-06-11  427
131 2021-06-12   79
132 2021-06-13   47
133 2021-06-14   47
134 2021-06-15   22
135 2021-06-16   60
136 2021-06-17   20
137 2021-06-18   30
138 2021-06-19    9
139 2021-06-20   47
140 2021-06-21   32
141 2021-06-22   17
142 2021-06-23    9
143 2021-06-24   47
144 2021-06-25   15
145 2021-06-26    4
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    4
149 2021-06-30    4
150 2021-07-01   25
151 2021-07-02   70
152 2021-07-03  105
153 2021-07-04  102
154 2021-07-05   44
155 2021-07-06   22
156 2021-07-07   20
157 2021-07-08    9
158 2021-07-09   32
159 2021-07-10   12
160 2021-07-11    9
161 2021-07-12   15
162 2021-07-13    7
163 2021-07-14    4
164 2021-07-15    4
