          date data
0   2021-02-01    7
1   2021-02-02    9
2   2021-02-03   15
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10    7
10  2021-02-11   15
11  2021-02-12    4
12  2021-02-13    0
13  2021-02-14    7
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    4
18  2021-02-19    7
19  2021-02-20    7
20  2021-02-21    7
21  2021-02-22   20
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    4
25  2021-02-26    4
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    2
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    4
35  2021-03-08    7
36  2021-03-09    9
37  2021-03-10   39
38  2021-03-11    9
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14    7
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17   27
45  2021-03-18   32
46  2021-03-19   17
47  2021-03-20   25
48  2021-03-21   17
49  2021-03-22   12
50  2021-03-23   30
51  2021-03-24    7
52  2021-03-25   30
53  2021-03-26   22
54  2021-03-27   12
55  2021-03-28   17
56  2021-03-29   44
57  2021-03-30   25
58  2021-03-31   27
59  2021-04-01   22
60  2021-04-02   12
61  2021-04-03    7
62  2021-04-04    2
63  2021-04-05   15
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    2
67  2021-04-09    2
68  2021-04-10    9
69  2021-04-11    4
70  2021-04-12    7
71  2021-04-13    7
72  2021-04-14    9
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    0
76  2021-04-18    9
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    9
80  2021-04-22    2
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27   17
86  2021-04-28   39
87  2021-04-29    9
88  2021-04-30   20
89  2021-05-01   22
90  2021-05-02   30
91  2021-05-03   30
92  2021-05-04   44
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    2
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    9
103 2021-05-15  210
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20  100
109 2021-05-21   30
110 2021-05-22   27
111 2021-05-23   72
112 2021-05-24   60
113 2021-05-25   39
114 2021-05-26   12
115 2021-05-27   22
116 2021-05-28   30
117 2021-05-29   39
118 2021-05-30    7
119 2021-05-31   15
120 2021-06-01   12
121 2021-06-02    9
122 2021-06-03    2
123 2021-06-04   17
124 2021-06-05   17
125 2021-06-06   22
126 2021-06-07  172
127 2021-06-08  565
128 2021-06-09  217
129 2021-06-10   42
130 2021-06-11  594
131 2021-06-12   87
132 2021-06-13  100
133 2021-06-14   62
134 2021-06-15   22
135 2021-06-16   35
136 2021-06-17   32
137 2021-06-18   25
138 2021-06-19   60
139 2021-06-20   77
140 2021-06-21   42
141 2021-06-22   37
142 2021-06-23   39
143 2021-06-24   82
144 2021-06-25   47
145 2021-06-26   32
146 2021-06-27   22
147 2021-06-28    2
148 2021-06-29    4
149 2021-06-30   17
150 2021-07-01   44
151 2021-07-02   92
152 2021-07-03  124
153 2021-07-04  187
154 2021-07-05   97
155 2021-07-06   82
156 2021-07-07   25
157 2021-07-08   39
158 2021-07-09   32
159 2021-07-10   30
160 2021-07-11   15
161 2021-07-12   30
162 2021-07-13   22
163 2021-07-14   15
164 2021-07-15   22
