          date  data
0   2021-02-01    35
1   2021-02-02   100
2   2021-02-03    92
3   2021-02-04    70
4   2021-02-05    22
5   2021-02-06    17
6   2021-02-07     4
7   2021-02-08     9
8   2021-02-09    42
9   2021-02-10    72
10  2021-02-11   132
11  2021-02-12    57
12  2021-02-13    37
13  2021-02-14    12
14  2021-02-15    20
15  2021-02-16     9
16  2021-02-17    25
17  2021-02-18    72
18  2021-02-19    67
19  2021-02-20    70
20  2021-02-21    95
21  2021-02-22    57
22  2021-02-23    44
23  2021-02-24    20
24  2021-02-25    17
25  2021-02-26    15
26  2021-02-27    22
27  2021-02-28    32
28  2021-03-01    39
29  2021-03-02    32
30  2021-03-03    12
31  2021-03-04    25
32  2021-03-05    37
33  2021-03-06    15
34  2021-03-07    37
35  2021-03-08    39
36  2021-03-09    89
37  2021-03-10   170
38  2021-03-11   137
39  2021-03-12    97
40  2021-03-13    47
41  2021-03-14   132
42  2021-03-15    49
43  2021-03-16    67
44  2021-03-17   117
45  2021-03-18   172
46  2021-03-19    89
47  2021-03-20   132
48  2021-03-21   207
49  2021-03-22   137
50  2021-03-23   147
51  2021-03-24    89
52  2021-03-25   154
53  2021-03-26   122
54  2021-03-27   114
55  2021-03-28   109
56  2021-03-29   350
57  2021-03-30   159
58  2021-03-31   252
59  2021-04-01   107
60  2021-04-02    85
61  2021-04-03    55
62  2021-04-04    42
63  2021-04-05    89
64  2021-04-06    92
65  2021-04-07    37
66  2021-04-08    30
67  2021-04-09   132
68  2021-04-10    92
69  2021-04-11    97
70  2021-04-12    92
71  2021-04-13    79
72  2021-04-14    30
73  2021-04-15    25
74  2021-04-16    42
75  2021-04-17    57
76  2021-04-18    44
77  2021-04-19    52
78  2021-04-20    47
79  2021-04-21    47
80  2021-04-22    30
81  2021-04-23    12
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    44
85  2021-04-27   224
86  2021-04-28   224
87  2021-04-29   222
88  2021-04-30   377
89  2021-05-01   219
90  2021-05-02    97
91  2021-05-03   197
92  2021-05-04   415
93  2021-05-05    27
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08    20
97  2021-05-09    30
98  2021-05-10    17
99  2021-05-11     7
100 2021-05-12     7
101 2021-05-13    15
102 2021-05-14    77
103 2021-05-15  1817
104 2021-05-16    15
105 2021-05-17     7
106 2021-05-18    25
107 2021-05-19    20
108 2021-05-20   604
109 2021-05-21   159
110 2021-05-22   227
111 2021-05-23   482
112 2021-05-24   432
113 2021-05-25   312
114 2021-05-26   177
115 2021-05-27   182
116 2021-05-28   224
117 2021-05-29   312
118 2021-05-30   140
119 2021-05-31   105
120 2021-06-01    52
121 2021-06-02    67
122 2021-06-03    74
123 2021-06-04    89
124 2021-06-05   192
125 2021-06-06   177
126 2021-06-07  1187
127 2021-06-08  4274
128 2021-06-09  1907
129 2021-06-10   714
130 2021-06-11  6467
131 2021-06-12  1034
132 2021-06-13   712
133 2021-06-14   615
134 2021-06-15   432
135 2021-06-16   527
136 2021-06-17   325
137 2021-06-18   444
138 2021-06-19   640
139 2021-06-20   647
140 2021-06-21   462
141 2021-06-22   290
142 2021-06-23   474
143 2021-06-24   824
144 2021-06-25   350
145 2021-06-26   297
146 2021-06-27   122
147 2021-06-28    85
148 2021-06-29   100
149 2021-06-30   154
150 2021-07-01   382
151 2021-07-02   777
152 2021-07-03  1267
153 2021-07-04  1450
154 2021-07-05   835
155 2021-07-06   552
156 2021-07-07   304
157 2021-07-08   325
158 2021-07-09   374
159 2021-07-10   337
160 2021-07-11   325
161 2021-07-12   267
162 2021-07-13   219
163 2021-07-14   162
164 2021-07-15   170
