          date  data
0   2021-02-01    44
1   2021-02-02   180
2   2021-02-03   159
3   2021-02-04    84
4   2021-02-05    12
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    47
9   2021-02-10   130
10  2021-02-11   137
11  2021-02-12    55
12  2021-02-13    32
13  2021-02-14    15
14  2021-02-15    15
15  2021-02-16     0
16  2021-02-17    25
17  2021-02-18    67
18  2021-02-19    74
19  2021-02-20   107
20  2021-02-21   119
21  2021-02-22   114
22  2021-02-23    49
23  2021-02-24    32
24  2021-02-25    17
25  2021-02-26    20
26  2021-02-27    42
27  2021-02-28     9
28  2021-03-01    35
29  2021-03-02    35
30  2021-03-03    39
31  2021-03-04    39
32  2021-03-05    37
33  2021-03-06    44
34  2021-03-07    55
35  2021-03-08    57
36  2021-03-09    74
37  2021-03-10   219
38  2021-03-11   192
39  2021-03-12   140
40  2021-03-13    70
41  2021-03-14   140
42  2021-03-15    72
43  2021-03-16   107
44  2021-03-17   147
45  2021-03-18   310
46  2021-03-19   180
47  2021-03-20   207
48  2021-03-21   192
49  2021-03-22   207
50  2021-03-23   202
51  2021-03-24   127
52  2021-03-25   194
53  2021-03-26   142
54  2021-03-27   170
55  2021-03-28   100
56  2021-03-29   127
57  2021-03-30   107
58  2021-03-31   130
59  2021-04-01   132
60  2021-04-02   105
61  2021-04-03    65
62  2021-04-04    89
63  2021-04-05   157
64  2021-04-06   117
65  2021-04-07    35
66  2021-04-08    55
67  2021-04-09   192
68  2021-04-10   132
69  2021-04-11   122
70  2021-04-12   142
71  2021-04-13   140
72  2021-04-14    74
73  2021-04-15    49
74  2021-04-16    72
75  2021-04-17   112
76  2021-04-18   105
77  2021-04-19   117
78  2021-04-20   119
79  2021-04-21    57
80  2021-04-22    32
81  2021-04-23    17
82  2021-04-24     7
83  2021-04-25     7
84  2021-04-26    92
85  2021-04-27   237
86  2021-04-28   310
87  2021-04-29   245
88  2021-04-30   419
89  2021-05-01   204
90  2021-05-02   132
91  2021-05-03   249
92  2021-05-04   607
93  2021-05-05    17
94  2021-05-06     9
95  2021-05-07    12
96  2021-05-08    15
97  2021-05-09    60
98  2021-05-10    25
99  2021-05-11    12
100 2021-05-12    12
101 2021-05-13    39
102 2021-05-14   119
103 2021-05-15  2952
104 2021-05-16    12
105 2021-05-17    22
106 2021-05-18    39
107 2021-05-19    32
108 2021-05-20  1085
109 2021-05-21   297
110 2021-05-22   332
111 2021-05-23   752
112 2021-05-24   812
113 2021-05-25   332
114 2021-05-26   232
115 2021-05-27   282
116 2021-05-28   259
117 2021-05-29   345
118 2021-05-30   215
119 2021-05-31   100
120 2021-06-01    82
121 2021-06-02   107
122 2021-06-03    65
123 2021-06-04   127
124 2021-06-05   282
125 2021-06-06   224
126 2021-06-07  1469
127 2021-06-08  5014
128 2021-06-09  2072
129 2021-06-10   762
130 2021-06-11  8744
131 2021-06-12  1169
132 2021-06-13   709
133 2021-06-14   670
134 2021-06-15   497
135 2021-06-16   697
136 2021-06-17   365
137 2021-06-18   552
138 2021-06-19   747
139 2021-06-20   794
140 2021-06-21   545
141 2021-06-22   397
142 2021-06-23   492
143 2021-06-24  1017
144 2021-06-25   415
145 2021-06-26   392
146 2021-06-27   105
147 2021-06-28   127
148 2021-06-29    92
149 2021-06-30   255
150 2021-07-01   385
151 2021-07-02  1172
152 2021-07-03  1642
153 2021-07-04  1862
154 2021-07-05   982
155 2021-07-06   677
156 2021-07-07   342
157 2021-07-08   285
158 2021-07-09   439
159 2021-07-10   315
160 2021-07-11   345
161 2021-07-12   352
162 2021-07-13   222
163 2021-07-14   145
164 2021-07-15   212
