          date data
0   2021-02-01    2
1   2021-02-02   27
2   2021-02-03   30
3   2021-02-04   14
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    9
10  2021-02-11    7
11  2021-02-12    7
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    9
18  2021-02-19   12
19  2021-02-20    7
20  2021-02-21   27
21  2021-02-22   22
22  2021-02-23    9
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    9
30  2021-03-03    2
31  2021-03-04    2
32  2021-03-05   12
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    7
36  2021-03-09    7
37  2021-03-10   22
38  2021-03-11    9
39  2021-03-12    9
40  2021-03-13    4
41  2021-03-14    2
42  2021-03-15    7
43  2021-03-16   20
44  2021-03-17    9
45  2021-03-18   25
46  2021-03-19    7
47  2021-03-20   12
48  2021-03-21    9
49  2021-03-22   17
50  2021-03-23   15
51  2021-03-24    4
52  2021-03-25    4
53  2021-03-26    7
54  2021-03-27    0
55  2021-03-28    4
56  2021-03-29   37
57  2021-03-30   17
58  2021-03-31   27
59  2021-04-01    7
60  2021-04-02    7
61  2021-04-03    4
62  2021-04-04    4
63  2021-04-05    4
64  2021-04-06    7
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09   15
68  2021-04-10    9
69  2021-04-11    7
70  2021-04-12    4
71  2021-04-13    2
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    7
76  2021-04-18   12
77  2021-04-19    7
78  2021-04-20   15
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27   15
86  2021-04-28   12
87  2021-04-29    4
88  2021-04-30   20
89  2021-05-01   12
90  2021-05-02   22
91  2021-05-03   25
92  2021-05-04    9
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    9
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  210
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   32
109 2021-05-21    2
110 2021-05-22   12
111 2021-05-23   79
112 2021-05-24   47
113 2021-05-25   17
114 2021-05-26    7
115 2021-05-27   25
116 2021-05-28   25
117 2021-05-29   30
118 2021-05-30   15
119 2021-05-31   12
120 2021-06-01    2
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05    7
125 2021-06-06   15
126 2021-06-07   97
127 2021-06-08  210
128 2021-06-09  112
129 2021-06-10   42
130 2021-06-11  400
131 2021-06-12   57
132 2021-06-13   52
133 2021-06-14   39
134 2021-06-15   37
135 2021-06-16   20
136 2021-06-17   12
137 2021-06-18   32
138 2021-06-19   49
139 2021-06-20   32
140 2021-06-21   27
141 2021-06-22   20
142 2021-06-23   39
143 2021-06-24   67
144 2021-06-25   15
145 2021-06-26   22
146 2021-06-27    9
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30   15
150 2021-07-01   25
151 2021-07-02   49
152 2021-07-03   52
153 2021-07-04  107
154 2021-07-05   62
155 2021-07-06   35
156 2021-07-07   20
157 2021-07-08   20
158 2021-07-09   22
159 2021-07-10   15
160 2021-07-11   25
161 2021-07-12   17
162 2021-07-13   12
163 2021-07-14    7
164 2021-07-15    2
