          date  data
0   2021-02-01    95
1   2021-02-02   157
2   2021-02-03    74
3   2021-02-04    78
4   2021-02-05    44
5   2021-02-06     4
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09    35
9   2021-02-10    82
10  2021-02-11   177
11  2021-02-12    87
12  2021-02-13    44
13  2021-02-14     7
14  2021-02-15    15
15  2021-02-16    15
16  2021-02-17    49
17  2021-02-18   122
18  2021-02-19   147
19  2021-02-20   145
20  2021-02-21   235
21  2021-02-22   122
22  2021-02-23    85
23  2021-02-24    22
24  2021-02-25     4
25  2021-02-26    15
26  2021-02-27    27
27  2021-02-28     7
28  2021-03-01    60
29  2021-03-02    67
30  2021-03-03    32
31  2021-03-04    22
32  2021-03-05    47
33  2021-03-06    22
34  2021-03-07    82
35  2021-03-08    60
36  2021-03-09   107
37  2021-03-10   242
38  2021-03-11   137
39  2021-03-12   135
40  2021-03-13   100
41  2021-03-14   165
42  2021-03-15    70
43  2021-03-16    62
44  2021-03-17   202
45  2021-03-18   247
46  2021-03-19   135
47  2021-03-20   224
48  2021-03-21   192
49  2021-03-22   149
50  2021-03-23   130
51  2021-03-24    85
52  2021-03-25   218
53  2021-03-26   127
54  2021-03-27   135
55  2021-03-28    85
56  2021-03-29   395
57  2021-03-30   312
58  2021-03-31   249
59  2021-04-01   130
60  2021-04-02   132
61  2021-04-03    70
62  2021-04-04    57
63  2021-04-05   122
64  2021-04-06   105
65  2021-04-07    30
66  2021-04-08    42
67  2021-04-09   149
68  2021-04-10   119
69  2021-04-11   159
70  2021-04-12   114
71  2021-04-13   100
72  2021-04-14    37
73  2021-04-15    47
74  2021-04-16    35
75  2021-04-17    49
76  2021-04-18    65
77  2021-04-19    74
78  2021-04-20    60
79  2021-04-21    37
80  2021-04-22    25
81  2021-04-23     7
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    35
85  2021-04-27   227
86  2021-04-28   275
87  2021-04-29   207
88  2021-04-30   332
89  2021-05-01   162
90  2021-05-02   119
91  2021-05-03   189
92  2021-05-04   540
93  2021-05-05    12
94  2021-05-06    12
95  2021-05-07     9
96  2021-05-08    15
97  2021-05-09    32
98  2021-05-10     4
99  2021-05-11     7
100 2021-05-12     4
101 2021-05-13    20
102 2021-05-14   135
103 2021-05-15  2842
104 2021-05-16    20
105 2021-05-17    15
106 2021-05-18    12
107 2021-05-19    20
108 2021-05-20  1174
109 2021-05-21   247
110 2021-05-22   280
111 2021-05-23   465
112 2021-05-24   512
113 2021-05-25   287
114 2021-05-26   157
115 2021-05-27   192
116 2021-05-28   275
117 2021-05-29   257
118 2021-05-30   124
119 2021-05-31   100
120 2021-06-01    60
121 2021-06-02    89
122 2021-06-03    85
123 2021-06-04    67
124 2021-06-05   175
125 2021-06-06   182
126 2021-06-07  1022
127 2021-06-08  3385
128 2021-06-09  1424
129 2021-06-10   677
130 2021-06-11  7657
131 2021-06-12   875
132 2021-06-13   477
133 2021-06-14   385
134 2021-06-15   424
135 2021-06-16   505
136 2021-06-17   307
137 2021-06-18   304
138 2021-06-19   584
139 2021-06-20   447
140 2021-06-21   327
141 2021-06-22   227
142 2021-06-23   320
143 2021-06-24   580
144 2021-06-25   264
145 2021-06-26   175
146 2021-06-27    95
147 2021-06-28    42
148 2021-06-29    35
149 2021-06-30   140
150 2021-07-01   229
151 2021-07-02   875
152 2021-07-03  1165
153 2021-07-04  1007
154 2021-07-05   547
155 2021-07-06   452
156 2021-07-07   262
157 2021-07-08   172
158 2021-07-09   237
159 2021-07-10   232
160 2021-07-11   227
161 2021-07-12   180
162 2021-07-13   145
163 2021-07-14    87
164 2021-07-15    92
