          date  data
0   2021-02-01    27
1   2021-02-02    39
2   2021-02-03     7
3   2021-02-04     8
4   2021-02-05    15
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    12
10  2021-02-11    30
11  2021-02-12     9
12  2021-02-13     4
13  2021-02-14     2
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17    12
17  2021-02-18    20
18  2021-02-19    37
19  2021-02-20    27
20  2021-02-21    55
21  2021-02-22    25
22  2021-02-23    25
23  2021-02-24     7
24  2021-02-25     0
25  2021-02-26    12
26  2021-02-27     7
27  2021-02-28     0
28  2021-03-01     4
29  2021-03-02     4
30  2021-03-03     2
31  2021-03-04     7
32  2021-03-05     7
33  2021-03-06     0
34  2021-03-07     7
35  2021-03-08     4
36  2021-03-09    27
37  2021-03-10    44
38  2021-03-11    17
39  2021-03-12     9
40  2021-03-13    15
41  2021-03-14    22
42  2021-03-15    20
43  2021-03-16     4
44  2021-03-17    17
45  2021-03-18    47
46  2021-03-19    35
47  2021-03-20    47
48  2021-03-21    49
49  2021-03-22    30
50  2021-03-23    35
51  2021-03-24    15
52  2021-03-25    40
53  2021-03-26    30
54  2021-03-27    32
55  2021-03-28    22
56  2021-03-29    52
57  2021-03-30    57
58  2021-03-31    44
59  2021-04-01    27
60  2021-04-02     9
61  2021-04-03    20
62  2021-04-04    15
63  2021-04-05    12
64  2021-04-06    15
65  2021-04-07     4
66  2021-04-08     2
67  2021-04-09    17
68  2021-04-10    12
69  2021-04-11    25
70  2021-04-12    22
71  2021-04-13    17
72  2021-04-14     7
73  2021-04-15     2
74  2021-04-16    12
75  2021-04-17    20
76  2021-04-18    12
77  2021-04-19    15
78  2021-04-20     7
79  2021-04-21     4
80  2021-04-22     4
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    12
85  2021-04-27    37
86  2021-04-28    30
87  2021-04-29    35
88  2021-04-30    39
89  2021-05-01    25
90  2021-05-02    20
91  2021-05-03    22
92  2021-05-04    57
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09     7
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    22
103 2021-05-15   397
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18     4
107 2021-05-19     2
108 2021-05-20   172
109 2021-05-21    27
110 2021-05-22    62
111 2021-05-23    87
112 2021-05-24    65
113 2021-05-25    37
114 2021-05-26    30
115 2021-05-27    25
116 2021-05-28    37
117 2021-05-29    35
118 2021-05-30    42
119 2021-05-31     7
120 2021-06-01    15
121 2021-06-02    15
122 2021-06-03     9
123 2021-06-04     7
124 2021-06-05    65
125 2021-06-06    30
126 2021-06-07   177
127 2021-06-08   502
128 2021-06-09   207
129 2021-06-10   127
130 2021-06-11  1012
131 2021-06-12   142
132 2021-06-13    55
133 2021-06-14    49
134 2021-06-15    57
135 2021-06-16    52
136 2021-06-17    25
137 2021-06-18    57
138 2021-06-19    47
139 2021-06-20    70
140 2021-06-21    27
141 2021-06-22    27
142 2021-06-23    17
143 2021-06-24    65
144 2021-06-25    30
145 2021-06-26    20
146 2021-06-27    17
147 2021-06-28     4
148 2021-06-29     7
149 2021-06-30    20
150 2021-07-01    42
151 2021-07-02   154
152 2021-07-03   194
153 2021-07-04   159
154 2021-07-05    92
155 2021-07-06    62
156 2021-07-07    25
157 2021-07-08    20
158 2021-07-09    49
159 2021-07-10    27
160 2021-07-11    22
161 2021-07-12    37
162 2021-07-13    22
163 2021-07-14    15
164 2021-07-15     9
