          date data
0   2021-02-01   17
1   2021-02-02   20
2   2021-02-03   12
3   2021-02-04   14
4   2021-02-05    7
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    9
9   2021-02-10    7
10  2021-02-11   35
11  2021-02-12   17
12  2021-02-13    2
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18   15
18  2021-02-19   32
19  2021-02-20   22
20  2021-02-21   20
21  2021-02-22   25
22  2021-02-23   22
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01   12
29  2021-03-02    4
30  2021-03-03    7
31  2021-03-04   17
32  2021-03-05    7
33  2021-03-06    4
34  2021-03-07   22
35  2021-03-08    7
36  2021-03-09   17
37  2021-03-10   35
38  2021-03-11   27
39  2021-03-12   27
40  2021-03-13   12
41  2021-03-14   20
42  2021-03-15   20
43  2021-03-16    9
44  2021-03-17   39
45  2021-03-18   55
46  2021-03-19   42
47  2021-03-20   44
48  2021-03-21   35
49  2021-03-22   44
50  2021-03-23   17
51  2021-03-24    7
52  2021-03-25   24
53  2021-03-26   32
54  2021-03-27   30
55  2021-03-28   17
56  2021-03-29   82
57  2021-03-30   47
58  2021-03-31   42
59  2021-04-01   20
60  2021-04-02   17
61  2021-04-03   17
62  2021-04-04    0
63  2021-04-05    9
64  2021-04-06    4
65  2021-04-07    7
66  2021-04-08    2
67  2021-04-09   22
68  2021-04-10   12
69  2021-04-11   20
70  2021-04-12    7
71  2021-04-13   20
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    4
76  2021-04-18    4
77  2021-04-19   17
78  2021-04-20    9
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27   32
86  2021-04-28   25
87  2021-04-29   30
88  2021-04-30   39
89  2021-05-01   20
90  2021-05-02   17
91  2021-05-03   22
92  2021-05-04   49
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    4
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    4
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   17
103 2021-05-15  327
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20  167
109 2021-05-21   37
110 2021-05-22   37
111 2021-05-23   74
112 2021-05-24   57
113 2021-05-25   30
114 2021-05-26   30
115 2021-05-27   12
116 2021-05-28   20
117 2021-05-29   22
118 2021-05-30   12
119 2021-05-31   20
120 2021-06-01    4
121 2021-06-02    7
122 2021-06-03   15
123 2021-06-04    2
124 2021-06-05   35
125 2021-06-06   22
126 2021-06-07  204
127 2021-06-08  557
128 2021-06-09  257
129 2021-06-10  142
130 2021-06-11  957
131 2021-06-12  130
132 2021-06-13   77
133 2021-06-14   57
134 2021-06-15   52
135 2021-06-16   65
136 2021-06-17   49
137 2021-06-18   27
138 2021-06-19   72
139 2021-06-20   52
140 2021-06-21   37
141 2021-06-22   22
142 2021-06-23   47
143 2021-06-24   70
144 2021-06-25   27
145 2021-06-26   22
146 2021-06-27    7
147 2021-06-28    4
148 2021-06-29    7
149 2021-06-30   12
150 2021-07-01   22
151 2021-07-02  107
152 2021-07-03  199
153 2021-07-04  137
154 2021-07-05   60
155 2021-07-06   57
156 2021-07-07   42
157 2021-07-08   15
158 2021-07-09   42
159 2021-07-10   15
160 2021-07-11   30
161 2021-07-12   22
162 2021-07-13   12
163 2021-07-14   12
164 2021-07-15   15
