          date  data
0   2021-02-01    32
1   2021-02-02    57
2   2021-02-03    17
3   2021-02-04    18
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    20
10  2021-02-11    32
11  2021-02-12    15
12  2021-02-13    12
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     4
16  2021-02-17    15
17  2021-02-18    37
18  2021-02-19    32
19  2021-02-20    55
20  2021-02-21    22
21  2021-02-22    35
22  2021-02-23    17
23  2021-02-24     4
24  2021-02-25     0
25  2021-02-26     4
26  2021-02-27    15
27  2021-02-28     2
28  2021-03-01     9
29  2021-03-02    20
30  2021-03-03    25
31  2021-03-04     9
32  2021-03-05     4
33  2021-03-06     7
34  2021-03-07    15
35  2021-03-08    12
36  2021-03-09    20
37  2021-03-10    62
38  2021-03-11    27
39  2021-03-12    20
40  2021-03-13    12
41  2021-03-14    37
42  2021-03-15    15
43  2021-03-16     9
44  2021-03-17    25
45  2021-03-18    49
46  2021-03-19    35
47  2021-03-20    57
48  2021-03-21    39
49  2021-03-22    35
50  2021-03-23    32
51  2021-03-24    17
52  2021-03-25    44
53  2021-03-26    49
54  2021-03-27    27
55  2021-03-28    47
56  2021-03-29   127
57  2021-03-30    57
58  2021-03-31    60
59  2021-04-01    35
60  2021-04-02     9
61  2021-04-03    20
62  2021-04-04    32
63  2021-04-05    30
64  2021-04-06    37
65  2021-04-07     7
66  2021-04-08     7
67  2021-04-09    49
68  2021-04-10    17
69  2021-04-11    27
70  2021-04-12    37
71  2021-04-13    15
72  2021-04-14     4
73  2021-04-15    15
74  2021-04-16     7
75  2021-04-17    17
76  2021-04-18     9
77  2021-04-19    12
78  2021-04-20     7
79  2021-04-21    12
80  2021-04-22     0
81  2021-04-23     4
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26     4
85  2021-04-27    32
86  2021-04-28    44
87  2021-04-29    57
88  2021-04-30    52
89  2021-05-01    37
90  2021-05-02    30
91  2021-05-03    47
92  2021-05-04    70
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09     4
98  2021-05-10     2
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    20
103 2021-05-15   535
104 2021-05-16     7
105 2021-05-17     7
106 2021-05-18     4
107 2021-05-19     9
108 2021-05-20   177
109 2021-05-21    32
110 2021-05-22    62
111 2021-05-23   112
112 2021-05-24    52
113 2021-05-25    30
114 2021-05-26    27
115 2021-05-27    20
116 2021-05-28    60
117 2021-05-29    42
118 2021-05-30     7
119 2021-05-31    22
120 2021-06-01     7
121 2021-06-02    15
122 2021-06-03    12
123 2021-06-04     9
124 2021-06-05    35
125 2021-06-06    37
126 2021-06-07   215
127 2021-06-08   655
128 2021-06-09   329
129 2021-06-10   142
130 2021-06-11  1342
131 2021-06-12   157
132 2021-06-13    95
133 2021-06-14    92
134 2021-06-15    77
135 2021-06-16    87
136 2021-06-17    55
137 2021-06-18    49
138 2021-06-19    65
139 2021-06-20    62
140 2021-06-21    67
141 2021-06-22    37
142 2021-06-23    62
143 2021-06-24    79
144 2021-06-25    47
145 2021-06-26    27
146 2021-06-27    15
147 2021-06-28     9
148 2021-06-29     4
149 2021-06-30     7
150 2021-07-01    65
151 2021-07-02   210
152 2021-07-03   237
153 2021-07-04   177
154 2021-07-05   127
155 2021-07-06    55
156 2021-07-07    42
157 2021-07-08    39
158 2021-07-09    52
159 2021-07-10    37
160 2021-07-11    37
161 2021-07-12    35
162 2021-07-13    17
163 2021-07-14    12
164 2021-07-15     9
