          date   data
0   2021-02-01    565
1   2021-02-02   1050
2   2021-02-03    497
3   2021-02-04    404
4   2021-02-05    210
5   2021-02-06     67
6   2021-02-07     15
7   2021-02-08     25
8   2021-02-09    239
9   2021-02-10    487
10  2021-02-11    840
11  2021-02-12    427
12  2021-02-13    202
13  2021-02-14     82
14  2021-02-15     79
15  2021-02-16     67
16  2021-02-17    170
17  2021-02-18    552
18  2021-02-19    882
19  2021-02-20   1119
20  2021-02-21    997
21  2021-02-22    732
22  2021-02-23    467
23  2021-02-24    170
24  2021-02-25     67
25  2021-02-26     95
26  2021-02-27    194
27  2021-02-28    102
28  2021-03-01    280
29  2021-03-02    320
30  2021-03-03    237
31  2021-03-04    237
32  2021-03-05    239
33  2021-03-06    257
34  2021-03-07    340
35  2021-03-08    237
36  2021-03-09    510
37  2021-03-10   1242
38  2021-03-11    730
39  2021-03-12    624
40  2021-03-13    412
41  2021-03-14    790
42  2021-03-15    457
43  2021-03-16    322
44  2021-03-17    827
45  2021-03-18   1440
46  2021-03-19   1050
47  2021-03-20   1315
48  2021-03-21   1152
49  2021-03-22    725
50  2021-03-23    800
51  2021-03-24    392
52  2021-03-25   1204
53  2021-03-26    847
54  2021-03-27    769
55  2021-03-28    575
56  2021-03-29   1844
57  2021-03-30   1279
58  2021-03-31   1092
59  2021-04-01    787
60  2021-04-02    482
61  2021-04-03    447
62  2021-04-04    372
63  2021-04-05    452
64  2021-04-06    512
65  2021-04-07    229
66  2021-04-08    217
67  2021-04-09    827
68  2021-04-10    607
69  2021-04-11    822
70  2021-04-12    694
71  2021-04-13    602
72  2021-04-14    219
73  2021-04-15    167
74  2021-04-16    282
75  2021-04-17    355
76  2021-04-18    334
77  2021-04-19    444
78  2021-04-20    350
79  2021-04-21    182
80  2021-04-22    152
81  2021-04-23     62
82  2021-04-24      2
83  2021-04-25      4
84  2021-04-26    262
85  2021-04-27   1067
86  2021-04-28   1207
87  2021-04-29   1102
88  2021-04-30   1492
89  2021-05-01    777
90  2021-05-02    662
91  2021-05-03    840
92  2021-05-04   2239
93  2021-05-05     49
94  2021-05-06     30
95  2021-05-07     57
96  2021-05-08    102
97  2021-05-09    159
98  2021-05-10     97
99  2021-05-11     35
100 2021-05-12     37
101 2021-05-13     79
102 2021-05-14    587
103 2021-05-15  14382
104 2021-05-16     89
105 2021-05-17     82
106 2021-05-18    102
107 2021-05-19    184
108 2021-05-20   6704
109 2021-05-21   1222
110 2021-05-22   1472
111 2021-05-23   2342
112 2021-05-24   2222
113 2021-05-25   1172
114 2021-05-26    814
115 2021-05-27    939
116 2021-05-28    994
117 2021-05-29    954
118 2021-05-30    587
119 2021-05-31    487
120 2021-06-01    252
121 2021-06-02    347
122 2021-06-03    332
123 2021-06-04    322
124 2021-06-05    947
125 2021-06-06    742
126 2021-06-07   4997
127 2021-06-08  16247
128 2021-06-09   7232
129 2021-06-10   3439
130 2021-06-11  36784
131 2021-06-12   4220
132 2021-06-13   2297
133 2021-06-14   1992
134 2021-06-15   1897
135 2021-06-16   2325
136 2021-06-17   1287
137 2021-06-18   1602
138 2021-06-19   2457
139 2021-06-20   2100
140 2021-06-21   1474
141 2021-06-22   1055
142 2021-06-23   1244
143 2021-06-24   2284
144 2021-06-25   1097
145 2021-06-26    752
146 2021-06-27    367
147 2021-06-28    275
148 2021-06-29    252
149 2021-06-30    640
150 2021-07-01   1267
151 2021-07-02   4959
152 2021-07-03   5737
153 2021-07-04   4654
154 2021-07-05   2885
155 2021-07-06   1967
156 2021-07-07   1179
157 2021-07-08    872
158 2021-07-09   1254
159 2021-07-10    945
160 2021-07-11    867
161 2021-07-12    889
162 2021-07-13    640
163 2021-07-14    422
164 2021-07-15    422
