          date   data
0   2021-02-01    354
1   2021-02-02   2004
2   2021-02-03   1280
3   2021-02-04    668
4   2021-02-05     84
5   2021-02-06     60
6   2021-02-07      8
7   2021-02-08     14
8   2021-02-09    374
9   2021-02-10    940
10  2021-02-11   1080
11  2021-02-12    640
12  2021-02-13    174
13  2021-02-14     84
14  2021-02-15     84
15  2021-02-16      0
16  2021-02-17    134
17  2021-02-18    518
18  2021-02-19    694
19  2021-02-20    888
20  2021-02-21   1224
21  2021-02-22    734
22  2021-02-23    434
23  2021-02-24    194
24  2021-02-25    140
25  2021-02-26    154
26  2021-02-27    378
27  2021-02-28    190
28  2021-03-01    384
29  2021-03-02    498
30  2021-03-03    294
31  2021-03-04    394
32  2021-03-05    368
33  2021-03-06    178
34  2021-03-07    518
35  2021-03-08    214
36  2021-03-09    714
37  2021-03-10   1674
38  2021-03-11   1000
39  2021-03-12    714
40  2021-03-13    680
41  2021-03-14   1160
42  2021-03-15    694
43  2021-03-16    588
44  2021-03-17   1118
45  2021-03-18   1874
46  2021-03-19   1534
47  2021-03-20   1464
48  2021-03-21   1594
49  2021-03-22   1044
50  2021-03-23   1268
51  2021-03-24    664
52  2021-03-25   1560
53  2021-03-26    968
54  2021-03-27   1004
55  2021-03-28    754
56  2021-03-29    830
57  2021-03-30    538
58  2021-03-31    684
59  2021-04-01    894
60  2021-04-02    634
61  2021-04-03    534
62  2021-04-04    444
63  2021-04-05    904
64  2021-04-06    838
65  2021-04-07    334
66  2021-04-08    304
67  2021-04-09   1198
68  2021-04-10    724
69  2021-04-11   1104
70  2021-04-12    968
71  2021-04-13    758
72  2021-04-14    360
73  2021-04-15    280
74  2021-04-16    374
75  2021-04-17    458
76  2021-04-18    464
77  2021-04-19    780
78  2021-04-20    614
79  2021-04-21    284
80  2021-04-22    280
81  2021-04-23     60
82  2021-04-24     14
83  2021-04-25     34
84  2021-04-26    438
85  2021-04-27   1150
86  2021-04-28   1460
87  2021-04-29   1028
88  2021-04-30   2458
89  2021-05-01   1044
90  2021-05-02    754
91  2021-05-03   1208
92  2021-05-04   2494
93  2021-05-05     94
94  2021-05-06     34
95  2021-05-07     40
96  2021-05-08     50
97  2021-05-09    178
98  2021-05-10     70
99  2021-05-11     40
100 2021-05-12     40
101 2021-05-13    148
102 2021-05-14    794
103 2021-05-15  21764
104 2021-05-16    130
105 2021-05-17    110
106 2021-05-18    148
107 2021-05-19    270
108 2021-05-20   8208
109 2021-05-21   1618
110 2021-05-22   1924
111 2021-05-23   4080
112 2021-05-24   3734
113 2021-05-25   2010
114 2021-05-26   1348
115 2021-05-27   1714
116 2021-05-28   1314
117 2021-05-29   1544
118 2021-05-30    978
119 2021-05-31    664
120 2021-06-01    354
121 2021-06-02    360
122 2021-06-03    354
123 2021-06-04    474
124 2021-06-05   1354
125 2021-06-06    874
126 2021-06-07   6170
127 2021-06-08  21408
128 2021-06-09   8900
129 2021-06-10   4310
130 2021-06-11  45008
131 2021-06-12   5734
132 2021-06-13   3254
133 2021-06-14   2684
134 2021-06-15   2578
135 2021-06-16   3114
136 2021-06-17   1720
137 2021-06-18   2530
138 2021-06-19   3734
139 2021-06-20   3930
140 2021-06-21   2600
141 2021-06-22   1778
142 2021-06-23   2110
143 2021-06-24   5634
144 2021-06-25   1644
145 2021-06-26   1364
146 2021-06-27    574
147 2021-06-28    474
148 2021-06-29    464
149 2021-06-30   1080
150 2021-07-01   2134
151 2021-07-02   6368
152 2021-07-03   6698
153 2021-07-04   6808
154 2021-07-05   4678
155 2021-07-06   3474
156 2021-07-07   1734
157 2021-07-08   1644
158 2021-07-09   2264
159 2021-07-10   1544
160 2021-07-11   1864
161 2021-07-12   1814
162 2021-07-13   1098
163 2021-07-14    560
164 2021-07-15    758
