          date  data
0   2021-02-01    27
1   2021-02-02    72
2   2021-02-03    77
3   2021-02-04    44
4   2021-02-05     9
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    65
10  2021-02-11    95
11  2021-02-12    37
12  2021-02-13    30
13  2021-02-14     9
14  2021-02-15     9
15  2021-02-16     7
16  2021-02-17    15
17  2021-02-18    27
18  2021-02-19    20
19  2021-02-20    47
20  2021-02-21    70
21  2021-02-22    97
22  2021-02-23    35
23  2021-02-24     2
24  2021-02-25     7
25  2021-02-26    17
26  2021-02-27     7
27  2021-02-28     7
28  2021-03-01    32
29  2021-03-02    12
30  2021-03-03    32
31  2021-03-04     7
32  2021-03-05    25
33  2021-03-06    15
34  2021-03-07    25
35  2021-03-08    37
36  2021-03-09    79
37  2021-03-10   105
38  2021-03-11    74
39  2021-03-12    72
40  2021-03-13    49
41  2021-03-14    52
42  2021-03-15    44
43  2021-03-16    44
44  2021-03-17    79
45  2021-03-18    95
46  2021-03-19    72
47  2021-03-20    85
48  2021-03-21    77
49  2021-03-22    30
50  2021-03-23    72
51  2021-03-24    27
52  2021-03-25    54
53  2021-03-26    67
54  2021-03-27    79
55  2021-03-28    37
56  2021-03-29    95
57  2021-03-30    72
58  2021-03-31    87
59  2021-04-01    62
60  2021-04-02    60
61  2021-04-03    25
62  2021-04-04    32
63  2021-04-05    47
64  2021-04-06    32
65  2021-04-07    20
66  2021-04-08    15
67  2021-04-09    79
68  2021-04-10    52
69  2021-04-11    82
70  2021-04-12    60
71  2021-04-13    32
72  2021-04-14    32
73  2021-04-15    15
74  2021-04-16    15
75  2021-04-17    37
76  2021-04-18    17
77  2021-04-19    37
78  2021-04-20    39
79  2021-04-21    17
80  2021-04-22     9
81  2021-04-23    12
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    35
85  2021-04-27    62
86  2021-04-28   140
87  2021-04-29    89
88  2021-04-30   145
89  2021-05-01    74
90  2021-05-02    85
91  2021-05-03    85
92  2021-05-04   137
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08     4
97  2021-05-09     9
98  2021-05-10     7
99  2021-05-11    12
100 2021-05-12     2
101 2021-05-13     9
102 2021-05-14    30
103 2021-05-15   954
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18    15
107 2021-05-19     2
108 2021-05-20   157
109 2021-05-21    82
110 2021-05-22   100
111 2021-05-23   182
112 2021-05-24   282
113 2021-05-25    95
114 2021-05-26    97
115 2021-05-27    72
116 2021-05-28   132
117 2021-05-29   147
118 2021-05-30    32
119 2021-05-31    32
120 2021-06-01     7
121 2021-06-02    20
122 2021-06-03     7
123 2021-06-04    15
124 2021-06-05    42
125 2021-06-06    35
126 2021-06-07   465
127 2021-06-08  1595
128 2021-06-09   659
129 2021-06-10   267
130 2021-06-11  2707
131 2021-06-12   402
132 2021-06-13   247
133 2021-06-14   210
134 2021-06-15   175
135 2021-06-16   322
136 2021-06-17   112
137 2021-06-18   187
138 2021-06-19   132
139 2021-06-20   219
140 2021-06-21   162
141 2021-06-22    79
142 2021-06-23   114
143 2021-06-24   167
144 2021-06-25    92
145 2021-06-26    57
146 2021-06-27    25
147 2021-06-28     9
148 2021-06-29     7
149 2021-06-30    37
150 2021-07-01   165
151 2021-07-02   282
152 2021-07-03   430
153 2021-07-04   347
154 2021-07-05   235
155 2021-07-06   177
156 2021-07-07   102
157 2021-07-08    87
158 2021-07-09    95
159 2021-07-10    87
160 2021-07-11    52
161 2021-07-12    79
162 2021-07-13    55
163 2021-07-14    42
164 2021-07-15    42
