          date  data
0   2021-02-01    17
1   2021-02-02    67
2   2021-02-03    35
3   2021-02-04    18
4   2021-02-05     0
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    12
9   2021-02-10    35
10  2021-02-11    42
11  2021-02-12    35
12  2021-02-13     4
13  2021-02-14     2
14  2021-02-15     7
15  2021-02-16     2
16  2021-02-17     9
17  2021-02-18    20
18  2021-02-19    17
19  2021-02-20    30
20  2021-02-21    30
21  2021-02-22    30
22  2021-02-23    25
23  2021-02-24     7
24  2021-02-25     4
25  2021-02-26     2
26  2021-02-27     7
27  2021-02-28     0
28  2021-03-01    17
29  2021-03-02     2
30  2021-03-03    20
31  2021-03-04     2
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07    12
35  2021-03-08     9
36  2021-03-09    12
37  2021-03-10    49
38  2021-03-11    17
39  2021-03-12    15
40  2021-03-13    17
41  2021-03-14    27
42  2021-03-15    20
43  2021-03-16    12
44  2021-03-17    27
45  2021-03-18    49
46  2021-03-19    17
47  2021-03-20    49
48  2021-03-21    30
49  2021-03-22     9
50  2021-03-23    32
51  2021-03-24     7
52  2021-03-25    24
53  2021-03-26    57
54  2021-03-27    30
55  2021-03-28    32
56  2021-03-29    97
57  2021-03-30    77
58  2021-03-31    70
59  2021-04-01    20
60  2021-04-02     9
61  2021-04-03    32
62  2021-04-04    25
63  2021-04-05    20
64  2021-04-06    17
65  2021-04-07     4
66  2021-04-08    12
67  2021-04-09    27
68  2021-04-10    17
69  2021-04-11    39
70  2021-04-12    55
71  2021-04-13    25
72  2021-04-14    20
73  2021-04-15     4
74  2021-04-16    15
75  2021-04-17     2
76  2021-04-18     2
77  2021-04-19    17
78  2021-04-20    22
79  2021-04-21     4
80  2021-04-22     2
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    22
85  2021-04-27    47
86  2021-04-28    70
87  2021-04-29    37
88  2021-04-30    87
89  2021-05-01    35
90  2021-05-02    27
91  2021-05-03    44
92  2021-05-04    72
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     7
97  2021-05-09    12
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15   512
104 2021-05-16     4
105 2021-05-17     2
106 2021-05-18     7
107 2021-05-19    12
108 2021-05-20   149
109 2021-05-21    65
110 2021-05-22    49
111 2021-05-23   130
112 2021-05-24   149
113 2021-05-25    57
114 2021-05-26    44
115 2021-05-27    57
116 2021-05-28    55
117 2021-05-29    49
118 2021-05-30    32
119 2021-05-31    30
120 2021-06-01    20
121 2021-06-02    12
122 2021-06-03     4
123 2021-06-04     7
124 2021-06-05    35
125 2021-06-06    27
126 2021-06-07   290
127 2021-06-08   882
128 2021-06-09   382
129 2021-06-10   154
130 2021-06-11  1389
131 2021-06-12   235
132 2021-06-13   175
133 2021-06-14   109
134 2021-06-15   107
135 2021-06-16   165
136 2021-06-17   100
137 2021-06-18   105
138 2021-06-19   105
139 2021-06-20   130
140 2021-06-21    82
141 2021-06-22    72
142 2021-06-23    55
143 2021-06-24   114
144 2021-06-25    32
145 2021-06-26    47
146 2021-06-27    17
147 2021-06-28    17
148 2021-06-29     2
149 2021-06-30    35
150 2021-07-01   105
151 2021-07-02   187
152 2021-07-03   189
153 2021-07-04   272
154 2021-07-05   147
155 2021-07-06   112
156 2021-07-07    65
157 2021-07-08    55
158 2021-07-09    87
159 2021-07-10    49
160 2021-07-11    42
161 2021-07-12    55
162 2021-07-13    22
163 2021-07-14    37
164 2021-07-15    30
