          date data
0   2021-02-01    2
1   2021-02-02   22
2   2021-02-03    4
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    7
10  2021-02-11   15
11  2021-02-12    0
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    0
18  2021-02-19    2
19  2021-02-20    2
20  2021-02-21    2
21  2021-02-22    9
22  2021-02-23   20
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    4
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    0
36  2021-03-09    7
37  2021-03-10   30
38  2021-03-11    2
39  2021-03-12    2
40  2021-03-13    2
41  2021-03-14   15
42  2021-03-15    0
43  2021-03-16    0
44  2021-03-17    4
45  2021-03-18    7
46  2021-03-19    4
47  2021-03-20    4
48  2021-03-21    9
49  2021-03-22    7
50  2021-03-23    7
51  2021-03-24    2
52  2021-03-25   14
53  2021-03-26    2
54  2021-03-27    4
55  2021-03-28    7
56  2021-03-29   17
57  2021-03-30    4
58  2021-03-31   12
59  2021-04-01   15
60  2021-04-02    9
61  2021-04-03    7
62  2021-04-04    2
63  2021-04-05    9
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10    2
69  2021-04-11    4
70  2021-04-12    2
71  2021-04-13    4
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    0
77  2021-04-19    2
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    2
86  2021-04-28   15
87  2021-04-29   20
88  2021-04-30   12
89  2021-05-01    2
90  2021-05-02    9
91  2021-05-03   17
92  2021-05-04   15
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15   87
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   44
109 2021-05-21    9
110 2021-05-22    7
111 2021-05-23    4
112 2021-05-24   25
113 2021-05-25   15
114 2021-05-26    7
115 2021-05-27   27
116 2021-05-28   15
117 2021-05-29    9
118 2021-05-30    2
119 2021-05-31    4
120 2021-06-01    0
121 2021-06-02    0
122 2021-06-03    4
123 2021-06-04   12
124 2021-06-05    4
125 2021-06-06    7
126 2021-06-07   27
127 2021-06-08  147
128 2021-06-09   72
129 2021-06-10   32
130 2021-06-11  262
131 2021-06-12   27
132 2021-06-13   25
133 2021-06-14   27
134 2021-06-15   17
135 2021-06-16   30
136 2021-06-17    4
137 2021-06-18    9
138 2021-06-19   27
139 2021-06-20   15
140 2021-06-21   20
141 2021-06-22    9
142 2021-06-23   15
143 2021-06-24   22
144 2021-06-25    9
145 2021-06-26    2
146 2021-06-27    4
147 2021-06-28    9
148 2021-06-29    2
149 2021-06-30    7
150 2021-07-01    0
151 2021-07-02   57
152 2021-07-03   30
153 2021-07-04   32
154 2021-07-05   27
155 2021-07-06   20
156 2021-07-07    7
157 2021-07-08    2
158 2021-07-09    9
159 2021-07-10   15
160 2021-07-11    2
161 2021-07-12    9
162 2021-07-13    9
163 2021-07-14    2
164 2021-07-15    7
