          date  data
0   2021-02-01    35
1   2021-02-02    74
2   2021-02-03    62
3   2021-02-04    80
4   2021-02-05    15
5   2021-02-06     9
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    22
9   2021-02-10    87
10  2021-02-11    65
11  2021-02-12    55
12  2021-02-13     9
13  2021-02-14    12
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     0
17  2021-02-18    37
18  2021-02-19    44
19  2021-02-20    67
20  2021-02-21    55
21  2021-02-22    39
22  2021-02-23    12
23  2021-02-24    34
24  2021-02-25     8
25  2021-02-26     2
26  2021-02-27    20
27  2021-02-28     7
28  2021-03-01     7
29  2021-03-02    20
30  2021-03-03    12
31  2021-03-04    12
32  2021-03-05    20
33  2021-03-06     7
34  2021-03-07    17
35  2021-03-08     4
36  2021-03-09    27
37  2021-03-10   105
38  2021-03-11    57
39  2021-03-12    39
40  2021-03-13    39
41  2021-03-14    65
42  2021-03-15    42
43  2021-03-16    17
44  2021-03-17    52
45  2021-03-18    92
46  2021-03-19    74
47  2021-03-20    85
48  2021-03-21    72
49  2021-03-22    57
50  2021-03-23    32
51  2021-03-24    44
52  2021-03-25    98
53  2021-03-26    27
54  2021-03-27    32
55  2021-03-28    37
56  2021-03-29    35
57  2021-03-30    25
58  2021-03-31    30
59  2021-04-01    35
60  2021-04-02    42
61  2021-04-03    27
62  2021-04-04    30
63  2021-04-05    20
64  2021-04-06    15
65  2021-04-07    12
66  2021-04-08    17
67  2021-04-09    60
68  2021-04-10    44
69  2021-04-11    74
70  2021-04-12    67
71  2021-04-13    55
72  2021-04-14    39
73  2021-04-15    22
74  2021-04-16    20
75  2021-04-17    30
76  2021-04-18    12
77  2021-04-19    32
78  2021-04-20    49
79  2021-04-21    30
80  2021-04-22     9
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    30
85  2021-04-27    92
86  2021-04-28    82
87  2021-04-29    70
88  2021-04-30   102
89  2021-05-01    57
90  2021-05-02    52
91  2021-05-03    87
92  2021-05-04   105
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     2
97  2021-05-09    15
98  2021-05-10     8
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    39
103 2021-05-15  1165
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18    20
107 2021-05-19    12
108 2021-05-20   327
109 2021-05-21    85
110 2021-05-22   127
111 2021-05-23   170
112 2021-05-24   187
113 2021-05-25   102
114 2021-05-26    65
115 2021-05-27    74
116 2021-05-28    39
117 2021-05-29    57
118 2021-05-30    32
119 2021-05-31    30
120 2021-06-01    12
121 2021-06-02    12
122 2021-06-03    22
123 2021-06-04    30
124 2021-06-05    44
125 2021-06-06    42
126 2021-06-07   312
127 2021-06-08  1005
128 2021-06-09   430
129 2021-06-10   199
130 2021-06-11  1817
131 2021-06-12   280
132 2021-06-13   122
133 2021-06-14   142
134 2021-06-15   137
135 2021-06-16   182
136 2021-06-17    70
137 2021-06-18   112
138 2021-06-19   172
139 2021-06-20   132
140 2021-06-21   114
141 2021-06-22    74
142 2021-06-23    92
143 2021-06-24   189
144 2021-06-25    82
145 2021-06-26    49
146 2021-06-27    37
147 2021-06-28    22
148 2021-06-29    12
149 2021-06-30    39
150 2021-07-01    87
151 2021-07-02   290
152 2021-07-03   329
153 2021-07-04   297
154 2021-07-05   184
155 2021-07-06   177
156 2021-07-07   105
157 2021-07-08    79
158 2021-07-09    89
159 2021-07-10    44
160 2021-07-11    55
161 2021-07-12    62
162 2021-07-13    42
163 2021-07-14    22
164 2021-07-15    30
