          date data
0   2021-02-01    9
1   2021-02-02   15
2   2021-02-03    0
3   2021-02-04    0
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    9
10  2021-02-11    9
11  2021-02-12    2
12  2021-02-13    2
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    4
18  2021-02-19    7
19  2021-02-20    0
20  2021-02-21   22
21  2021-02-22    4
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    7
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    0
35  2021-03-08    2
36  2021-03-09   20
37  2021-03-10   12
38  2021-03-11    9
39  2021-03-12    4
40  2021-03-13    7
41  2021-03-14    4
42  2021-03-15    2
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18    7
46  2021-03-19    4
47  2021-03-20    9
48  2021-03-21    4
49  2021-03-22    4
50  2021-03-23    2
51  2021-03-24    0
52  2021-03-25    4
53  2021-03-26   15
54  2021-03-27    4
55  2021-03-28    4
56  2021-03-29   27
57  2021-03-30   22
58  2021-03-31    9
59  2021-04-01    7
60  2021-04-02    0
61  2021-04-03    7
62  2021-04-04    2
63  2021-04-05    7
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    2
67  2021-04-09    0
68  2021-04-10    7
69  2021-04-11    2
70  2021-04-12    2
71  2021-04-13    0
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    0
76  2021-04-18    0
77  2021-04-19    7
78  2021-04-20    0
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27   12
86  2021-04-28   17
87  2021-04-29   17
88  2021-04-30   15
89  2021-05-01    9
90  2021-05-02    2
91  2021-05-03   17
92  2021-05-04   25
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15   72
104 2021-05-16    0
105 2021-05-17    4
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   37
109 2021-05-21    2
110 2021-05-22   15
111 2021-05-23   25
112 2021-05-24   17
113 2021-05-25    7
114 2021-05-26    4
115 2021-05-27    4
116 2021-05-28   12
117 2021-05-29   22
118 2021-05-30    2
119 2021-05-31    0
120 2021-06-01    2
121 2021-06-02    0
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    2
125 2021-06-06    0
126 2021-06-07   52
127 2021-06-08  194
128 2021-06-09   77
129 2021-06-10   37
130 2021-06-11  229
131 2021-06-12   32
132 2021-06-13   25
133 2021-06-14    9
134 2021-06-15    0
135 2021-06-16   20
136 2021-06-17   15
137 2021-06-18    4
138 2021-06-19   15
139 2021-06-20   17
140 2021-06-21   12
141 2021-06-22    9
142 2021-06-23    0
143 2021-06-24   20
144 2021-06-25   15
145 2021-06-26    9
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    0
149 2021-06-30    4
150 2021-07-01    9
151 2021-07-02   17
152 2021-07-03   42
153 2021-07-04   67
154 2021-07-05   17
155 2021-07-06    4
156 2021-07-07   20
157 2021-07-08    7
158 2021-07-09   12
159 2021-07-10    7
160 2021-07-11   15
161 2021-07-12    9
162 2021-07-13    2
163 2021-07-14    2
164 2021-07-15    0
