          date   data
0   2021-02-01    189
1   2021-02-02    412
2   2021-02-03    199
3   2021-02-04    234
4   2021-02-05     79
5   2021-02-06     27
6   2021-02-07     17
7   2021-02-08      2
8   2021-02-09     74
9   2021-02-10    199
10  2021-02-11    280
11  2021-02-12    180
12  2021-02-13     77
13  2021-02-14     22
14  2021-02-15     15
15  2021-02-16      0
16  2021-02-17     42
17  2021-02-18    180
18  2021-02-19    282
19  2021-02-20    474
20  2021-02-21    372
21  2021-02-22    257
22  2021-02-23    140
23  2021-02-24     52
24  2021-02-25     22
25  2021-02-26     20
26  2021-02-27     87
27  2021-02-28      4
28  2021-03-01    100
29  2021-03-02     79
30  2021-03-03    105
31  2021-03-04    137
32  2021-03-05     87
33  2021-03-06     37
34  2021-03-07    147
35  2021-03-08     62
36  2021-03-09    167
37  2021-03-10    419
38  2021-03-11    222
39  2021-03-12    182
40  2021-03-13    130
41  2021-03-14    280
42  2021-03-15    127
43  2021-03-16    135
44  2021-03-17    342
45  2021-03-18    447
46  2021-03-19    382
47  2021-03-20    357
48  2021-03-21    377
49  2021-03-22    207
50  2021-03-23    255
51  2021-03-24    162
52  2021-03-25    388
53  2021-03-26    262
54  2021-03-27    255
55  2021-03-28    122
56  2021-03-29    332
57  2021-03-30    197
58  2021-03-31    182
59  2021-04-01    229
60  2021-04-02    119
61  2021-04-03    105
62  2021-04-04     79
63  2021-04-05    182
64  2021-04-06    152
65  2021-04-07     52
66  2021-04-08     57
67  2021-04-09    262
68  2021-04-10    189
69  2021-04-11    280
70  2021-04-12    242
71  2021-04-13    192
72  2021-04-14     77
73  2021-04-15     62
74  2021-04-16     57
75  2021-04-17    119
76  2021-04-18    135
77  2021-04-19    224
78  2021-04-20    154
79  2021-04-21     79
80  2021-04-22     39
81  2021-04-23     20
82  2021-04-24      2
83  2021-04-25      2
84  2021-04-26    132
85  2021-04-27    472
86  2021-04-28    494
87  2021-04-29    307
88  2021-04-30    597
89  2021-05-01    299
90  2021-05-02    242
91  2021-05-03    287
92  2021-05-04    792
93  2021-05-05     22
94  2021-05-06      9
95  2021-05-07     17
96  2021-05-08     35
97  2021-05-09     55
98  2021-05-10     22
99  2021-05-11      9
100 2021-05-12     12
101 2021-05-13     35
102 2021-05-14    199
103 2021-05-15   4382
104 2021-05-16     37
105 2021-05-17     27
106 2021-05-18     72
107 2021-05-19     62
108 2021-05-20   2062
109 2021-05-21    470
110 2021-05-22    549
111 2021-05-23    727
112 2021-05-24    739
113 2021-05-25    379
114 2021-05-26    257
115 2021-05-27    310
116 2021-05-28    235
117 2021-05-29    340
118 2021-05-30    242
119 2021-05-31    222
120 2021-06-01     60
121 2021-06-02    122
122 2021-06-03     95
123 2021-06-04    154
124 2021-06-05    320
125 2021-06-06    247
126 2021-06-07   1544
127 2021-06-08   4965
128 2021-06-09   2040
129 2021-06-10   1000
130 2021-06-11  11232
131 2021-06-12   1305
132 2021-06-13    727
133 2021-06-14    565
134 2021-06-15    567
135 2021-06-16    769
136 2021-06-17    382
137 2021-06-18    572
138 2021-06-19    779
139 2021-06-20    679
140 2021-06-21    449
141 2021-06-22    315
142 2021-06-23    355
143 2021-06-24    687
144 2021-06-25    325
145 2021-06-26    227
146 2021-06-27     89
147 2021-06-28     65
148 2021-06-29     60
149 2021-06-30    180
150 2021-07-01    397
151 2021-07-02   1469
152 2021-07-03   1825
153 2021-07-04   1377
154 2021-07-05    802
155 2021-07-06    627
156 2021-07-07    302
157 2021-07-08    290
158 2021-07-09    400
159 2021-07-10    227
160 2021-07-11    249
161 2021-07-12    210
162 2021-07-13    145
163 2021-07-14    105
164 2021-07-15     95
